"valve","NH3_30s","date.time","elapsed.time","days","treatment","group"
5,118.83784532,2024-09-18 11:40:36.677,0,0,"bkg","Background"
5,134.16780385,2024-09-18 14:12:32.138,3,0.125,"bkg","Background"
5,77.96359986,2024-09-18 16:44:26.905,5,0.208333333333333,"bkg","Background"
5,50.603049179,2024-09-18 19:16:22.362,8,0.333333333333333,"bkg","Background"
5,37.957386114,2024-09-18 21:48:17.467,10,0.416666666666667,"bkg","Background"
5,32.499308293,2024-09-19 00:20:12.604,13,0.541666666666667,"bkg","Background"
5,29.390240648,2024-09-19 02:52:08.703,15,0.625,"bkg","Background"
5,31.924507982,2024-09-19 05:24:02.884,18,0.75,"bkg","Background"
5,48.658422699,2024-09-19 07:55:57.913,20,0.833333333333333,"bkg","Background"
5,71.679964984,2024-09-19 10:27:54.28,23,0.958333333333333,"bkg","Background"
5,80.408173277,2024-09-19 12:59:51.005,25,1.04166666666667,"bkg","Background"
5,59.134109931,2024-09-19 15:31:49.006,28,1.16666666666667,"bkg","Background"
5,44.067982267,2024-09-19 18:03:44.979,30,1.25,"bkg","Background"
5,30.365851498,2024-09-19 20:35:39.358,33,1.375,"bkg","Background"
5,28.87505412,2024-09-19 23:07:34.43,35,1.45833333333333,"bkg","Background"
5,26.006537424,2024-09-20 01:39:29.668,38,1.58333333333333,"bkg","Background"
5,25.012671179,2024-09-20 04:11:25.355,41,1.70833333333333,"bkg","Background"
5,26.583544197,2024-09-20 06:43:20.441,43,1.79166666666667,"bkg","Background"
5,34.156928497,2024-09-20 09:15:15.101,46,1.91666666666667,"bkg","Background"
5,53.785454485,2024-09-20 11:47:10.542,48,2,"bkg","Background"
5,80.47338743,2024-09-20 14:19:07.645,51,2.125,"bkg","Background"
5,49.572648012,2024-09-20 16:51:04.664,53,2.20833333333333,"bkg","Background"
5,29.322162134,2024-09-20 19:23:00.523,56,2.33333333333333,"bkg","Background"
5,28.850643643,2024-09-20 21:54:54.999,58,2.41666666666667,"bkg","Background"
5,24.554684863,2024-09-21 00:26:50.052,61,2.54166666666667,"bkg","Background"
5,23.650035497,2024-09-21 02:58:46.157,63,2.625,"bkg","Background"
5,22.473715564,2024-09-21 05:30:40.26,66,2.75,"bkg","Background"
5,31.32462559,2024-09-21 08:02:35.792,68,2.83333333333333,"bkg","Background"
5,69.619461672,2024-09-21 10:34:31.566,71,2.95833333333333,"bkg","Background"
5,76.123322184,2024-09-21 13:06:26.233,73,3.04166666666667,"bkg","Background"
5,60.04068823,2024-09-21 15:38:22.628,76,3.16666666666667,"bkg","Background"
5,40.35345907,2024-09-21 18:10:17.421,78,3.25,"bkg","Background"
5,27.223259264,2024-09-21 20:42:13.671,81,3.375,"bkg","Background"
5,25.16962454,2024-09-21 23:14:08.063,84,3.5,"bkg","Background"
5,24.594734944,2024-09-22 01:46:03.638,86,3.58333333333333,"bkg","Background"
5,22.614659485,2024-09-22 04:17:58.377,89,3.70833333333333,"bkg","Background"
5,22.592956886,2024-09-22 06:49:53.619,91,3.79166666666667,"bkg","Background"
5,49.079690887,2024-09-22 09:21:49.157,94,3.91666666666667,"bkg","Background"
5,62.579939876,2024-09-22 11:53:44.009,96,4,"bkg","Background"
5,55.453366129,2024-09-22 14:25:40.012,99,4.125,"bkg","Background"
5,36.874260756,2024-09-22 16:57:34.571,101,4.20833333333333,"bkg","Background"
5,22.873821571,2024-09-22 19:29:30.079,104,4.33333333333333,"bkg","Background"
5,20.405123186,2024-09-22 22:01:25.17,106,4.41666666666667,"bkg","Background"
5,20.458220292,2024-09-23 00:33:20.255,109,4.54166666666667,"bkg","Background"
5,17.364828895,2024-09-23 03:05:15.296,111,4.625,"bkg","Background"
5,18.755654095,2024-09-23 05:37:10.127,114,4.75,"bkg","Background"
5,23.524089759,2024-09-23 08:09:05.559,116,4.83333333333333,"bkg","Background"
5,32.071998334,2024-09-23 10:41:00.819,119,4.95833333333333,"bkg","Background"
9,241.62529264,2024-09-18 12:12:35.723,0,0,"bkg","Background"
9,105.5639838,2024-09-18 14:44:31.361,3,0.125,"bkg","Background"
9,55.29283116,2024-09-18 17:16:26.04,5,0.208333333333333,"bkg","Background"
9,35.447345001,2024-09-18 19:48:21.855,8,0.333333333333333,"bkg","Background"
9,83.918030007,2024-09-18 22:20:16.839,10,0.416666666666667,"bkg","Background"
9,32.507408737,2024-09-19 00:52:11.362,13,0.541666666666667,"bkg","Background"
