"elapsed.time","NH3.bg","valve","NH3.DFC","date.time","days","treatment","group","NH3_corr","date.time.weather","date","time","temp","air.temp.K","air.flow","dfc.area","n","NH3.flux","cum.treat"
0,151.518024471333,4,87.225539011,2024-09-18 07:00:00,0,"2.9","Medium acid",-64.2924854603333,2024-09-18 12:00:00,2024-09-18,7,9.2,282.35,2280,0.38465,-2.77494895823103e-09,-0.230388043330354,0
0,151.518024471333,11,101.1906571,2024-09-18 07:00:00,0,"2.9","Medium acid",-50.3273673713333,2024-09-18 12:00:00,2024-09-18,7,9.2,282.35,2280,0.38465,-2.17219593639378e-09,-0.180344928518949,0
0,151.518024471333,17,113.00303976,2024-09-18 08:00:00,0,"2.9","Medium acid",-38.5149847113333,2024-09-18 13:00:00,2024-09-18,8,10.7,283.85,2280,0.38465,-1.65357313256133e-09,-0.137286661574238,0
3,115.906389603333,4,132.31226825,2024-09-18 09:00:00,0.125,"2.9","Medium acid",16.4058786466667,2024-09-18 14:00:00,2024-09-18,9,12.8,285.95,2280,0.38465,6.99184786355172e-10,0.0580492892948224,-15.5104878631978
3,115.906389603333,11,128.97985937,2024-09-18 10:00:00,0.125,"2.9","Medium acid",13.0734697666667,2024-09-18 15:00:00,2024-09-18,10,15.4,288.55,2280,0.38465,5.52144008957782e-10,0.0458413397057409,-12.1053229931887
3,115.906389603333,17,144.71907029,2024-09-18 11:00:00,0.125,"2.9","Medium acid",28.8126806866667,2024-09-18 16:00:00,2024-09-18,11,17.7,290.85,2280,0.38465,1.20724988881497e-09,0.100231011049722,-3.33500854720647
5,67.7758860843333,4,77.277748911,2024-09-18 12:00:00,0.208333333333333,"2.9","Medium acid",9.50186282666667,2024-09-18 17:00:00,2024-09-18,12,18.8,291.95,2280,0.38465,3.96627527668751e-10,0.0329297011966702,-10.0517484337083
5,67.7758860843333,11,84.155139019,2024-09-18 13:00:00,0.208333333333333,"2.9","Medium acid",16.3792529346667,2024-09-18 18:00:00,2024-09-18,13,19.7,292.85,2280,0.38465,6.81602911872593e-10,0.0565895674328738,-5.95946856487183
5,67.7758860843333,17,82.456121427,2024-09-18 13:00:00,0.208333333333333,"2.9","Medium acid",14.6802353426667,2024-09-18 18:00:00,2024-09-18,13,19.7,292.85,2280,0.38465,6.10900338156368e-10,0.0507195396009799,5.72202449183563
8,46.730156557,4,39.43954988,2024-09-18 14:00:00,0.333333333333333,"2.9","Medium acid",-7.290606677,2024-09-18 19:00:00,2024-09-18,14,20,293.15,2280,0.38465,-3.03079349493485e-10,-0.0251629342934484,-9.35273941241829
8,46.730156557,11,53.897410984,2024-09-18 15:00:00,0.333333333333333,"2.9","Medium acid",7.167254427,2024-09-18 20:00:00,2024-09-18,15,19.9,293.05,2280,0.38465,2.98053119627798e-10,0.0247456353515527,1.36069968572656
