elapsed_time,start_time,end_time,date.time.weather,time,date,temp.K,methanol_corrected,H2S_corrected,X4.Methylphenol_corrected,acetic_acid_corrected,butanoic_acid_corrected,pentanoic_acid_corrected,propanoic_acid_corrected,acetladheyde_corrected,formic_acid_corrected,methanthiol_corrected,acetone_corrected,trimethylamine_corrected,dimethyl_sulfide_corrected,isopren_corrected,butanone_corrected,phenol_corrected,X4_ethyl_phenol_corrected,methyl_indole_corrected,butandion_corrected,methanol_flux_mg,H2S_flux_mg,X4.Methylphenol_flux_mg,acetic_acid_flux_mg,butanoic_acid_flux_mg,pentanoic_acid_flux_mg,propanoic_acid_flux_mg,acetladheyde_flux_mg,formic_acid_flux_mg,methanthiol_flux_mg,acetone_flux_mg,trimethylamine_flux_mg,dimethyl_sulfide_flux_mg,isopren_flux_mg,butanone_flux_mg,phenol_flux_mg,X4_ethyl_phenol_flux_mg,methyl_indole_flux_mg,butandion_flux_mg,group,treatment,valve
0,2024-09-18T12:39:09.000Z,2024-09-18T12:39:36.000Z,2024-09-18 13:00:00,13,2024-09-18T00:00:00.000Z,292.84999999999997,10.6986406132463,2.5047839435687,18.0736238777712,73.5850896068026,8.18217648751698,1.33141784531742,15.6766017455944,4.72585410012848,2.34492634372254,0.013239256327496,14.0574554743357,1.16772444726856,0,0,6.66045758336914,6.8083309143291,2.45369744483021,0.0521497757996527,0,0.07143109965131329,0.017747834586426883,0.4071491019187766,0.9207613881244578,0.1519159578433165,0.028330727676369873,0.24196518957090998,0.04360784938069725,0.022490146595079592,1.3249177396182826e-4,0.17009896172165034,0.014380911077942206,0,0,0.101453163149958,0.13347974754639372,0.06244456798880895,0.0014250190414053774,0,Machine plot,Mp,1
3,2024-09-18T15:11:04.000Z,2024-09-18T15:11:31.000Z,2024-09-18 15:00:00,15,2024-09-18T00:00:00.000Z,293.04999999999995,37.9722883802438,1.47778256729722,4.73235069713697,141.157616268897,20.6849175844495,8.18611285978249,50.8911203440051,16.0804338862217,1.08680861216968,0.0800586105236955,10.8689577071523,0.659778187890694,0,0.0841288398427189,6.15455601498645,1.59508418892202,0.696177723952322,0.0281311567413964,0.912399637091705,0.2533547260818224,0.010463793091270782,0.10653410576454878,1.7650828464430572,0.38378840601807385,0.17407026337904286,0.7849581074251425,0.14828104047966634,0.010416448103128896,8.006392471027623e-4,0.13142753048229203,0.008119840244490825,0,0.0011929170977372592,0.09368320860424943,0.03125084992031958,0.01770505499647186,7.681734893683098e-4,0.01635408238185749,Machine plot,Mp,1
5,2024-09-18T17:42:59.000Z,2024-09-18T17:43:26.000Z,2024-09-18 18:00:00,18,2024-09-18T00:00:00.000Z,290.15,20.3731949554729,1.39578379601598,2.47903584707685,89.0291829787347,14.623983495702,5.42152815273555,32.6872191770219,15.903364368041,1.35246735379117,0,13.5984445822372,0.939313302804532,0.358092379062073,0.245741739658017,1.50196689609672,0.990877801883146,0.408136330395934,0.0723173085490671,1.85933494276707,0.13729051415238336,0.009981961887673906,0.056365543792285734,1.1243779425288727,0.2740456388195808,0.11643612045209122,0.5092154752802934,0.14811396977947303,0.013092196796956841,0,0.16607598437371351,0.011675598571272117,0.0046730003843198226,0.0035193579650115224,0.02309109561254622,0.019607285523237254,0.010483385677881443,0.0019944958171298228,0.03366029045746246,Machine plot,Mp,1
8,2024-09-18T20:14:54.000Z,2024-09-18T20:15:21.000Z,2024-09-18 20:00:00,20,2024-09-18T00:00:00.000Z,287.34999999999997,9.56463340718771,0,1.37684051090938,41.8084466286769,6.84971373189026,2.77243471720196,9.18287442096508,4.38144931765424,0.440761230304023,0.00528572823841626,2.89783536290089,0.39154876712912,0,0,0,0.642830738812893,0.0415574264561849,0.0374144491310786,1.49522556550006,0.06508203032323161,0,0.03161010247336987,0.5331572689664229,0.12961074345820428,0.06012273262605062,0.14444869982289762,0.04120369640730534,0.004308246006536246,5.390936070036347e-5,0.035735731870016975,0.0049143481026188195,0,0,0,0.012844150417695493,0.0010778450376458333,0.0010419373445394447,0.027332434470422568,Machine plot,Mp,1
10,2024-09-18T22:46:49.000Z,2024-09-18T22:47:16.000Z,2024-09-18 23:00:00,23,2024-09-18T00:00:00.000Z,285.04999999999995,0,1.52615387225728,0.536189384264754,16.1588460650716,2.68783470606001,0.849357734753799,3.23810158228015,3.25723960709206,0.231762075993333,0.0581764599914294,0.612817900121644,0.2525437367546,0,0.371249136556159,0.230097220562407,0.146798784585967,0.174635958258163,0,0.548403132795607,0,0.011109579155724247,0.012409395764064631,0.2077264516706412,0.05126976109619566,0.018567703183872065,0.051347064117092514,0.03087864605204011,0.002283650487775145,5.981316704151016e-4,0.007618168451620521,0.003195264493932204,0,0.005411921592503425,0.0036007840901479586,0.0029567960087727996,0.004565953763169725,0,0.01010559024375178,Machine plot,Mp,1
13,2024-09-19T01:18:44.000Z,2024-09-19T01:19:11.000Z,2024-09-19 01:00:00,1,2024-09-19T00:00:00.000Z,283.95,0,1.97210446687229,1.06387980531166,11.3709228979097,1.86900569432833,1.08662795128174,4.11449923086894,5.46563707421839,0,0.0398539285772312,13.9458435259577,0.31694846417067,0,0,2.37095751324649,0.666900746134242,0.09131411769603,0.0787849258130783,0.691244985040343,0,0.014411473046311662,0.024717478298743076,0.14674264606458615,0.035788915083619956,0.023846661305524385,0.06549698456333425,0.052014988312632515,0,4.113389335893733e-4,0.1740376015315691,0.004025668740356513,0,0,0.03724677301399296,0.013484637593719317,0.002396706960992889,0.0022203155861747724,0.012787125379032658,Machine plot,Mp,1
15,2024-09-19T03:50:39.000Z,2024-09-19T03:51:06.000Z,2024-09-19 04:00:00,4,2024-09-19T00:00:00.000Z,282.84999999999997,0,1.4863526798944,0.611573483864976,9.07638876533446,1.24175426759653,0.667514724673927,4.62253617700814,3.34153511280818,0,0.0308232611082591,9.86523716921115,0.460351029832121,0,0,1.35357119466095,0.221792792951612,0.0752756509138941,0,0.473480853474875,0,0.010904004385034478,0.014264151198675289,0.11758702719322801,0.023870375995410347,0.014705955634569244,0.07387037930695621,0.03192415668403631,0,3.1936914443806075e-4,0.12359233061819391,0.005869812011355603,0,0,0.021346745589065526,0.004502059138639614,0.0019834315609491937,0,0.008792837391318703,Machine plot,Mp,1
18,2024-09-19T06:22:34.000Z,2024-09-19T06:23:01.000Z,2024-09-19 06:00:00,6,2024-09-19T00:00:00.000Z,283.34999999999997,0,0,0.29644471938796,6.31006185403301,1.28949845696839,0.699586533875942,5.00650951770835,0,0.271953818074655,0.0339313210048732,9.23584107461191,0.202406565733072,0.227802076150451,0,0.732130258250465,0.283010702353799,0,0,0.427269417850922,0,0,0.0069019843630603915,0.08160427368431118,0.02474442643637806,0.015385329742795856,0.07986528072187697,0,0.002695753963439347,3.509523085223079e-4,0.11550303836063415,0.002576277471835205,0.0030440920022884103,0,0.011525821593468013,0.005734553264180034,0,0,0.007920660431796714,Machine plot,Mp,1
20,2024-09-19T08:54:29.000Z,2024-09-19T08:54:56.000Z,2024-09-19 09:00:00,9,2024-09-19T00:00:00.000Z,287.75,0,0.689987308071411,0.608573284680764,1.19651301060183,0,0.296952749144534,2.71260815222832,0,0,0.0151495204148195,9.31250551838887,0.180913389256816,0.0462736171532176,0.0243569482415014,0.0850710785299966,0.173915192703355,0.0788347318998084,0,0.209680422573125,0,0.004975607341625361,0.013952467538414384,0.0152371799782544,0,0.006430734835192157,0.0426106268965359,0,0,1.5429580018248726e-4,0.11468097729259141,0.002267496546007655,6.088936290840181e-4,3.517342259725622e-4,0.0013187830608762986,0.003470101186384154,0.0020418373592743216,0,0.003827589494079633,Machine plot,Mp,1
23,2024-09-19T11:26:24.000Z,2024-09-19T11:26:51.000Z,2024-09-19 11:00:00,11,2024-09-19T00:00:00.000Z,291.84999999999997,0,1.28029393064534,0.655731793091112,36.8195827186251,5.24739605134298,1.59886027258374,1.83292092468412,0.493934518719785,0,0,0,0.331012203880702,0,0.047811606616657,1.35805875348313,0.150901742693526,0.293347152369274,0.0919422852497466,1.35277527891253,0,0.009102701871192508,0.014822450635966584,0.4622976320308958,0.09776061572574946,0.03413810408826102,0.028387701171104267,0.004573400848825693,0,0,0,0.0040904921618122566,0,6.807391514356617e-4,0.02075704922315178,0.0029686192984851247,0.00749102182081892,0.002520977947291489,0.024347185439719365,Machine plot,Mp,1
