"treatment","elapsed.time","application","NH3.value_avg","sd_flux"
"Machine plot DFC",0,"Machine Application",0.718594565708014,0.840325314295841
"Machine plot DFC",3,"Machine Application",0.230032118802398,0.151745955185051
"Machine plot DFC",5,"Machine Application",0.108222715691774,0.0726786385564812
"Machine plot DFC",8,"Machine Application",0.0376103984262148,0.0256606973954185
"Machine plot DFC",10,"Machine Application",0.0262898609753873,0.0101572368788941
"Machine plot DFC",13,"Machine Application",0.0401369055324233,0.00624229929177926
"Machine plot DFC",15,"Machine Application",0.0385084990706761,0.00853406433894628
"Machine plot DFC",18,"Machine Application",0.0654174467362385,0.0434989938784408
"Machine plot DFC",20,"Machine Application",0.122504752174477,0.0637792271204059
"Machine plot DFC",23,"Machine Application",0.162732363451945,0.0441904454342131
"Machine plot DFC",25,"Machine Application",0.170631314211605,0.019749290164755
"Machine plot DFC",28,"Machine Application",0.116387023446179,0.0245987121418967
"Machine plot DFC",30,"Machine Application",0.0496023577758303,0.0151712290949694
"Machine plot DFC",33,"Machine Application",0.032841488042065,0.0157153110252415
"Machine plot DFC",35,"Machine Application",0.0312048071760344,0.0113928296424058
"Machine plot DFC",38,"Machine Application",0.0343420216338251,0.014579687255679
"Machine plot DFC",41,"Machine Application",0.0430102163605117,0.0214799697225782
"Machine plot DFC",43,"Machine Application",0.0626297236460679,0.0314332209575471
"Machine plot DFC",46,"Machine Application",0.106197641265565,0.0575470667736944
"Machine plot DFC",48,"Machine Application",0.136164013777361,0.0480147457464964
"Machine plot DFC",51,"Machine Application",0.117424324659174,0.0138224785373802
"Machine plot DFC",53,"Machine Application",0.0731613358513374,0.0206110151760153
"Machine plot DFC",56,"Machine Application",0.058728489555021,0.012686219666084
"Machine plot DFC",58,"Machine Application",0.0695269160787653,0.00861826570177086
"Machine plot DFC",61,"Machine Application",0.0729161875083917,0.00860808591369862
"Machine plot DFC",63,"Machine Application",0.0760344859833166,0.0108942014813346
"Machine plot DFC",66,"Machine Application",0.100927050714523,0.0337659091166261
"Machine plot DFC",68,"Machine Application",0.153269578222521,0.0398598713251267
"Machine plot DFC",71,"Machine Application",0.173171475660985,0.023734094923121
"Machine plot DFC",73,"Machine Application",0.141230377290478,0.015830486001624
"Machine plot DFC",76,"Machine Application",0.0845370262437846,0.0153724375233563
"Machine plot DFC",78,"Machine Application",0.0477116754038317,0.011949362918142
"Machine plot DFC",81,"Machine Application",0.0457775374367111,0.0094301990156073
"Machine plot DFC",84,"Machine Application",0.0459523925610248,0.00918762148684834
"Machine plot DFC",86,"Machine Application",0.0433533433203605,0.00924791164234878
"Machine plot DFC",89,"Machine Application",0.0583832394987877,0.0456127208205991
"Machine plot DFC",91,"Machine Application",0.103648357810848,0.0411352012867219
"Machine plot DFC",94,"Machine Application",0.121921716985877,0.0226401275092835
"Machine plot DFC",96,"Machine Application",0.103536815584997,0.0293136589064679
"Machine plot DFC",99,"Machine Application",0.0684837933789677,0.0168404051845857
"Machine plot DFC",101,"Machine Application",0.0303626812306803,0.0162416511648841
"Machine plot DFC",104,"Machine Application",0.0157044784398318,0.0192692044989981
"Machine plot DFC",106,"Machine Application",0.0191477483559184,0.0176580276221613
