,hour,temp_A,temp_B,temp_C,temp_D,Inside,Outside
67,21/09/2024 06.00,12.28103841,12.3239388,12.275,11.92353516,12.30248861,12.09926758
68,21/09/2024 07.00,12.14518717,12.23098796,12.18833333,11.92353516,12.18808757,12.05593424
69,21/09/2024 08.00,12.35968913,12.48124023,12.84833333,12.83874349,12.42046468,12.84353841
70,21/09/2024 09.00,13.02464518,13.0818457,13.75833333,14.06855469,13.05324544,13.91344401
71,21/09/2024 10.00,14.07570475,14.09715495,15.06333333,15.82032064,14.08642985,15.44182699
72,21/09/2024 11.00,16.20642415,15.67016927,15.87666667,16.57107747,15.93829671,16.22387207
73,21/09/2024 12.00,17.60068685,17.06443197,16.61333333,17.57208659,17.33255941,17.09270996
74,21/09/2024 13.00,18.20129232,18.76614746,17.735,18.98064941,18.48371989,18.35782471
75,21/09/2024 14.00,18.77329753,20.16756022,18.77333333,19.8243571,19.47042887,19.29884521
76,21/09/2024 15.00,19.52405436,21.07561849,18.53833333,19.6599056,20.29983643,19.09911947
77,21/09/2024 16.00,19.57410482,20.92546712,18.43,19.39535319,20.24978597,18.9126766
78,21/09/2024 17.00,18.47299479,18.89484863,17.515,18.18699219,18.68392171,17.85099609
79,21/09/2024 18.00,17.6936377,17.37188477,16.7,16.64972819,17.53276123,16.6748641
80,21/09/2024 19.00,16.17067383,16.07057292,15.24833333,15.04096354,16.12062337,15.14464844
81,21/09/2024 20.00,15.04811361,15.09816406,14.32666667,14.0042041,15.07313883,14.16543538
82,21/09/2024 21.00,14.36170736,14.38315755,13.68166667,13.27489746,14.37243245,13.47828206
83,21/09/2024 22.00,13.36784831,13.47509928,12.76166667,12.40258952,13.4214738,12.58212809
84,21/09/2024 23.00,12.7743929,12.80299316,12.29666667,11.78053385,12.78869303,12.03860026
85,22/09/2024 00.00,11.68043294,11.84488444,11.52833333,10.87247559,11.76265869,11.20040446
86,22/09/2024 01.00,11.17992839,11.45163086,11.18,10.61507324,11.31577962,10.89753662
87,22/09/2024 02.00,11.15847819,11.4015804,11.18166667,10.70802409,11.2800293,10.94484538
88,22/09/2024 03.00,11.71618327,11.88778483,11.575,11.25142904,11.80198405,11.41321452
89,22/09/2024 04.00,11.84488444,11.92353516,11.645,11.38013021,11.8842098,11.5125651
90,22/09/2024 05.00,11.27287923,11.36583008,11.09333333,10.76522461,11.31935465,10.92927897
91,22/09/2024 06.00,10.69372396,10.77952474,10.65,10.18606934,10.73662435,10.41803467
92,22/09/2024 07.00,9.993017578,10.20036947,10.315,9.835716146,10.09669352,10.07535807
93,22/09/2024 08.00,10.79382487,11.05837728,11.40666667,11.64468262,10.92610107,11.52567464
94,22/09/2024 09.00,12.71719238,12.86019368,13.68333333,15.54861816,12.78869303,14.61597575
95,22/09/2024 10.00,15.86322103,15.24831543,16.19333333,18.55879557,15.55576823,17.37606445
96,22/09/2024 11.00,17.10018229,16.11347331,16.72,17.6936377,16.6068278,17.20681885
97,22/09/2024 12.00,16.91070557,16.47097656,17.06,18.17626709,16.69084106,17.61813354
