"rn","Sensor","Source","SensorHeight","SourceArea","CE","CE_se","CE_lo","CE_hi","uCE","uCE_se","uCE_lo","uCE_hi","vCE","vCE_se","vCE_lo","vCE_hi","wCE","wCE_se","wCE_lo","wCE_hi","N_TD","TD_Time_avg","TD_Time_max","Max_Dist","UCE","Ustar","L","Zo","sUu","sVu","sWu","z_sWu","WD","d","N0","MaxFetch","Time","SH","UST","sigW","sigU","sigV","WS","airT","Pair","z_sonic","z0","kv","A","alpha","bw","C0","Flux_pentanoic_acid","Flux_isoprene","Flux_butandione","Flux_acetaldehyde","Flux_butanone","Flux_acetic_acid","Flux_H2S","Flux_acetone","Flux_methylphenol","Flux_trimethylamine","Flux_ethylphenol","Flux_butanoic_acid","Flux_formic_acid","Flux_methanol","Flux_phenol","Flux_propanoic_acid","Flux_methanthiol","Flux_dimethyl_sulfide","Flux_methyl_indole","hours"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,1.063982360338,0.103090385795583,0.150247903117327,2.33418242799613,0.999202069270965,7.16576240612421,1.00990408480846,0.293899308553676,1.64852194816213,0.00680107810797534,0.327015518801276,2.39385135018487,0,0.721746884276486,0.559457716307546,1.97248064249133,0.00580685047247514,0.0319547866921149,0.0702436644841389,0
3,"PTRMS","Plot1",1.5,731.834716796875,3.52696629464867,0.0603149871700927,3.40874966120087,3.64518292809647,-1.19815827346338,0.0416637492452628,-1.27981870984379,-1.11649783708298,0.305297423219298,0.0393781027586691,0.22811682585693,0.382478020581666,0.587515241731143,0.0182267394400307,0.551791056475923,0.623239426986364,38598,12.8426421058086,53.4,25.31,4.57506150371888,0.2185681,-11.6,0.0543,2.946,3.376,1.428,1.9,64.651,0.1,1e+05,75,2024-09-18 13:00:00,80.4959949839659,0.218568137856047,1.42844356958775,2.94647879906942,3.37560422524805,1.94250765940851,18.7786807546617,102978.528193692,2,0.0542963148396086,0.4,0.5,0.02,1.25,4.405,1.84333787761576,0.123090624840589,0.22028252358941,2.30543215917235,0.453795516398444,14.5277068447585,0.0210465742506888,0,1.62842526953383,0.0110179978354092,0.363446924895462,4.37439553431765,0.183938093194798,0.413218876577095,0.548163531625863,3.73337537928234,0.00333355496417387,0.0471333931521337,0.0612819423105743,0.5
4,"PTRMS","Plot1",1.5,731.834716796875,2.76436347389607,0.0494412931596145,2.66745914704688,2.86126780074526,-0.879378102079817,0.0329211522013655,-0.943903155720179,-0.814853048439454,0.769017482013474,0.0376026958929318,0.695316660284245,0.842718303742703,0.478324426448454,0.0165066401670672,0.44597161462439,0.510677238272519,32144,12.2032572175212,48,24.98,3.50181136685738,0.2159388,-11.7,0.05777,3.131,4.152,1.484,1.9,78.08,0.1,1e+05,75,2024-09-18 13:30:00,77.2618116303443,0.215938789199296,1.48394605069964,3.13106864746957,4.15217593500177,1.88558571812187,19.1709456348489,102987.834248273,2,0.0577739053870448,0.4,0.5,0.02,1.3,4.746,2.55002716993106,0.134838338923159,0.229498215408648,2.76032675588987,0.364970272732641,20.5787840735081,0.0664446382447412,0,1.4913069851085,0.0226197059795006,0.335030489566807,5.83064788737184,0.0412049725282555,0.494378739592397,0.52837878585532,4.98584768506393,0.00771621901440373,0.0479986930998599,0.05025796003743,1
5,"PTRMS","Plot1",1.5,731.834716796875,3.35024867528992,0.0701281846138689,3.21279829547838,3.48769905510145,-1.5323999132479,0.0530807802372721,-1.63643759003189,-1.42836223646391,0.124751529039186,0.0477098568977617,0.0312407959800191,0.218262262098352,0.544354758836771,0.0208055115139868,0.503576212015451,0.585133305658091,35822,13.2741583384512,71.2,25.04,3.95237008635092,0.220241,-13.1,0.05702,3.771,4.075,1.368,1.899,48.938,0.101,1e+05,75,2024-09-18 14:00:00,73.5472364632264,0.220240973619231,1.3682619031012,3.77064540948716,4.074678962326,1.93032142547378,19.6116624738672,103009.290295149,2,0.0570223764235788,0.4,0.5,0.02,1.213,4.175,2.34289286639916,0.138412630208673,0.142582171443934,1.9654440097436,0.235178670410732,18.884952716092,0,0,1.48814711241355,0.0290747763646443,0.333671914638773,5.34117643206037,0,0.107293259348545,0.542561485482179,4.63474411572039,0.0109956607913029,0.0602843232174467,0.0330055541296292,1.5
6,"PTRMS","Plot1",1.5,731.834716796875,3.30510169383389,0.071555647663202,3.16485350399236,3.44534988367542,-1.32349055554841,0.0553246301879005,-1.43192615065372,-1.2150549604431,0.589296709389273,0.0599099110326611,0.471874020191553,0.706719398586994,0.509416874684866,0.0199866568268726,0.470243272984741,0.54859047638499,34902,13.5378087215632,60.8,25.59,3.67261591798171,0.2306294,-17.6,0.08644,3.047,4.08,1.276,1.899,67.843,0.101,1e+05,75,2024-09-18 14:30:00,62.6787576882075,0.230629439637806,1.27594079454908,3.04743518922066,4.08013847004464,1.78148403818067,19.9354519404226,103111.076520324,2,0.0864380705549659,0.4,0.5,0.02,1.162,3.887,2.321703831781,0.143290842119487,0.1313184761636,1.60033884581157,0.0889744640985258,18.0616553981895,0,0,1.43649344068825,0.0313265746688409,0.307038537087447,5.15967894749355,0,0,0.557732285345119,4.44101641997394,0,0.0558020823819375,0.0400040102386771,2
7,"PTRMS","Plot1",1.5,731.834716796875,3.09093037221209,0.0607174959646119,2.97192482647477,3.20993591794942,-1.41158735656527,0.0466512318874976,-1.50302319761718,-1.32015151551337,-0.0342115548090415,0.0454017045401542,-0.123198337619633,0.0547752280015498,0.549013283302039,0.0198232363875266,0.510159983654231,0.587866582949846,34768,11.8350494707777,43.1,24.26,4.22299940710648,0.2253005,-16.6,0.04583,3.188,3.811,1.342,1.899,45.738,0.101,1e+05,74,2024-09-18 15:00:00,61.8279455020864,0.22530052365121,1.34219057730234,3.18771704055906,3.81098286240408,2.09764799644318,20.0884461740752,102969.357074315,2,0.0458307117329879,0.4,0.5,0.02,1.216,4.193,2.54990884131737,0.118514592335458,0.123856077588063,1.55231658180839,0.0575396122147901,19.5760673756931,0,0,1.41800466500423,0.0230574071291664,0.355443367432999,5.61616197247968,0,0,0.562552071580824,4.82515157283415,0.00234069361932024,0.0688962239054241,0.0387255953987522,2.5
8,"PTRMS","Plot1",1.5,731.834716796875,3.31659635827177,0.0626085272537708,3.19388441445268,3.43930830209086,-1.87042997317206,0.0527925570282083,-1.97390273600919,-1.76695721033493,-0.181103895185301,0.0458276814207805,-0.270925587445715,-0.0912822029248873,0.59485684920499,0.0209080934762704,0.553877242998556,0.635836455411425,35899,12.0239198863478,54,23.83,4.58498797151183,0.2535618,-26.2,0.05847,3.016,3.166,1.149,1.899,40.624,0.101,1e+05,74,2024-09-18 15:30:00,56.0185699198201,0.253561827283861,1.14939802937688,3.01598402859902,3.16582354993819,2.20636109329941,20.2518480814396,102974.802448921,2,0.0584674579608381,0.4,0.5,0.02,1.076,3.48,2.32498186394262,0.103978452831595,0.0557709006520121,0.652357946605063,0,16.6895474729531,0,0,1.19096868545628,0.0376384740605118,0.247351731528609,5.11912077020039,0,0,0.477063478362038,4.42286701317001,0,0.0403625161277557,0.0228219592689421,3
9,"PTRMS","Plot1",1.5,731.834716796875,1.90607178860025,0.0450701335147529,1.8177348809237,1.9944086962768,-0.977641923722975,0.0344864648032626,-1.04523497082188,-0.910048876624074,-0.156830317847545,0.0269058935989399,-0.209565538568085,-0.104095097127006,0.377435555718579,0.0132105018581578,0.351543134463092,0.403327976974065,20979,8.91303684637018,27.1,22.48,3.47497566440361,0.2153989,-26.9,0.01642,2.945,2.961,1.34,1.899,29.847,0.101,1e+05,73,2024-09-18 16:00:00,33.4400263784034,0.215398934548156,1.34021614007533,2.94461029583031,2.96125600748668,2.55796205459679,20.3885612788616,102964.085257549,2,0.0164249370190649,0.4,0.5,0.02,1.257,4.451,3.06108589712917,0.0839244371364802,0.104429263467655,0.871286726938855,0,21.4389886070394,0,0,1.3860587742816,0,0.354249504157375,6.85913787727852,0,0,0.573952489377848,5.6533263387279,0,0.0568957190639917,0,3.5
10,"PTRMS","Plot1",1.5,731.834716796875,3.48434791208388,0.0639189555994566,3.35906754481533,3.60962827935243,-1.19554532348192,0.0427206840576309,-1.27927733910248,-1.11181330786136,0.0709986842235072,0.0373201566380595,-0.00214836403920925,0.144145732486224,0.527072236349825,0.017296727811897,0.493170862453831,0.560973610245818,33458,14.0471875186801,55.3,25.71,4.22732808614221,0.1719081,-15.5,0.03066,3.691,4.136,1.503,1.899,52.818,0.101,1e+05,75,2024-09-18 16:30:00,29.5576672745121,0.171908055516171,1.50282146252278,3.69149165264914,4.13594024930652,1.7732071799124,20.4043252570513,102999.832781869,2,0.0306603272017706,0.4,0.5,0.02,1.354,5.153,2.05894308146439,0.0473443798272544,0.0963769025002908,0.772825170718823,0.0157021110923676,15.047292426847,0,0,0.87133567387771,0,0.221661033710633,4.52514011856243,0,0,0.363425213253939,3.91853071722515,0,0.0364714940087592,0.0360366835253555,4
11,"PTRMS","Plot1",1.5,731.834716796875,4.3215263311638,0.0896560148073518,4.14580164421358,4.49725101811402,-1.56617801998269,0.0522298630315557,-1.66854790950315,-1.46380813046223,-0.141873248233077,0.0397583450327431,-0.219799115778605,-0.063947380687549,0.590216721651395,0.0214848667411283,0.548106646935667,0.632326796367123,36764,15.0474213904907,62.8,24.38,5.00564308746627,0.1688378,-22.7,0.03347,3.322,3.069,1.367,1.899,43.884,0.101,1e+05,74,2024-09-18 17:00:00,19.0765400702568,0.168837804169649,1.36680281233613,3.32233236278136,3.06946863085541,1.70448268843914,20.6079921805562,103083.525857473,2,0.0334712034701932,0.4,0.5,0.02,1.269,4.531,1.21114426730578,0.0185266711029014,0.0977913419044679,0.596926290000251,0,8.77056362625305,0.0828233139339938,0,0.496944332263656,0.00458978992143696,0.142656085086025,2.70109312346975,0.0277174624937996,0,0.233343530670664,2.26855633813988,0,0.0312507763810455,0.0187790826159666,4.5
