"rn","Sensor","Source","SensorHeight","SourceArea","CE","CE_se","CE_lo","CE_hi","uCE","uCE_se","uCE_lo","uCE_hi","vCE","vCE_se","vCE_lo","vCE_hi","wCE","wCE_se","wCE_lo","wCE_hi","N_TD","TD_Time_avg","TD_Time_max","Max_Dist","UCE","Ustar","L","Zo","sUu","sVu","sWu","z_sWu","WD","d","N0","MaxFetch","Time","SH","UST","sigW","sigU","sigV","WS","airT","Pair","z_sonic","z0","kv","A","alpha","bw","C0","hours","Compound","Flux","Mass_Emission","Category"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"Pentanoic Acid",1.063982360338,0.0638389416202799,"VFA"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"Isoprene",0.103090385795583,0.00618542314773495,"Other"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"2,3-Butanedione",0.150247903117327,0.00901487418703962,"Other"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"Acetaldehyde",2.33418242799613,0.140050945679768,"Other"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"2-Butanone",0.999202069270965,0.0599521241562579,"Other"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"Acetic Acid",7.16576240612421,0.429945744367453,"VFA"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"Hydrogen Sulfide",1.00990408480846,0.0605942450885076,"VSC"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"Acetone",0.293899308553676,0.0176339585132205,"Other"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"4-Methylphenol",1.64852194816213,0.0989113168897275,"Phenol"
2,"PTRMS","Plot1",1.5,731.834716796875,2.85441773962795,0.059755270758034,2.73729814346762,2.97153733578827,-0.966319605234611,0.0363098818734391,-1.0374865273772,-0.895152683092022,0.122428102286399,0.0613472723425916,0.00218820258958738,0.24266800198321,0.547896718814561,0.0202319191657358,0.508242405945085,0.587551031684037,29151,12.304438955782,52.3,24.56,3.94330816470729,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,0,"Trimethylamine",0.00680107810797534,0.000408064686478521,"Other"
