hours,Category,Mass_Emission,Cumulative_Mass
0,Indole,0.126438596,0.126438596
0,Other,8.296506105,8.296506105
0,Phenol,4.56299133,4.56299133
0,VFA,22.67293817,22.67293817
0,VSC,1.885798299,1.885798299
0.5,Indole,0.110307496,0.236746092
0.5,Other,6.348307857,14.64481396
0.5,Phenol,4.572064307,9.135055637
0.5,VFA,44.39295671,67.06589488
0.5,VSC,0.12872434,2.014522639
1,Indole,0.090464328,0.32721042
1,Other,7.211937651,21.85675161
1,Phenol,4.238489269,13.37354491
1,VFA,61.17572122,128.2416161
1,VSC,0.219887191,2.23440983
1.5,Indole,0.059409997,0.386620417
1.5,Other,4.712373928,26.56912554
1.5,Phenol,4.255884922,17.62942983
1.5,VFA,56.16677903,184.4083951
1.5,VSC,0.128303971,2.362713801
2,Indole,0.072007219,0.458627636
2,Other,3.591448566,30.16057411
2,Phenol,4.142275674,21.7717055
2,VFA,53.97129828,238.3796934
2,VSC,0.100443749,2.463157549
2.5,Indole,0.069706072,0.528333708
2.5,Other,3.375511687,33.53608579
2.5,Phenol,4.204800187,25.97650569
2.5,VFA,58.62112157,297.000815
2.5,VSC,0.128226452,2.591384002
3,Indole,0.041079527,0.569413235
3,Other,1.529542394,35.06562819
3,Phenol,3.447691011,29.4241967
3,VFA,51.40173081,348.4025458
3,VSC,0.072652529,2.664036531
3.5,Indole,0,0.569413235
3.5,Other,1.907352767,36.97298095
3.5,Phenol,4.165669381,33.58986608
3.5,VFA,66.62256971,415.0251155
3.5,VSC,0.102412295,2.766448826
4,Indole,0.06486603,0.634279265
4,Other,1.67804741,38.65102836
4,Phenol,2.621559458,36.21142554
4,VFA,45.98983142,461.0149469
4,VSC,0.065648689,2.832097515
4.5,Indole,0.033802349,0.668081613
4.5,Other,1.292101366,39.94312973
4.5,Phenol,1.571299107,37.78272465
4.5,VFA,26.96233467,487.9772816
4.5,VSC,0.205333362,3.037430878
5,Indole,0.012188621,0.680270235
5,Other,0.873845953,40.81697568
5,Phenol,0.934097624,38.71682227
5,VFA,15.89978246,503.8770641
5,VSC,0.04856158,3.085992457
5.5,Indole,0.01236277,0.692633005
5.5,Other,0.785365289,41.60234097
5.5,Phenol,1.119907797,39.83673007
5.5,VFA,18.39282863,522.2698927
5.5,VSC,0.07196582,3.157958278
6,Indole,0.045959908,0.738592913
6,Other,0.772953452,42.37529442
6,Phenol,0.977644071,40.81437414
6,VFA,15.25622303,537.5261157
6,VSC,0.194501724,3.352460002
6.5,Indole,0,0.738592913
6.5,Other,0.718712684,43.09400711
6.5,Phenol,0.713855667,41.5282298
6.5,VFA,9.228911463,546.7550272
6.5,VSC,0.013066762,3.365526764
7,Indole,0,0.738592913
7,Other,0.234614522,43.32862163
7,Phenol,0.681866034,42.21009584
7,VFA,6.191118847,552.946146
7,VSC,0.471386554,3.836913318
7.5,Indole,0.01343181,0.752024723
7.5,Other,0.445600193,43.77422182
7.5,Phenol,0.68013925,42.89023509
7.5,VFA,4.804638355,557.7507844
7.5,VSC,0.050101773,3.887015091
8,Indole,0.004337006,0.756361729
8,Other,0.351167179,44.125389
8,Phenol,0.378390328,43.26862542
8,VFA,2.404405462,560.1551898
8,VSC,0.181113418,4.068128509
8.5,Indole,0.00413987,0.760501599
8.5,Other,0.366887372,44.49227638
8.5,Phenol,0.368304628,43.63693004
8.5,VFA,2.314404676,562.4695945
8.5,VSC,0.173000259,4.241128768
9,Indole,0.003942733,0.764444332
9,Other,0.382607565,44.87488394
9,Phenol,0.358218927,43.99514897
9,VFA,2.224403891,564.6939984
9,VSC,0.164887099,4.406015867
9.5,Indole,0.003745596,0.768189929
9.5,Other,0.398327758,45.2732117
9.5,Phenol,0.348133227,44.3432822
9.5,VFA,2.134403105,566.8284015
9.5,VSC,0.15677394,4.562789807
10,Indole,0.00354846,0.771738388
10,Other,0.414047951,45.68725965
10,Phenol,0.338047527,44.68132973
10,VFA,2.044402319,568.8728038
10,VSC,0.148660781,4.711450588
10.5,Indole,0.003351323,0.775089712
10.5,Other,0.429768144,46.11702779
10.5,Phenol,0.327961827,45.00929155
10.5,VFA,1.954401534,570.8272054
10.5,VSC,0.140547621,4.851998209
11,Indole,0.003154186,0.778243898
11,Other,0.445488337,46.56251613
11,Phenol,0.317876127,45.32716768
11,VFA,1.864400748,572.6916061
11,VSC,0.132434462,4.984432671
11.5,Indole,0.00295705,0.781200948
11.5,Other,0.46120853,47.02372466
11.5,Phenol,0.307790427,45.63495811
11.5,VFA,1.774399962,574.4660061
11.5,VSC,0.124321303,5.108753974
12,Indole,0.002759913,0.783960861
12,Other,0.476928723,47.50065338
12,Phenol,0.297704726,45.93266283
12,VFA,1.684399177,576.1504052
12,VSC,0.116208144,5.224962118
12.5,Indole,0.002562777,0.786523638
12.5,Other,0.492648917,47.9933023
12.5,Phenol,0.287619026,46.22028186
12.5,VFA,1.594398391,577.7448036
12.5,VSC,0.108094984,5.333057102
13,Indole,0.00236564,0.788889277
13,Other,0.50836911,48.50167141
13,Phenol,0.277533326,46.49781518
13,VFA,1.504397606,579.2492012
13,VSC,0.099981825,5.433038927
13.5,Indole,0.002168503,0.791057781
13.5,Other,0.524089303,49.02576071
13.5,Phenol,0.267447626,46.76526281
13.5,VFA,1.41439682,580.6635981
13.5,VSC,0.091868666,5.524907592
14,Indole,0.001971367,0.793029147
14,Other,0.539809496,49.56557021
14,Phenol,0.257361926,47.02262474
14,VFA,1.324396034,581.9879941
14,VSC,0.083755506,5.608663099
14.5,Indole,0.00177423,0.794803377
14.5,Other,0.555529689,50.1210999
14.5,Phenol,0.247276225,47.26990096
14.5,VFA,1.234395249,583.2223893
14.5,VSC,0.075642347,5.684305446
15,Indole,0.001577093,0.79638047
15,Other,0.571249882,50.69234978
15,Phenol,0.237190525,47.50709149
15,VFA,1.144394463,584.3667838
15,VSC,0.067529188,5.751834633
15.5,Indole,0.001379957,0.797760427
15.5,Other,0.586970075,51.27931986
15.5,Phenol,0.227104825,47.73419631
15.5,VFA,1.054393677,585.4211775
15.5,VSC,0.059416028,5.811250662
16,Indole,0.00118282,0.798943247
