"rn","Sensor","Source","SensorHeight","SourceArea","CE","CE_se","CE_lo","CE_hi","uCE","uCE_se","uCE_lo","uCE_hi","vCE","vCE_se","vCE_lo","vCE_hi","wCE","wCE_se","wCE_lo","wCE_hi","N_TD","TD_Time_avg","TD_Time_max","Max_Dist","UCE","Ustar","L","Zo","sUu","sVu","sWu","z_sWu","WD","d","N0","MaxFetch","Time","SH","UST","sigW","sigU","sigV","WS","airT","Pair","z_sonic","z0","kv","A","alpha","bw","C0","concentrations$NH3_ug","concentrations$NH3_bg","Flux","Flux_original","hours","time_diff","Flux_kg_s","Flux_kg_original","Emission_kg","Emission_kg_original","Emission_kg_non_na_original","Cumulative_Emission","Cumulative_Emission_original","total_slurry_kg","total_TAN","Emission_applied_N","Emission_applied_N_no_gap","Cumulative_Emission_applied_N","Cumulative_Emission_applied_N_no_gap","Flux_mg_min"
12,"CRDS_1","Plot1",1.5,731.834716796875,4.30804382399728,0.076214210408164,4.15866490843974,4.45742273955482,-1.50192617342103,0.042760467537398,-1.5857361641729,-1.41811618266915,-0.496263301112536,0.036117535555742,-0.567053226836802,-0.425473375388269,0.5651402475158,0.0185393314123046,0.528803385837374,0.601477109194225,35999,16.0276424345121,71.5,25.8,4.20424101708299,0.1628841,-81,0.05433,3.17,3.032,1.309,1.898,52.046,0.102,1e+05,75,2024-09-18 17:30:00,4.80185684656375,0.162884101160751,1.30876707024294,3.17040532539353,3.03188807989833,1.4471089423876,20.1055339079623,103117.160564183,2,0.0543286684443855,0.4,0.5,0.02,1.28,4.605,17.85150301,2.627288263,3.53390433546565,3.53390433546565,5,1800,2.58623387853275e-06,2.58623387853275e-06,0.00465522098135895,0.00465522098135895,0.00465522098135895,0.190742121854439,0.190742121854439,2561.42150878906,6.40058252302246,0.072731207895757,0.072731207895757,2.45088416636921,2.98007440992054,0.212034260127939
13,"CRDS_1","Plot1",1.5,731.834716796875,2.90965331885896,0.0632039264110073,2.78577440001047,3.03353223770745,-1.06724934962288,0.0378698783352947,-1.14147384565487,-0.993024853590889,-0.263949897028077,0.0235377949944539,-0.31008368588526,-0.217816108170893,0.39888837116244,0.0160744376039145,0.367382671049422,0.430394071275457,24472,13.8896902582543,43.4,24.45,3.58815519630846,0.1408989,59.3,0.01801,3.582,2.679,1.464,1.898,53.179,0.102,1e+05,75,2024-09-18 18:00:00,-4.23270502963664,0.140898909538858,1.46428909608399,3.5821840929875,2.67949660207465,1.64071176393435,19.3872781612453,103088.856471928,2,0.0180086543806956,0.4,0.5,0.02,1.464,6.113,15.6143489,2.288550483,4.57985778945851,4.57985778945851,5.5,1800,3.35169892831833e-06,3.35169892831833e-06,0.00603305807097299,0.00603305807097299,0.00603305807097299,0.196775179925412,0.196775179925412,2561.42150878906,6.40058252302246,0.0942579530733724,0.0942579530733724,2.52840415176718,3.07433236299392,0.27479146736751
14,"CRDS_1","Plot1",1.5,731.834716796875,3.20313070880272,0.0683470178663267,3.06917139392186,3.33709002368358,-0.756246491953121,0.0299659286013809,-0.814979343663797,-0.697513640242446,-0.222766429070307,0.0221056626660337,-0.266093256167884,-0.17943960197273,0.36238991285824,0.0137637923851192,0.335413048971082,0.389366776745397,24368,15.0161523309258,52.1,24.62,3.95664957482726,0.1307119,15.1,0.02655,2.955,2.661,1.437,1.898,53.81,0.102,1e+05,75,2024-09-18 18:30:00,-13.1993084028274,0.130711919030642,1.43658948218011,2.95492831651691,2.66137721717857,1.39523141325156,18.2898047013688,103080.367161423,2,0.0265487386715668,0.4,0.5,0.02,1.437,5.861,12.85721484,2.141279316,3.34545683526148,3.34545683526148,6,1800,2.44832145558975e-06,2.44832145558975e-06,0.00440697862006155,0.00440697862006155,0.00440697862006155,0.201182158545474,0.201182158545474,2561.42150878906,6.40058252302246,0.0688527740125208,0.0688527740125208,2.58503031287112,3.14318513700644,0.200727410115689
15,"CRDS_1","Plot1",1.5,731.834716796875,2.78757240302069,0.0777138104452089,2.63525428982397,2.93989051621741,-0.611877676290636,0.0247619362117249,-0.660410766886248,-0.563344585695025,-0.241336227777478,0.0247097413480286,-0.289767017081836,-0.19290543847312,0.249714146276735,0.0126691539008652,0.22488276036317,0.274545532190301,15459,17.9973090109321,53,23.85,2.90921454968452,0.1040788,8.4,0.02712,2.768,2.625,1.309,1.898,48.227,0.102,1e+05,74,2024-09-18 19:00:00,-11.9875947034347,0.104078763295098,1.30933506630312,2.76820136377542,2.62548506049711,1.10541796573121,16.9904895303764,103127.754274948,2,0.0271168913244897,0.4,0.5,0.02,1.309,4.811,10.76617952,2.228367618,3.06281260811314,3.06281260811314,6.5,1800,2.24147259766037e-06,2.24147259766037e-06,0.00403465067578867,0.00403465067578867,0.00403465067578867,0.205216809221262,0.205216809221262,2561.42150878906,6.40058252302246,0.0630356793506889,0.0630356793506889,2.63687235678876,3.20622081635713,0.183768756486788
16,"CRDS_1","Plot1",1.5,731.834716796875,3.85132265916813,0.0723598802810208,3.70949818328149,3.99314713505477,-1.02751772207302,0.0342043185092765,-1.09455776590392,-0.960477678242129,-0.236800617143466,0.0246528290826002,-0.285119859107163,-0.18848137517977,0.487482605664685,0.017557188948132,0.453070731143319,0.521894480186052,34956,14.1999828355647,43.4,25.19,5.09357019974173,0.1601727,18.3,0.04154,2.874,2.463,1.417,1.898,56.831,0.102,1e+05,76,2024-09-18 19:30:00,-19.9667978714945,0.16017271768057,1.41745886079474,2.87402999365727,2.46344543901093,1.53033654975271,15.8241234401095,103105.780922246,2,0.0415441958727697,0.4,0.5,0.02,1.417,5.681,9.0218084,2.154946709,1.78298789758717,1.78298789758717,7,1800,1.30485244308296e-06,1.30485244308296e-06,0.00234873439754933,0.00234873439754933,0.00234873439754933,0.207565543618812,0.207565543618812,2561.42150878906,6.40058252302246,0.0366956349535544,0.0366956349535544,2.66705172089562,3.24291645131068,0.10697927385523
17,"CRDS_1","Plot1",1.5,731.834716796875,2.80046784868689,0.0689531636053268,2.66532049560847,2.93561520176532,-0.574963497274156,0.0253203116015823,-0.624590996770211,-0.525335997778102,-0.219132241753979,0.020352221608086,-0.259022345931676,-0.179242137576282,0.307486275188141,0.0139556208036891,0.280133429958585,0.334839120417696,18533,15.7965844709437,48.8,24.14,3.27103628292106,0.1091622,9.8,0.0202,2.985,2.877,1.506,1.898,50.885,0.102,1e+05,75,2024-09-18 20:00:00,-11.7299345951363,0.109162227303059,1.50569851428343,2.98516646125929,2.87722750559781,1.23972678371425,14.9547207111101,103152.568888889,2,0.0202004611844924,0.4,0.5,0.02,1.506,6.527,7.747708025,2.310170593,1.94165322574569,1.94165322574569,7.5,1800,1.42096923858134e-06,1.42096923858134e-06,0.00255774462944641,0.00255774462944641,0.00255774462944641,0.210123288248258,0.210123288248258,2561.42150878906,6.40058252302246,0.0399611226048,0.0399611226048,2.69991669981575,3.28287757391548,0.116499193544742
18,"CRDS_1","Plot1",1.5,731.834716796875,6.70369799602835,0.110674945465322,6.486776463358,6.9206195286987,-0.94006871112715,0.0368763150171038,-1.0123458352686,-0.867791586985704,-0.287587022776497,0.0315829661067953,-0.34948924812079,-0.225684797432203,0.453424287450587,0.0176274752816704,0.418874652579461,0.487973922321714,40787,23.9779194351141,84.1,26.79,6.41294826613087,0.0988122,7.6,0.04436,3.191,2.948,1.531,1.898,64.165,0.102,1e+05,77,2024-09-18 20:30:00,-11.2464676319289,0.0988121946928031,1.53105137523454,3.19081371779027,2.94837655759175,0.927821254926012,14.2587876953738,103064.34649482,2,0.0443640564918189,0.4,0.5,0.02,1.531,6.787,6.642353463,2.340953522,0.641645841377161,0.641645841377161,8,1800,4.69578702608147e-07,4.69578702608147e-07,0.000845241664694665,0.000845241664694665,0.000845241664694665,0.210968529912953,0.210968529912953,2561.42150878906,6.40058252302246,0.0132056990383983,0.0132056990383983,2.71077738120387,3.29608327295388,0.0384987504826297
19,"CRDS_1","Plot1",1.5,731.834716796875,7.30924148149447,0.118386267727086,7.0772058519804,7.54127711100855,-0.866961777171399,0.0450528154614909,-0.955264741676434,-0.778658812666363,-0.156398817809731,0.0352487957634805,-0.225486024219913,-0.0873116113995485,0.441858551134315,0.0183165086605816,0.405958419310279,0.477758682958352,46637,25.4217209511761,80.8,28.04,7.41991363039879,0.0863655,5.7,0.02718,4.091,3.625,1.823,1.897,75.804,0.103,1e+05,78,2024-09-18 21:00:00,-9.89653802800238,0.0863654805089855,1.82296331150422,4.09106277537851,3.6248774597261,0.916716040537699,13.8374060498212,102991.459074733,2,0.0271805655112806,0.4,0.5,0.02,1.823,NA,6.182189231,2.489619406,0.655647103653665,NA,8.5,1800,4.79825312421071e-07,NA,0.000863685562357928,NA,0,0.211832215475311,0.210968529912953,2561.42150878906,6.40058252302246,0.0134938587113174,0,2.72187505196964,3.29608327295388,0.0393388262192199
20,"CRDS_1","Plot1",1.5,731.834716796875,4.95757941961823,0.10418339318856,4.75338124961469,5.16177758962177,-0.451879745170911,0.0287917441640119,-0.508311209817686,-0.395448280524136,-0.133635408508135,0.0228067710530074,-0.178336399425996,-0.0889344175902734,0.287092808108553,0.0144847121950494,0.258702950255643,0.315482665961462,25944,26.8458024976873,80.2,25.34,4.56165646826608,0.0673681,3.6,0.0264,3.929,3.329,1.915,1.897,58.911,0.103,1e+05,76,2024-09-18 21:30:00,-7.51211347118543,0.0673680782673737,1.91454629861149,3.92896772028319,3.32924527356914,0.719992908144734,13.4679784961538,102963.621475363,2,0.0263957096365032,0.4,0.5,0.02,1.915,NA,6.448810856,4.586213898,0.669648365930169,NA,9,1800,4.90071922233995e-07,NA,0.000882129460021191,NA,0,0.212714344935332,0.210968529912953,2561.42150878906,6.40058252302246,0.0137820183842366,0,2.73320971211305,3.29608327295388,0.0401789019558101
21,"CRDS_1","Plot1",1.5,731.834716796875,4.19565163785296,0.172896525397,3.85677657335837,4.53452670234754,-0.195950036354061,0.0290305664249624,-0.252849589696641,-0.139050483011481,0.00749924428626204,0.022567009341821,-0.0367318166248795,0.0517303051974036,0.0898027926832579,0.0100088542675593,0.070185561349962,0.109420024016554,11282,53.4355787980854,142.4,28.44,3.45625331984595,0.0349298,NA,0.04092,3.871,4.362,1.968,1.897,90.47,0.103,1e+05,79,2024-09-18 22:00:00,-3.4636928109568,NA,1.96835414284678,3.87105257853182,4.36214805921633,0.335020561308635,12.9915599214137,102922.343275585,2,0.0409197003954374,0.4,0.5,0.02,1.968,NA,7.500220486,6.711124342,0.683649628206673,NA,9.5,1800,5.00318532046919e-07,NA,0.000900573357684455,NA,0,0.213614918293016,0.210968529912953,2561.42150878906,6.40058252302246,0.0140701780571558,0,2.74478136163411,3.29608327295388,0.0410189776924004
22,"CRDS_1","Plot1",1.5,731.834716796875,38.0575794081653,0.53247091331487,37.0139429633221,39.1012158530085,-5.07022005607108,0.118657875975818,-5.302788034414,-4.83765207772816,0.132038972395829,0.0807359199389192,-0.0262024382601044,0.290280383051763,0.573200987699236,0.0265684832505778,0.521127087113961,0.62527488828451,69352,108.634474852924,1744.4,57.66,-0.289106866574528,0.0582442,-44.6,0.5922,5.047,2.915,0.798,1.897,37.68,0.103,1e+05,73,2024-09-18 22:30:00,0.387905636008276,0.0582442262481848,0.798126893298645,NA,2.91519660713209,0.169525881722185,12.0258745109396,102925.03260397,2,NA,0.4,0.5,0.02,0.767,2.808,8.972781636,5.389554691,0.697650890483177,NA,10,1800,5.10565141859843e-07,NA,0.000919017255347718,NA,0,0.214533935548364,0.210968529912953,2561.42150878906,6.40058252302246,0.014358337730075,0,2.75659000053282,3.29608327295388,0.0418590534289906
23,"CRDS_1","Plot1",1.5,731.834716796875,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0.0167579,NA,0.0003424,5.805,8.212,2.577,1.897,49.856,0.103,1e+05,75,2024-09-18 23:00:00,-0.968246703467966,NA,2.57679810204067,NA,NA,0.361116504080885,11.9658431245724,102919.56451439,2,0.000342446996978964,0.4,0.5,0.02,2.577,NA,7.734283748,5.003769684,0.711652152759681,NA,10.5,1800,5.20811751672767e-07,NA,0.000937461153010981,NA,0,0.215471396701375,0.210968529912953,2561.42150878906,6.40058252302246,0.0146464974029941,0,2.76863562880917,3.29608327295388,0.0426991291655808
24,"CRDS_1","Plot1",1.5,731.834716796875,27.4150967938558,0.635029599595637,26.1704465845771,28.6597470031345,-2.19705675388987,0.0725449563791424,-2.33924397665384,-2.05486953112591,-0.512490639274138,0.0645725736640854,-0.639052089914938,-0.385929188633339,0.168339892732214,0.0164392878393599,0.136119090642546,0.200560694821883,22976,227.619820682451,1376.5,42.33,3.3611685208591,0.0191764,2.4,0.2606,5.524,7.87,1.076,1.897,53.932,0.103,1e+05,75,2024-09-18 23:30:00,-0.253981654231123,NA,1.07586640505379,NA,NA,0.0951587582583108,11.0760867974237,102908.471165105,2,NA,0.4,0.5,0.02,1.076,3.48,7.919963452,3.893470813,0.725653415036184,NA,11,1800,5.31058361485691e-07,NA,0.000955905050674244,NA,0,0.216427301752049,0.210968529912953,2561.42150878906,6.40058252302246,0.0149346570759133,0,2.78091824646316,3.29608327295388,0.0435392049021711
25,"CRDS_1","Plot1",1.5,731.834716796875,0.116436819962465,0.0391005299316819,0.0398002619290038,0.193073377995927,-0.0304733154801796,0.00885610349575834,-0.0478311694706212,-0.013115461489738,-0.00217323155236258,0.00582482050995453,-0.0135898081518508,0.00924334504712563,0.00260056542841544,0.00114283504343761,0.000360622791266833,0.00484050806556406,129,90.5348837209302,206.4,11.11,0.0533197713297257,0.0232137,NA,0.00422,6.783,4.024,1.418,1.897,153.789,0.103,1e+05,66,2024-09-19,-0.958014876257964,NA,1.41794273833268,NA,4.0237978113785,0.354475900806825,10.3657962034381,102897.242120344,2,0.00421970068575847,0.4,0.5,0.02,1.418,5.69,7.66825998,3.47340962,0.739654677312688,NA,11.5,1800,5.41304971298615e-07,NA,0.000974348948337507,NA,0,0.217401650700387,0.210968529912953,2561.42150878906,6.40058252302246,0.0152228167488325,0,2.7934378534948,3.29608327295388,0.0443792806387613
26,"CRDS_1","Plot1",1.5,731.834716796875,9.30699218950605,0.918644792835614,7.50645968773963,11.1075246912725,-1.38760467219796,0.153783937483728,-1.68901929931882,-1.0861900450771,0.17815846952953,0.0877375760336715,0.0061938989938361,0.350123040065223,0.286266704193036,0.0326869329397391,0.222200717426384,0.350332690959687,2906,121.660667584308,483.8,21.16,0.479212482695827,0.0134085,NA,0.0002213,9.533,16.83,2.383,1.896,131.767,0.104,1e+05,72,2024-09-19 00:30:00,1.44038464514511,NA,2.38330482265973,NA,NA,0.303561891349012,9.89106767564464,102900.035864147,2,0.000221344300963574,0.4,0.5,0.02,0.616,2.971,7.79614828,2.901641306,0.753655939589192,NA,12,1800,5.51551581111539e-07,NA,0.00099279284600077,NA,0,0.218394443546387,0.210968529912953,2561.42150878906,6.40058252302246,0.0155109764217516,0,2.80619444990409,3.29608327295388,0.0452193563753515
27,"CRDS_1","Plot1",1.5,731.834716796875,14.1845938221238,0.743997725820998,12.7263674249044,15.6428202193431,-1.77937007578474,0.106484870301293,-1.98807911263896,-1.57066103893053,0.0140187291741654,0.0570899258498392,-0.0978768237291255,0.125914282077456,0.190968352651368,0.0159542301817386,0.159698257608198,0.222238447694538,6135,224.6330399348,1712.7,24.13,0.389774749592425,0.0156759,NA,0.008261,6.512,9.226,1.313,1.896,302.409,0.104,1e+05,75,2024-09-19 01:00:00,0.335375777966689,NA,1.31316773704596,NA,NA,0.213038821368169,9.51996980171024,102894.433327269,2,0.00826149145084421,0.4,0.5,0.02,0.697,2.837,9.529769786,2.821434998,0.767657201865696,NA,12.5,1800,5.61798190924463e-07,NA,0.00101123674366403,NA,0,0.219405680290052,0.210968529912953,2561.42150878906,6.40058252302246,0.0157991360946708,0,2.81918803569102,3.29608327295388,0.0460594321119418
28,"CRDS_1","Plot1",1.5,731.834716796875,11.8603214272165,0.394266574665919,11.087563787286,12.633079067147,-3.44299049816408,0.136401261975809,-3.71033529496123,-3.17564570136692,-0.0109827895986958,0.0461681564387791,-0.10147180870919,0.0795062295117987,0.0759103960704336,0.010739246299032,0.0548616053335967,0.0969591868072705,12569,317.979672209404,1792.3,83.39,2.19565074955927,0.0260276,NA,0.07284,10.316,4.343,1.01,1.896,345.241,0.104,1e+05,62,2024-09-19 01:30:00,-0.979589394034756,NA,1.00972372675707,NA,4.34268372464721,0.212078050927799,9.38347421931766,102889.070442992,2,0.0728446945343984,0.4,0.5,0.02,1.01,3.233,8.408585664,2.742772894,0.7816584641422,NA,13,1800,5.72044800737387e-07,NA,0.0010296806413273,NA,0,0.220435360931379,0.210968529912953,2561.42150878906,6.40058252302246,0.01608729576759,0,2.8324186108556,3.29608327295388,0.046899507848532
