"rn","Sensor","Source","SensorHeight","SourceArea","CE","CE_se","CE_lo","CE_hi","uCE","uCE_se","uCE_lo","uCE_hi","vCE","vCE_se","vCE_lo","vCE_hi","wCE","wCE_se","wCE_lo","wCE_hi","N_TD","TD_Time_avg","TD_Time_max","Max_Dist","UCE","Ustar","L","Zo","sUu","sVu","sWu","z_sWu","WD","d","N0","MaxFetch","Time","SH","UST","sigW","sigU","sigV","WS","airT","Pair","z_sonic","z0","kv","A","alpha","bw","C0","concentrations$NH3_ug","concentrations$NH3_bg","Flux","Flux_original","hours","time_diff","Flux_kg_s","Flux_kg_original","Emission_kg","Emission_kg_original","Emission_kg_non_na_original","Cumulative_Emission","Cumulative_Emission_original","total_slurry_kg","total_TAN","Emission_applied_N","Emission_applied_N_no_gap","Cumulative_Emission_applied_N","Cumulative_Emission_applied_N_no_gap","Flux_mg_min"
2,"CRDS_1","Plot1",1.5,731.834716796875,2.49119888687195,0.0523928650545316,2.38850951539012,2.59388825835378,-1.06724121859014,0.0378141499672278,-1.14135648770575,-0.993125949474531,-0.682845977800376,0.0442386716483479,-0.769553230439293,-0.59613872516146,0.494899120183633,0.0176369517659103,0.460330911519884,0.529467328847382,25435,11.6613092195793,45.1,24.44,3.22822754468229,0.1950637,-8.4,0.02901,3.368,4.653,1.531,1.9,51.823,0.1,1e+05,75,2024-09-18 12:30:00,79.2958446144577,0.195063731121008,1.53071605609531,3.36828777184652,4.65279182880648,2.03934370500827,18.4545372859754,102960.067921324,2,0.0290087333845497,0.4,0.5,0.02,1.288,4.661,30.59121911,3.342838249,10.9378584763315,10.9378584763315,0,1800,8.00470456039037e-06,8.00470456039037e-06,0.0144084682087027,0.0144084682087027,0.0144084682087027,0.0144084682087027,0.0144084682087027,2561.42150878906,6.40058252302246,0.225111826257632,0.225111826257632,0.18513732704144,0.225111826257632,0.656271508579891
3,"CRDS_1","Plot1",1.5,731.834716796875,3.49623965431899,0.0606551012584019,3.37735640143887,3.61512290719912,-1.24372194147291,0.0503859252328878,-1.34247773557409,-1.14496614737174,-0.477188396343133,0.0406013207514842,-0.556766485935344,-0.397610306750922,0.616733808787741,0.0205270127237969,0.576501116171823,0.656966501403659,38960,12.4489219712526,51.2,26.72,4.47562847824056,0.2185681,-11.6,0.0543,2.946,3.376,1.428,1.9,64.651,0.1,1e+05,77,2024-09-18 13:00:00,80.4959949839659,0.218568137856047,1.42844356958775,2.94647879906942,3.37560422524805,1.94250765940851,18.7786807546617,102978.528193692,2,0.0542963148396086,0.4,0.5,0.02,1.25,4.405,43.30564983,4.172696182,11.1928693445422,11.1928693445422,0.5,1800,8.1913303669075e-06,8.1913303669075e-06,0.0147443946604335,0.0147443946604335,0.0147443946604335,0.0291528628691362,0.0291528628691362,2561.42150878906,6.40058252302246,0.230360199363088,0.230360199363088,0.374591041116889,0.45547202562072,0.671572160672535
4,"CRDS_1","Plot1",1.5,731.834716796875,3.42588258978772,0.0553959487427352,3.3173072111916,3.53445796838384,-1.08618042515172,0.0376921736802903,-1.16005662224429,-1.01230422805915,-0.150921915140425,0.0415113936623694,-0.232283736451148,-0.0695600938297034,0.609882942731495,0.0181183807979734,0.574371139082738,0.645394746380252,39554,12.4048591798554,55.4,28.72,4.34343867737501,0.2159388,-11.7,0.05777,3.131,4.152,1.484,1.9,78.08,0.1,1e+05,79,2024-09-18 13:30:00,77.2618116303443,0.215938789199296,1.48394605069964,3.13106864746957,4.15217593500177,1.88558571812187,19.1709456348489,102987.834248273,2,0.0577739053870448,0.4,0.5,0.02,1.3,4.746,69.50962563,4.819181535,18.882854972274,18.882854972274,1,1800,1.38191288209506e-05,1.38191288209506e-05,0.0248744318777111,0.0248744318777111,0.0248744318777111,0.0540272947468473,0.0540272947468473,2561.42150878906,6.40058252302246,0.388627625505014,0.388627625505014,0.694207655652799,0.844099651125733,1.13297129833644
5,"CRDS_1","Plot1",1.5,731.834716796875,3.0229684043168,0.0646753624967667,2.89620548882745,3.14973131980615,-1.72041566966653,0.0558678474483391,-1.82991596392495,-1.61091537540812,-0.627815279632486,0.0471849601506969,-0.720297221519556,-0.535333337745415,0.533320091405498,0.0190548851250552,0.495972750787385,0.57066743202361,32699,12.5779626288266,71.1,24.93,3.22855618905591,0.220241,-13.1,0.05702,3.771,4.075,1.368,1.899,48.938,0.101,1e+05,75,2024-09-18 14:00:00,73.5472364632264,0.220240973619231,1.3682619031012,3.77064540948716,4.074678962326,1.93032142547378,19.6116624738672,103009.290295149,2,0.0570223764235788,0.4,0.5,0.02,1.213,4.175,55.80654767,4.149911004,17.0880504712634,17.0880504712634,1.5,1800,1.25056285772477e-05,1.25056285772477e-05,0.0225101314390459,0.0225101314390459,0.0225101314390459,0.0765374261858932,0.0765374261858932,2561.42150878906,6.40058252302246,0.35168879329465,0.35168879329465,0.983444894866008,1.19578844442038,1.0252830282758
6,"CRDS_1","Plot1",1.5,731.834716796875,3.58707241468271,0.0706001694778432,3.44869695033953,3.72544787902589,-1.56110851759241,0.0539305100224398,-1.66681165431026,-1.45540538087456,-0.50570508637473,0.061856617954491,-0.626943297209872,-0.384466875539589,0.561733836664559,0.0200692478443471,0.522398357585412,0.601069315743706,38755,13.3936395303832,61.3,28.46,3.86123468759621,0.2306294,-17.6,0.08644,3.047,4.08,1.276,1.899,67.843,0.101,1e+05,78,2024-09-18 14:30:00,62.6787576882075,0.230629439637806,1.27594079454908,3.04743518922066,4.08013847004464,1.78148403818067,19.9354519404226,103111.076520324,2,0.0864380705549659,0.4,0.5,0.02,1.162,3.887,56.86238558,3.347368904,14.9188559609086,14.9188559609086,2,1800,1.09181367270849e-05,1.09181367270849e-05,0.0196526461087529,0.0196526461087529,0.0196526461087529,0.0961900722946461,0.0961900722946461,2561.42150878906,6.40058252302246,0.30704464848416,0.30704464848416,1.23596572616911,1.50283309290454,0.895131357654517
7,"CRDS_1","Plot1",1.5,731.834716796875,2.48676300144018,0.0513536934293117,2.38611039357004,2.58741560931031,-1.35475861722921,0.0432278177612605,-1.43948460867509,-1.27003262578334,-0.639680149600745,0.0403332390100544,-0.718732802275076,-0.560627496926415,0.469089492204782,0.016570282013276,0.436611943144448,0.501567041265116,28088,11.0242096268869,43.1,24,3.17846607727452,0.2253005,-16.6,0.04583,3.188,3.811,1.342,1.899,45.738,0.101,1e+05,74,2024-09-18 15:00:00,61.8279455020864,0.22530052365121,1.34219057730234,3.18771704055906,3.81098286240408,2.09764799644318,20.0884461740752,102969.357074315,2,0.0458307117329879,0.4,0.5,0.02,1.216,4.193,46.0508357,3.591399058,17.0741790099861,17.0741790099861,2.5,1800,1.24954769603123e-05,1.24954769603123e-05,0.0224918585285622,0.0224918585285622,0.0224918585285622,0.118681930823208,0.118681930823208,2561.42150878906,6.40058252302246,0.351403305053259,0.351403305053259,1.52496817305358,1.8542363979578,1.02445074059917
8,"CRDS_1","Plot1",1.5,731.834716796875,2.57983253039205,0.113886140319223,2.35661709528079,2.80304796550331,-1.85011010483463,0.124242530076397,-2.09362393656684,-1.60659627310241,-0.559522160454481,0.0460990129018334,-0.64987565908249,-0.469168661826471,0.504493419732887,0.0290053733798525,0.447643244449044,0.561343595016731,27265,10.7359105079773,46.6,22.88,3.1712726043365,0.2535618,-26.2,0.05847,3.016,3.166,1.149,1.899,40.624,0.101,1e+05,73,2024-09-18 15:30:00,56.0185699198201,0.253561827283861,1.14939802937688,3.01598402859902,3.16582354993819,2.20636109329941,20.2518480814396,102974.802448921,2,0.0584674579608381,0.4,0.5,0.02,1.076,3.48,33.27096415,2.993843434,11.7360799041474,11.7360799041474,3,1800,8.58887071295725e-06,8.58887071295725e-06,0.015459967283323,0.015459967283323,0.015459967283323,0.134141898106531,0.134141898106531,2561.42150878906,6.40058252302246,0.241540004018612,0.241540004018612,1.7236164247292,2.09577640197641,0.704164794248847
9,"CRDS_1","Plot1",1.5,731.834716796875,0.912228348861348,0.0302684349079355,0.852902588508302,0.971554109214393,-0.627760113867819,0.0274766785235836,-0.681614066024442,-0.573906161711196,-0.137122460659609,0.0168838438580823,-0.170214587081389,-0.104030334237828,0.227312669093376,0.0099362740438932,0.207837694106293,0.246787644080459,10093,7.05135242247102,21.8,18.91,1.50322152849233,0.2153989,-26.9,0.01642,2.945,2.961,1.34,1.899,29.847,0.101,1e+05,71,2024-09-18 16:00:00,33.4400263784034,0.215398934548156,1.34021614007533,2.94461029583031,2.96125600748668,2.55796205459679,20.3885612788616,102964.085257549,2,0.0164249370190649,0.4,0.5,0.02,1.257,4.451,25.78384353,2.620459406,25.392089768875,25.392089768875,3.5,1800,1.85828128248855e-05,1.85828128248855e-05,0.0334490630847939,0.0334490630847939,0.0334490630847939,0.167590961191325,0.167590961191325,2561.42150878906,6.40058252302246,0.522594044596408,0.522594044596408,2.15341021278912,2.61837044657282,1.5235253861325
10,"CRDS_1","Plot1",1.5,731.834716796875,2.96829531655925,0.0579776330287955,2.85465986849711,3.0819307646214,-1.21512406075965,0.0404919479060416,-1.29448778091923,-1.13576034060007,-0.568947276733479,0.0383857449147234,-0.644182864920002,-0.493711688546955,0.482235223747889,0.0162943715347597,0.450298455833892,0.514171991661885,28748,13.4589884513705,54.3,25.11,3.40458962749087,0.1719081,-15.5,0.03066,3.691,4.136,1.503,1.899,52.818,0.101,1e+05,75,2024-09-18 16:30:00,29.5576672745121,0.171908055516171,1.50282146252278,3.69149165264914,4.13594024930652,1.7732071799124,20.4043252570513,102999.832781869,2,0.0306603272017706,0.4,0.5,0.02,1.354,5.153,25.38158261,2.912149106,7.56981065147043,7.56981065147043,4,1800,5.53985023432483e-06,5.53985023432483e-06,0.00997173042178469,0.00997173042178469,0.00997173042178469,0.17756269161311,0.17756269161311,2561.42150878906,6.40058252302246,0.155794107581881,0.155794107581881,2.28153899716274,2.7741645541547,0.454188639088226
11,"CRDS_1","Plot1",1.5,731.834716796875,2.87547997974107,0.0638597951028754,2.7503155663186,3.00064439316353,-1.31049379348644,0.0451310831554199,-1.3989501617095,-1.22203742526339,-0.410830893299595,0.0321285288829102,-0.473802414978892,-0.347859371620298,0.427472983723612,0.0156441491928293,0.396810643607117,0.458135323840106,24792,13.2785818005808,54.3,23.48,3.06229919139864,0.1688378,-22.7,0.03347,3.322,3.069,1.367,1.899,43.884,0.101,1e+05,74,2024-09-18 17:00:00,19.0765400702568,0.168837804169649,1.36680281233613,3.32233236278136,3.06946863085541,1.70448268843914,20.6079921805562,103083.525857473,2,0.0334712034701932,0.4,0.5,0.02,1.269,4.531,21.50413766,2.897027105,6.47095813084935,6.47095813084935,4.5,1800,4.73567181109457e-06,4.73567181109457e-06,0.00852420925997023,0.00852420925997023,0.00852420925997023,0.18608690087308,0.18608690087308,2561.42150878906,6.40058252302246,0.133178647870084,0.133178647870084,2.39106828887327,2.90734320202479,0.388257487850961
