"hours","Compound","Mass_Emission","Cumulative_Mass"
0,"2,3-Butanedione",0.270446225611189,0.270446225611189
0,"2-Butanone",1.79856372468774,1.79856372468774
0,"3-Methylindole",0.12643859607145,0.12643859607145
0,"4-Ethylphenol",0.588627933842297,0.588627933842297
0,"4-Methylphenol",2.96733950669183,2.96733950669183
0,"Acetaldehyde",4.20152837039304,4.20152837039304
0,"Acetic Acid",12.8983723310236,12.8983723310236
0,"Acetone",0.529018755396616,0.529018755396616
0,"Butanoic Acid",4.30893243033276,4.30893243033276
0,"Dimethyl Sulfide",0.0575186160458069,0.0575186160458069
0,"Formic Acid",0,0
0,"Hydrogen Sulfide",1.81782735265523,1.81782735265523
0,"Isoprene",0.185562694432049,0.185562694432049
0,"Methanethiol",0.0104523308504553,0.0104523308504553
0,"Methanol",1.29914439169767,1.29914439169767
0,"Pentanoic Acid",1.9151682486084,1.9151682486084
0,"Phenol",1.00702388935358,1.00702388935358
0,"Propionic Acid",3.5504651564844,3.5504651564844
0,"Trimethylamine",0.0122419405943556,0.0122419405943556
0.5,"2,3-Butanedione",0.396508542460938,0.666954768072127
0.5,"2-Butanone",0.816831929517199,2.61539565420494
0.5,"3-Methylindole",0.110307496159034,0.236746092230484
0.5,"4-Ethylphenol",0.654204464811831,1.24283239865413
0.5,"4-Methylphenol",2.9311654851609,5.89850499185272
0.5,"Acetaldehyde",4.14977788651024,8.35130625690327
0.5,"Acetic Acid",26.1498723205653,39.0482446515889
0.5,"Acetone",0,0.529018755396616
0.5,"Butanoic Acid",7.87391196177176,12.1828443921045
0.5,"Dimethyl Sulfide",0.0848401076738406,0.142358723719648
0.5,"Formic Acid",0.331088567750637,0.331088567750637
0.5,"Hydrogen Sulfide",0.0378838336512399,1.85571118630647
0.5,"Isoprene",0.221563124713059,0.407125819145108
0.5,"Methanethiol",0.00600039893551296,0.0164527297859682
0.5,"Methanol",0.743793977838771,2.04293836953644
0.5,"Pentanoic Acid",3.31800817970837,5.23317642831676
0.5,"Phenol",0.986694356926554,1.99371824628014
0.5,"Propionic Acid",6.72007568270821,10.2705408391926
0.5,"Trimethylamine",0.0198323961037365,0.0320743366980921
1,"2,3-Butanedione",0.413096787735567,1.08005155580769
1,"2-Butanone",0.656946490918754,3.27234214512369
1,"3-Methylindole",0.0904643280673741,0.327210420297858
1,"4-Ethylphenol",0.603054881220253,1.84588727987438
1,"4-Methylphenol",2.68435257319529,8.58285756504802
1,"Acetaldehyde",4.96858816060177,13.319894417505
1,"Acetic Acid",37.0418113323146,76.0900559839035
1,"Acetone",0,0.529018755396616
1,"Butanoic Acid",10.4951661972693,22.6780105893738
1,"Dimethyl Sulfide",0.0863976475797478,0.228756371299395
1,"Formic Acid",0.0741689505508598,0.405257518301497
1,"Hydrogen Sulfide",0.119600348840534,1.975311535147
1,"Isoprene",0.242709010061687,0.649834829206794
1,"Methanethiol",0.0138891942259267,0.0303419240118949
1,"Methanol",0.889881731266315,2.93282010080276
1,"Pentanoic Acid",4.59004890587592,9.82322533419268
1,"Phenol",0.951081814539576,2.94480006081971
1,"Propionic Acid",8.97452583311507,19.2450666723077
1,"Trimethylamine",0.040715470763101,0.0727898074611931
1.5,"2,3-Butanedione",0.256647908599081,1.33669946440678
1.5,"2-Butanone",0.423321606739318,3.69566375186301
1.5,"3-Methylindole",0.0594099974333326,0.386620417731191
1.5,"4-Ethylphenol",0.600609446349791,2.44649672622417
1.5,"4-Methylphenol",2.67866480234438,11.2615223673924
1.5,"Acetaldehyde",3.53779921753848,16.8576936350435
1.5,"Acetic Acid",33.9929148889656,110.082970872869
1.5,"Acetone",0,0.529018755396616
1.5,"Butanoic Acid",9.61411757770867,32.2921281670825
1.5,"Dimethyl Sulfide",0.108511781791404,0.337268153090799
1.5,"Formic Acid",0,0.405257518301497
1.5,"Hydrogen Sulfide",0,1.975311535147
1.5,"Isoprene",0.249142734375611,0.898977563582406
1.5,"Methanethiol",0.0197921894243453,0.0501341134362402
1.5,"Methanol",0.193127866827382,3.12594796763014
1.5,"Pentanoic Acid",4.21720715951849,14.0404324937112
1.5,"Phenol",0.976610673867922,3.92141073468763
1.5,"Propionic Acid",8.34253940829671,27.5876060806044
1.5,"Trimethylamine",0.0523345974563597,0.125124404917553
2,"2,3-Butanedione",0.23637325709448,1.57307272150126
2,"2-Butanone",0.160154035377346,3.85581778724036
2,"3-Methylindole",0.0720072184296188,0.458627636160809
2,"4-Ethylphenol",0.552669366757404,2.99916609298158
2,"4-Methylphenol",2.58568819323885,13.8472105606312
2,"Acetaldehyde",2.88060992246083,19.7383035575044
2,"Acetic Acid",32.510979716741,142.59395058961
2,"Acetone",0,0.529018755396616
2,"Butanoic Acid",9.28742210548839,41.5795502725709
2,"Dimethyl Sulfide",0.100443748287488,0.437711901378287
2,"Formic Acid",0,0.405257518301497
2,"Hydrogen Sulfide",0,1.975311535147
2,"Isoprene",0.257923515815076,1.15690107939748
2,"Methanethiol",0,0.0501341134362402
2,"Methanol",0,3.12594796763014
2,"Pentanoic Acid",4.17906689720579,18.219499390917
2,"Phenol",1.00391811362121,4.92532884830885
2,"Propionic Acid",7.9938295559531,35.5814356365575
2,"Trimethylamine",0.0563878344039137,0.181512239321466
2.5,"2,3-Butanedione",0.222940939658513,1.79601366115977
2.5,"2-Butanone",0.103571301986622,3.95938908922698
2.5,"3-Methylindole",0.069706071717754,0.528333707878563
2.5,"4-Ethylphenol",0.639798061379399,3.63896415436098
2.5,"4-Methylphenol",2.55240839700761,16.3996189576389
2.5,"Acetaldehyde",2.7941698472551,22.5324734047595
2.5,"Acetic Acid",35.2369212762476,177.830871865858
2.5,"Acetone",0,0.529018755396616
2.5,"Butanoic Acid",10.1090915504634,51.6886418230343
2.5,"Dimethyl Sulfide",0.124013203029763,0.56172510440805
2.5,"Formic Acid",0,0.405257518301497
2.5,"Hydrogen Sulfide",0,1.975311535147
2.5,"Isoprene",0.213326266203824,1.37022734560131
2.5,"Methanethiol",0.00421324851477643,0.0543473619510167
2.5,"Methanol",0,3.12594796763014
2.5,"Pentanoic Acid",4.58983591437127,22.8093353052882
2.5,"Phenol",1.01259372884548,5.93792257715433
2.5,"Propionic Acid",8.68527283110146,44.266708467659
2.5,"Trimethylamine",0.0415033328324996,0.223015572153966
3,"2,3-Butanedione",0.100387621173622,1.89640128233339
3,"2-Butanone",0,3.95938908922698
3,"3-Methylindole",0.0410795266840957,0.569413234562659
3,"4-Ethylphenol",0.445233116751496,4.08419727111247
3,"4-Methylphenol",2.1437436338213,18.5433625914602
3,"Acetaldehyde",1.17424430388911,23.7067177086486
3,"Acetic Acid",30.0411854513155,207.872057317173
3,"Acetone",0,0.529018755396616
3,"Butanoic Acid",9.2144173863607,60.903059209395
3,"Dimethyl Sulfide",0.0726525290299602,0.63437763343801
3,"Formic Acid",0,0.405257518301497
3,"Hydrogen Sulfide",0,1.975311535147
3,"Isoprene",0.187161215096871,1.55738856069818
3,"Methanethiol",0,0.0543473619510167
3,"Methanol",0,3.12594796763014
3,"Pentanoic Acid",4.18496735509671,26.9943026603849
3,"Phenol",0.858714261051669,6.796636838206
3,"Propionic Acid",7.96116062370602,52.227869091365
3,"Trimethylamine",0.0677492533089213,0.290764825462887
3.5,"2,3-Butanedione",0.187972674241779,2.08437395657517
3.5,"2-Butanone",0,3.95938908922698
3.5,"3-Methylindole",0,0.569413234562659
3.5,"4-Ethylphenol",0.637649107483275,4.72184637859575
3.5,"4-Methylphenol",2.49490579370688,21.038268385167
3.5,"Acetaldehyde",1.56831610848994,25.2750338171385
3.5,"Acetic Acid",38.5901794926709,246.462236809844
3.5,"Acetone",0,0.529018755396616
3.5,"Butanoic Acid",12.3464481791013,73.2495073884964
3.5,"Dimethyl Sulfide",0.102412294315185,0.736789927753196
3.5,"Formic Acid",0,0.405257518301497
3.5,"Hydrogen Sulfide",0,1.975311535147
3.5,"Isoprene",0.151063986845664,1.70845254754384
3.5,"Methanethiol",0,0.0543473619510167
3.5,"Methanol",0,3.12594796763014
3.5,"Pentanoic Acid",5.50995461483251,32.5042572752175
3.5,"Phenol",1.03311448088013,7.82975131908613
3.5,"Propionic Acid",10.1759874097102,62.4038565010752
