"hour_group","hour_label","Category","Category_Sum","Total","Percentage"
0,"0-5","Indole",74.643941864194,871.00027414854,8.56991026060966
0,"0-5","Other",40.8164796207009,871.00027414854,4.68616151247503
0,"0-5","Phenol",462.886686350761,871.00027414854,53.1442641396712
0,"0-5","VFA",287.659728101389,871.00027414854,33.0263648174617
0,"0-5","VSC",4.99343821149577,871.00027414854,0.573299269782341
5,"5-10","Indole",15.1373340742653,242.590764795684,6.23986411313486
5,"5-10","Other",14.5551086867037,242.590764795684,5.99986100005182
5,"5-10","Phenol",128.807289146557,242.590764795684,53.0965345094823
5,"5-10","VFA",79.2866786567377,242.590764795684,32.6833046276576
5,"5-10","VSC",4.80435423142002,242.590764795684,1.98043574967348
10,"10-15","Indole",3.44010492828095,125.031592495593,2.75138855677793
10,"10-15","Other",27.4846470481172,125.031592495593,21.9821618676784
10,"10-15","Phenol",79.8452299148837,125.031592495593,63.8600439466514
10,"10-15","VFA",10.100536150152,125.031592495593,8.07838718882833
10,"10-15","VSC",4.16107445415895,125.031592495593,3.32801844006396
15,"15-20","Indole",14.8855204886087,105.239502906097,14.1444230327568
15,"15-20","Other",24.9319139655852,105.239502906097,23.6906420850653
15,"15-20","Phenol",53.0910429604636,105.239502906097,50.4478275689271
15,"15-20","VFA",6.48933000760521,105.239502906097,6.16624920149569
15,"15-20","VSC",5.84169548383388,105.239502906097,5.55085811175517
20,"20-25","Indole",0,188.601251461581,0
20,"20-25","Other",61.4461792312727,188.601251461581,32.579942473918
20,"20-25","Phenol",56.5388391930379,188.601251461581,29.9779766862019
20,"20-25","VFA",67.2000940004238,188.601251461581,35.6307784172433
20,"20-25","VSC",3.4161390368469,188.601251461581,1.81130242263678
25,"25-30","Indole",2.7808853421792,238.493089008347,1.16602344904085
25,"25-30","Other",28.9410464837932,238.493089008347,12.1349623186692
25,"25-30","Phenol",42.6707888274041,238.493089008347,17.8918345201653
25,"25-30","VFA",163.955601952038,238.493089008347,68.746479251774
25,"25-30","VSC",0.144766402932451,238.493089008347,0.0607004603506075
30,"30-35","Indole",0,70.3935767526923,0
30,"30-35","Other",2.4351931238581,70.3935767526923,3.45939677481293
30,"30-35","Phenol",29.3668498794113,70.3935767526923,41.7180817258133
30,"30-35","VFA",38.5915337494229,70.3935767526923,54.8225214993738
30,"30-35","VSC",0,70.3935767526923,0
35,"35-40","Indole",0,33.1637173358286,0
35,"35-40","Other",0.237383827345514,33.1637173358286,0.715793784338689
35,"35-40","Phenol",20.8103899720269,33.1637173358286,62.7504744455903
35,"35-40","VFA",12.1159435364562,33.1637173358286,36.533731770071
35,"35-40","VSC",0,33.1637173358286,0
40,"40-45","Indole",0,33.5160331079795,0
40,"40-45","Other",1.18513061546216,33.5160331079795,3.53601099403379
40,"40-45","Phenol",19.97852647133,33.5160331079795,59.6088636353968
40,"40-45","VFA",12.3523760211874,33.5160331079795,36.8551253705694
40,"40-45","VSC",0,33.5160331079795,0
45,"45-50","Indole",0,48.1315325116843,0
45,"45-50","Other",4.62691454528271,48.1315325116843,9.61306300429866
45,"45-50","Phenol",11.7001541232956,48.1315325116843,24.3087088915262
45,"45-50","VFA",31.8044638431059,48.1315325116843,66.0782281041751
45,"45-50","VSC",0,48.1315325116843,0
50,"50-55","Indole",33.499155237652,109.899363401651,30.4816644981119
50,"50-55","Other",19.3177278263921,109.899363401651,17.5776521614518
50,"50-55","Phenol",6.88305173058233,109.899363401651,6.263049682487
50,"50-55","VFA",46.9646316101879,109.899363401651,42.7342162470455
50,"50-55","VSC",3.23479699683659,109.899363401651,2.94341741090376
55,"55-60","Indole",48.9876620951479,79.6139172269951,61.5315309199952
55,"55-60","Other",15.3773261599531,79.6139172269951,19.3148719414337
55,"55-60","Phenol",3.78047798072064,79.6139172269951,4.74851396891042
55,"55-60","VFA",2.53191924564426,79.6139172269951,3.18024703950347
55,"55-60","VSC",8.93653174552924,79.6139172269951,11.2248361301573
60,"60-65","Indole",43.6879235425526,74.1042706451213,58.9546636951197
60,"60-65","Other",21.974602528014,74.1042706451213,29.6536250025972
60,"60-65","Phenol",2.32819197031993,74.1042706451213,3.14177840231291
60,"60-65","VFA",2.02542418732012,74.1042706451213,2.73320845031955
60,"60-65","VSC",4.08812841691466,74.1042706451213,5.5167244496506
65,"65-70","Indole",12.1369967152537,51.0442425222234,23.7774058650583
65,"65-70","Other",27.4226760568846,51.0442425222234,53.7233480248932
65,"65-70","Phenol",4.64028551154011,51.0442425222234,9.09071284488128
65,"65-70","VFA",3.27245037019195,51.0442425222234,6.41100780125634
65,"65-70","VSC",3.57183386835305,51.0442425222234,6.99752546391096
70,"70-75","Indole",17.0469202611701,146.502154073305,11.6359519551094
70,"70-75","Other",74.5762854109823,146.502154073305,50.9045657947572
70,"70-75","Phenol",11.2745450503722,146.502154073305,7.69582203189361
70,"70-75","VFA",38.8315092207554,146.502154073305,26.5057599093903
70,"70-75","VSC",4.77289413002536,146.502154073305,3.25790030884948
75,"75-80","Indole",36.4327791860337,66.0445765097814,55.163922779697
75,"75-80","Other",8.34534143396935,66.0445765097814,12.6359223951317
75,"75-80","Phenol",2.2890171979309,66.0445765097814,3.46586702330038
75,"75-80","VFA",10.2580043565587,66.0445765097814,15.5319405447916
75,"75-80","VSC",8.71943433528878,66.0445765097814,13.2023472570793
80,"80-85","Indole",30.3510393169881,55.2506145284721,54.9333968065593
80,"80-85","Other",10.3577656512357,55.2506145284721,18.7468786358894
80,"80-85","Phenol",0.281728006293692,55.2506145284721,0.509909271956622
80,"80-85","VFA",0.164112091131065,55.2506145284721,0.297032155264977
80,"80-85","VSC",14.0959694628235,55.2506145284721,25.5127831303297
85,"85-90","Indole",33.7793903244013,42.1123876723476,80.2124794899291
85,"85-90","Other",4.90984496745319,42.1123876723476,11.6589090261371
85,"85-90","Phenol",0.984873442305765,42.1123876723476,2.33867870415827
85,"85-90","VFA",0.0966470266085637,42.1123876723476,0.229497855501614
85,"85-90","VSC",2.34163191157885,42.1123876723476,5.56043492427395
90,"90-95","Indole",4.43533269712869,43.3134587290007,10.240079705662
