"hours","Category","Category_Mass","Total_Mass"
0,"Indole",0.00421461986904834,1.25148908315908
0,"Other",0.276550203427089,1.25148908315908
0,"Phenol",0.152099710996257,1.25148908315908
0,"VFA",0.755764605548304,1.25148908315908
0,"VSC",0.062859943318383,1.25148908315908
0.5,"Indole",0.00367691653863446,1.8517453570989
0.5,"Other",0.211610261904798,1.8517453570989
0.5,"Phenol",0.152402143563309,1.8517453570989
0.5,"VFA",1.47976522375014,1.8517453570989
0.5,"VSC",0.00429081134201978,1.8517453570989
1,"Indole",0.0030154776022458,2.43121665527139
1,"Other",0.240397921711573,2.43121665527139
1,"Phenol",0.141282975631837,2.43121665527139
1,"VFA",2.03919070730419,2.43121665527139
1,"VSC",0.00732957302154029,2.43121665527139
1.5,"Indole",0.00198033324777775,2.1774250619079
1.5,"Other",0.157079131051208,2.1774250619079
1.5,"Phenol",0.14186283075207,2.1774250619079
1.5,"VFA",1.87222596781632,2.1774250619079
1.5,"VSC",0.00427679904052498,2.1774250619079
2,"Indole",0.00240024061432063,2.06258244936248
2,"Other",0.119714952171722,2.06258244936248
2,"Phenol",0.138075855787249,2.06258244936248
2,"VFA",1.79904327584628,2.06258244936248
2,"VSC",0.00334812494291625,2.06258244936248
2.5,"Indole",0.00232353572392513,2.2133121990205
2.5,"Other",0.112517056264552,2.2133121990205
2.5,"Phenol",0.140160006241083,2.2133121990205
2.5,"VFA",1.95403738573946,2.2133121990205
2.5,"VSC",0.00427421505148466,2.2133121990205
3,"Indole",0.00136931755613652,1.88308987590953
3,"Other",0.0509847464489509,1.88308987590953
3,"Phenol",0.114923033720815,1.88308987590953
3,"VFA",1.71339102721597,1.88308987590953
3,"VSC",0.00242175096766534,1.88308987590953
3.5,"Indole",0,2.42660013807593
3.5,"Other",0.0635784256525794,2.42660013807593
3.5,"Phenol",0.138855646069009,2.42660013807593
3.5,"VFA",2.2207523232105,2.42660013807593
3.5,"VSC",0.0034137431438395,2.42660013807593
4,"Indole",0.00216220101152133,1.68066510039685
4,"Other",0.0559349138483241,1.68066510039685
4,"Phenol",0.0873853152505369,1.68066510039685
4,"VFA",1.53299438064594,1.68066510039685
4,"VSC",0.00218828964052555,1.68066510039685
4.5,"Indole",0.001126744956958,1.00216236189256
4.5,"Other",0.0430700455757434,1.00216236189256
4.5,"Phenol",0.0523766368812206,1.00216236189256
4.5,"VFA",0.898744489059735,1.00216236189256
4.5,"VSC",0.00684444541890236,1.00216236189256
5,"Indole",0.000406287379728825,0.592282541148822
5,"Other",0.029128198403299,0.592282541148822
5,"Phenol",0.0311365874661768,0.592282541148822
5,"VFA",0.529992748578444,0.592282541148822
5,"VSC",0.00161871932117315,0.592282541148822
5.5,"Indole",0.000412092343694673,0.679414343365988
5.5,"Other",0.026178842870079,0.679414343365988
5.5,"Phenol",0.0373302598764867,0.679414343365988
5.5,"VFA",0.613094287600467,0.679414343365988
5.5,"VSC",0.00239886067526045,0.679414343365988
6,"Indole",0.00153199693754407,0.57490940615246
6,"Other",0.0257651150945346,0.57490940615246
6,"Phenol",0.0325881356992581,0.57490940615246
6,"VFA",0.508540767615338,0.57490940615246
6,"VSC",0.00648339080578454,0.57490940615246
6.5,"Indole",0,0.355818219174209
6.5,"Other",0.0239570894898636,0.355818219174209
6.5,"Phenol",0.0237951888966452,0.355818219174209
6.5,"VFA",0.307630382065534,0.355818219174209
6.5,"VSC",0.00043555872216533,0.355818219174209
7,"Indole",0,0.252632865091711
7,"Other",0.00782048398130647,0.252632865091711
7,"Phenol",0.0227288678088634,0.252632865091711
7,"VFA",0.206370628166362,0.252632865091711
7,"VSC",0.015712885135179,0.252632865091711
7.5,"Indole",0.000447727009160434,0.199797045968316
7.5,"Other",0.0148533397473554,0.199797045968316
7.5,"Phenol",0.0226713083342223,0.199797045968316
7.5,"VFA",0.160154611781078,0.199797045968316
7.5,"VSC",0.00167005909649948,0.199797045968316
8,"Indole",0.000144566882033021,0.110647113084759
8,"Other",0.011705572554359,0.110647113084759
8,"Phenol",0.0126130109252904,0.110647113084759
8,"VFA",0.0801468487832571,0.110647113084759
8,"VSC",0.00603711393981948,0.110647113084759
8.5,"Indole",0.000137995660122429,0.1075578934639
8.5,"Other",0.0122295789952785,0.1075578934639
8.5,"Phenol",0.0122768209195147,0.1075578934639
8.5,"VFA",0.0771468225930446,0.1075578934639
8.5,"VSC",0.00576667529594002,0.1075578934639
9,"Indole",0.000131424438211837,0.104468673843042
9,"Other",0.012753585436198,0.104468673843042
9,"Phenol",0.011940630913739,0.104468673843042
9,"VFA",0.0741467964028321,0.104468673843042
9,"VSC",0.00549623665206056,0.104468673843042
9.5,"Indole",0.000124853216301245,0.101379454222183
9.5,"Other",0.0132775918771176,0.101379454222183
9.5,"Phenol",0.0116044409079633,0.101379454222183
9.5,"VFA",0.0711467702126196,0.101379454222183
9.5,"VSC",0.0052257980081811,0.101379454222183
10,"Indole",0.000118281994390653,0.0982902346013241
10,"Other",0.0138015983180371,0.0982902346013241
10,"Phenol",0.0112682509021876,0.0982902346013241
10,"VFA",0.0681467440224071,0.0982902346013241
10,"VSC",0.00495535936430164,0.0982902346013241
10.5,"Indole",0.000111710772480062,0.0952010149804654
10.5,"Other",0.0143256047589566,0.0952010149804654
10.5,"Phenol",0.0109320608964118,0.0952010149804654
10.5,"VFA",0.0651467178321947,0.0952010149804654
10.5,"VSC",0.00468492072042218,0.0952010149804654
11,"Indole",0.00010513955056947,0.0921117953596067
11,"Other",0.0148496111998762,0.0921117953596067
11,"Phenol",0.0105958708906361,0.0921117953596067
11,"VFA",0.0621466916419822,0.0921117953596067
11,"VSC",0.00441448207654272,0.0921117953596067
11.5,"Indole",9.85683286588778e-05,0.089022575738748
11.5,"Other",0.0153736176407957,0.089022575738748
11.5,"Phenol",0.0102596808848604,0.089022575738748
11.5,"VFA",0.0591466654517697,0.089022575738748
11.5,"VSC",0.00414404343266326,0.089022575738748
12,"Indole",9.1997106748286e-05,0.0859333561178893
12,"Other",0.0158976240817153,0.0859333561178893
12,"Phenol",0.00992349087908469,0.0859333561178893
