"hours","Category","Contribution"
0,"Indole",12.4670939569921
0,"Other",4.58974776757766
0,"Phenol",53.7526517143906
0,"VFA",13.123708824579
0,"VSC",2.88921030393037
0.5,"Indole",13.4392295476639
0.5,"Other",6.87972089351819
0.5,"Phenol",65.6788866063239
0.5,"VFA",29.4802209659714
0.5,"VSC",0.294858119612352
1,"Indole",8.6385438775122
1,"Other",6.14191446356357
1,"Phenol",47.1484594761893
1,"VFA",31.2723727772586
1,"VSC",0.55005433689911
1.5,"Indole",6.87550517928765
1.5,"Other",5.19539164232066
1.5,"Phenol",57.0206306777664
1.5,"VFA",34.7651013971173
1.5,"VSC",0.660052758058878
2,"Indole",8.22108043556529
2,"Other",4.54292429777293
2,"Phenol",54.2782877386793
2,"VFA",33.3260774076609
2,"VSC",0.03161253544324
2.5,"Indole",7.44265463404914
2.5,"Other",3.95175127603274
2.5,"Phenol",50.1898890162262
2.5,"VFA",33.9940524634471
2.5,"VSC",0.159334948678205
3,"Indole",4.70637020944678
3,"Other",2.32125683978471
3,"Phenol",45.1471111632734
3,"VFA",33.067609589914
3,"VSC",0.0229453637927371
3.5,"Indole",0
3.5,"Other",1.55554253016121
3.5,"Phenol",30.2610492728554
3.5,"VFA",25.2236337687505
3.5,"VSC",0.0185884398584081
4,"Indole",7.80740789502536
4,"Other",2.58343064841073
4,"Phenol",34.7737119958068
4,"VFA",30.7768772283637
4,"VSC",0.0217820707043087
4.5,"Indole",5.04605612865156
4.5,"Other",3.05479926155851
4.5,"Phenol",24.6360086892492
4.5,"VFA",22.6300736783262
4.5,"VSC",0.344999334518163
5,"Indole",2.25977605172837
5,"Other",2.57951440111519
5,"Phenol",18.4404027065611
5,"VFA",16.7806566086091
5,"VSC",0.0248191655426211
5.5,"Indole",1.83363030893573
5.5,"Other",1.32173462185709
5.5,"Phenol",18.6832830827823
5.5,"VFA",15.7108682528217
5.5,"VSC",0.0797690396422908
6,"Indole",7.68664622118035
6,"Other",1.85644518322632
6,"Phenol",17.1866629868594
6,"VFA",15.0060961469313
6,"VSC",0.50856049516237
6.5,"Indole",0
6.5,"Other",1.9451600943474
6.5,"Phenol",14.2391315296723
6.5,"VFA",10.0304235062215
6.5,"VSC",0.127958203921343
7,"Indole",0
7,"Other",1.2430416735164
7,"Phenol",13.3012070901717
7,"VFA",7.22938221818109
7,"VSC",1.21401512177284
7.5,"Indole",2.24112056130659
7.5,"Other",1.33371819989669
7.5,"Phenol",11.8686215914238
7.5,"VFA",5.31605101182372
7.5,"VSC",0.430191283692283
8,"Indole",1.11616093111423
8,"Other",1.93164062845047
8,"Phenol",10.2565794293141
8,"VFA",3.88483571934991
8,"VSC",0.733950894880224
8.5,"Indole",0
8.5,"Other",0.889964807368399
8.5,"Phenol",10.3285702816937
8.5,"VFA",2.66068357127158
8.5,"VSC",0.189860696875815
9,"Indole",0
9,"Other",0.430492807416277
9,"Phenol",9.52519731945541
9,"VFA",1.61493763574448
9,"VSC",0.559871158541383
9.5,"Indole",0
9.5,"Other",1.02339626950943
9.5,"Phenol",4.9776331286234
9.5,"VFA",1.05274398578342
9.5,"VSC",0.93535817138885
10,"Indole",0
10,"Other",2.51537504273576
10,"Phenol",5.96691337755832
10,"VFA",1.47153805516945
10,"VSC",0.108388068937764
10.5,"Indole",0
10.5,"Other",2.10503417138578
10.5,"Phenol",5.76734065450568
10.5,"VFA",1.2957286275001
10.5,"VSC",0.107260446096227
11,"Indole",0
11,"Other",1.4925380681297
11,"Phenol",5.88786400216019
11,"VFA",1.25803991267912
11,"VSC",0.608887919420123
11.5,"Indole",1.87583735260876
11.5,"Other",0.707352886296688
11.5,"Phenol",4.04858741889207
11.5,"VFA",0.76680525881185
11.5,"VSC",0.256257406382723
12,"Indole",0
12,"Other",2.24465899861165
12,"Phenol",7.41744499546277
12,"VFA",0.860960475310998
12,"VSC",0.00159323948111361
12.5,"Indole",0
12.5,"Other",5.22879865819686
12.5,"Phenol",12.602545085464
12.5,"VFA",1.66523104040804
12.5,"VSC",0.241856481020221
13,"Indole",0
13,"Other",2.41572687407304
13,"Phenol",7.4713373048844
13,"VFA",1.12298271500374
13,"VSC",0.574847992768738
13.5,"Indole",1.43594281475468
13.5,"Other",3.80936800609536
13.5,"Phenol",11.713318489496
13.5,"VFA",0.725103883635042
13.5,"VSC",0.410685703443396
14,"Indole",0
14,"Other",2.34424765123888
14,"Phenol",7.46552833635863
14,"VFA",0.391659120393591
14,"VSC",1.27451790290904
14.5,"Indole",0.128324760917516
14.5,"Other",4.6215466913535
14.5,"Phenol",11.5043502501016
14.5,"VFA",0.542487061240088
14.5,"VSC",0.576779293699611
15,"Indole",2.04157369925231
15,"Other",1.46906414680302
15,"Phenol",7.23577214529104
15,"VFA",0.708581275000713
15,"VSC",0.996398549052915
15.5,"Indole",7.28789752580665
15.5,"Other",1.84377286557762
15.5,"Phenol",5.86370662121707
15.5,"VFA",0.464095846094038
15.5,"VSC",0.807625756576208
16,"Indole",0.0892730917639089
16,"Other",1.99872335003293
16,"Phenol",3.56426992568206
16,"VFA",0.501269547038937
16,"VSC",0.227660988795075
16.5,"Indole",0
16.5,"Other",4.93362586823311
16.5,"Phenol",6.05382942804671
16.5,"VFA",0.628704352598643
16.5,"VSC",1.01313678876104
17,"Indole",0
17,"Other",2.74908729913094
17,"Phenol",5.62856791405705
17,"VFA",0.729159843433287
17,"VSC",0.0960649267991093
17.5,"Indole",0
17.5,"Other",2.4884684160026
17.5,"Phenol",5.1166415501502
17.5,"VFA",1.02321788467038
17.5,"VSC",1.10091245431943
18,"Indole",0
18,"Other",3.20693868321712
18,"Phenol",5.82956063958322
18,"VFA",0.790382227653956
18,"VSC",0.215834993966932
18.5,"Indole",0
18.5,"Other",2.05831917534181
18.5,"Phenol",4.70333677636241
18.5,"VFA",0.456165402783386
18.5,"VSC",0
19,"Indole",0
19,"Other",2.48944876613876
19,"Phenol",5.07677601465577
19,"VFA",0.718721377283282
19,"VSC",0.00213753733756785
