"hours","SOAV","Compound","Contribution","Category"
0,86.8224125674697,"acetic_acid",1.00386331834711,"VFA"
0,86.8224125674697,"pentanoic_acid",3.63754710111576,"VFA"
0,86.8224125674697,"acetaldheyde",2.45361674097599,"Other"
0,86.8224125674697,"formic_acid",0,"VFA"
0,86.8224125674697,"methanthiol",0.281411352351947,"VSC"
0,86.8224125674697,"acetone",8.41398778238699e-06,"Other"
0,86.8224125674697,"X2_butanone",0.00216913604444311,"Other"
0,86.8224125674697,"X2_3_butandion",2.03126761201223,"Other"
0,86.8224125674697,"phenol",0.0494266084361243,"Phenol"
0,86.8224125674697,"X4_methyl_phenol",53.2358320388487,"Phenol"
0,86.8224125674697,"X4_ethyl_phenol",0.467393067105746,"Phenol"
0,86.8224125674697,"propanoic_acid",0.326200391836683,"VFA"
0,86.8224125674697,"trimethylamine",0.100435974222408,"Other"
0,86.8224125674697,"isoprene",0.0022022297035575,"Other"
0,86.8224125674697,"hydrogen_sulfide",2.5921646836167,"VSC"
0,86.8224125674697,"methanol",4.76606312533602e-05,"Other"
0,86.8224125674697,"dimethyl_sulfide",0.0156342679617176,"VSC"
0,86.8224125674697,"X3_methylindole",12.4670939569921,"Indole"
0,86.8224125674697,"butanoic_acid",8.15609801327941,"VFA"
0.5,115.77291613309,"acetic_acid",2.51473963139687,"VFA"
0.5,115.77291613309,"pentanoic_acid",7.78686996714828,"VFA"
0.5,115.77291613309,"acetaldheyde",2.99438787420405,"Other"
0.5,115.77291613309,"formic_acid",7.83587049683742e-05,"VFA"
0.5,115.77291613309,"methanthiol",0.199614629986529,"VSC"
0.5,115.77291613309,"acetone",0,"Other"
0.5,115.77291613309,"X2_butanone",0.00121724344516842,"Other"
0.5,115.77291613309,"X2_3_butandion",3.67978584960161,"Other"
0.5,115.77291613309,"phenol",0.0598394316074848,"Phenol"
0.5,115.77291613309,"X4_methyl_phenol",64.9771895871567,"Phenol"
0.5,115.77291613309,"X4_ethyl_phenol",0.641857587559773,"Phenol"
0.5,115.77291613309,"propanoic_acid",0.762881643927152,"VFA"
0.5,115.77291613309,"trimethylamine",0.201047183916154,"Other"
0.5,115.77291613309,"isoprene",0.00324902613713028,"Other"
0.5,115.77291613309,"hydrogen_sulfide",0.0667494442276051,"VSC"
0.5,115.77291613309,"methanol",3.37162140780706e-05,"Other"
0.5,115.77291613309,"dimethyl_sulfide",0.0284940453982173,"VSC"
0.5,115.77291613309,"X3_methylindole",13.4392295476639,"Indole"
0.5,115.77291613309,"butanoic_acid",18.4156513647941,"VFA"
