"elapsed.time","valve","treatment","group","date.time.weather","date.y","time.y","temp","air.temp.K","air.flow","dfc.area","methanol","H2S","4_Methylphenol","acetic_acid","butanoic_acid","pentanoic_acid","propanoic_acid","acetladheyde","formic_acid","methanthiol","acetone","trimethylamine","dimethyl_sulfide","isopren","butanone","butandion","phenol","4_ethyl_phenol","methyl_indole"
0,2,"0-bp","No acid",2024-09-18 12:00:00,2024-09-18,6,8.2,281.35,2280,0.38465,0,0,0.00683159151310428,0,0,0,0,0,0,0,0,0,0.00593945216461947,0,0,0,0,0,0.00374400152952148
0,6,"0-bp","No acid",2024-09-18 13:00:00,2024-09-18,7,9.2,282.35,2280,0.38465,0,5.40574167248247,0.242952210886783,0.471922353408691,0.0873850769464361,0.0726359112871938,0.0831852417882412,0,0.00819399286642311,0.00511042857626502,0.105104911280331,0.0046604256928884,0.000268333080242382,0,0.129483936684538,0,0.100931577267835,0.0174037359469294,0
0,14,"0-bp","No acid",2024-09-18 14:00:00,2024-09-18,8,10.7,283.85,2280,0.38465,0,0.0141341944988862,0.0891714501404764,0.820102809170336,0.176592777580224,0.125589108569167,0.182556578211285,0,0.00708387142069558,0,0,0,0.00999174815626796,0.0048583391006021,0.00302494685752419,0,0.0127965156329018,0.0134287275215027,0
3,2,"0-bp","No acid",2024-09-18 15:00:00,2024-09-18,9,12.8,285.95,2280,0.38465,0,0,0.0798685676058855,1.34053248138703,0.304173355364997,0.197172297825655,0.305814124395094,0.0140798198319014,0.00490501812386384,0,0,0,0.00734242314755242,0,0.0195227153043356,0,0.0253318630796824,0.00935192908020186,0
3,6,"0-bp","No acid",2024-09-18 15:00:00,2024-09-18,9,12.8,285.95,2280,0.38465,0,0.000834697363546785,0.0696092164668138,1.31008929578838,0.307181155766813,0.193684746840266,0.311982666009041,0.0021536861654174,0.0103811355819268,0,0.0125089608031637,0,0.0128420508940351,0,0.00125611932113447,0,0.0194110671885797,0.0105968913160604,0.00107008147602566
3,14,"0-bp","No acid",2024-09-18 16:00:00,2024-09-18,10,15.4,288.55,2280,0.38465,0.145425106136076,0.022128979020983,0.0421004354413227,0.85031661401903,0.133227969590341,0.116016290594865,0.23709485002298,0.163441886247235,0.00606388288624509,0,0.142550392352002,0.000433071718766628,0.00883219345671865,0.00345757964360391,0.0175167967753294,0,0.0108243434616034,0,0
5,2,"0-bp","No acid",2024-09-18 17:00:00,2024-09-18,11,17.7,290.85,2280,0.38465,0.161366826444995,0.0535070312509894,0.039646229481727,1.17242499151348,0.20268658306107,0.126504207529725,0.305977036374008,0.111317098304294,0.0257343904850246,0,0.163816701672907,0.00883827076671862,0.00942202411543175,0.0106823503771558,0.0110814072910483,0.0158216004883797,0.0221461376641264,0.00682661394334881,0
5,6,"0-bp","No acid",2024-09-18 18:00:00,2024-09-18,12,18.8,291.95,2280,0.38465,0,0.027282087425285,0.0405953917958728,0.870867732636472,0.170740887556199,0.115697856584071,0.197425496521832,0,0.0148163514803856,0.000650145807222189,0.0224847404297511,0.00406873239452656,0.00916693399357228,0,0,0,0.015790935302726,0.00307320948995195,0
5,14,"0-bp","No acid",2024-09-18 19:00:00,2024-09-18,13,19.7,292.85,2280,0.38465,0.0824803400689142,0.00696699718842291,0.0275181284878207,0.685379286282987,0.106012825838882,0.078654723591642,0.177193863668186,0.0483264406693377,0.0146874470638139,0,0.0835572079121164,0,0.0138447851194083,0.00740666219635558,0.0117007027163978,0.0029531584029137,0.0148582433109756,0.00235343239630675,0
8,2,"0-bp","No acid",2024-09-18 20:00:00,2024-09-18,14,20,293.15,2280,0.38465,0.0546300427009125,0,0.0235893184022911,0.646272497865758,0.0991829358788698,0.0827770622163883,0.13841521225175,0.021265321730041,0.00571323028306845,0,0.084047233011265,0.0067593897220235,0.00859521220806932,0.00354249194109694,0.00273823488408651,0.00386669745912655,0.0171187680561473,0.0034592378462386,0
8,6,"0-bp","No acid",2024-09-18 20:00:00,2024-09-18,14,20,293.15,2280,0.38465,0,0,0.0314977189091683,0.535884712266337,0.137764664272895,0.0765472040961377,0.120076197809979,0.00898635296856985,0.00653338902175387,0.000133591713103004,0.0194279523054242,0.00630918204249003,0.00545235522866306,0,0.00413699952092458,0,0.00899631737579897,0.0117013122847994,0
8,14,"0-bp","No acid",2024-09-18 21:00:00,2024-09-18,15,19.9,293.05,2280,0.38465,0.0471203026573888,0,0.0182928473174838,0.389506799346069,0.0630556737211578,0.0487879107212885,0.0910753881090006,0.0153893278753158,0.00261848518934789,0,0.0519189658064799,0.00454370311732354,0.00699768384097729,0.00149667192388792,0.0075854046772864,0.00289595570971865,0.0100866927142222,0.000438599084850648,0
10,2,"0-bp","No acid",2024-09-18 22:00:00,2024-09-18,16,19.6,292.75,2280,0.38465,0.0617907901873216,0.0210060487634333,0.0183624210182647,0.378688061094399,0.0615225247432848,0.0449981871682947,0.0886728321508637,0.0223942473471208,0.0222450999760493,0,0.177961091375068,0,0,0.0047246152883729,0.0254273414698042,0.00706489677543905,0.00616817547321741,0.000698757651867103,0.0034095088923893
10,6,"0-bp","No acid",2024-09-18 23:00:00,2024-09-18,17,18.6,291.75,2280,0.38465,0,0.00638332999204919,0.0130188513696177,0.271850425197869,0.0532238321049425,0.0622438225470182,0.0762913658213537,0,0,0,0.0495894645637583,0.00499158878234279,0.0031680056356889,0,0.00587604234540434,0,0.00250698941369318,0.0042958660497426,0
