RoundedTime,Cycle number,m_z_33_methanol,m/z_35_H2S,m_z_109_4-Methylphenol,m_z_61+43_acetic_acid,m_z_71+89_butanoic_acid,m_z_85+103_pentanoic_acid,m_z_57+75_propanoic_acid,m_z_45.00_acetaldheyde,m_z_47.00_formic_acid,m_z_49.00_methanthiol,m_z_59.00_acetone,m_z_60.00_trimethylamine,m_z_63.00_dimethyl_sulfide,m_z_69.00_isopren,m_z_73.00_2_butanone,m_z_79.00_benzen,m_z_87.00_2_3_butandion,m_z_95.00_phenol,m_z_123.00_4_ethyl_phenol,m_z_132.00_3_methyl_indole,m_z_33_methanol_ug,m_z_35_H2S_ug,m_z_109_4-Methylphenol_ug,m_z_61+43_acetic_acid_ug,m_z_71+89_butanoic_acid_ug,m_z_85+103_pentanoic_acid_ug,m_z_45.00_acetladheyde_ug,m_z_47.00_formic_acid_ug,m_z_49.00_methanthiol_ug,m_z_59.00_acetone_ug,m_z_63.00_dimethyl_sulfide_ug,m_z_73.00_2_butanone_ug,m_z_87.00_2_3_butandion_ug,m_z_95.00_phenol_ug,m_z_109.00_4_methyl_phenol_ug,m_z_123.00_4_ethyl_phenol_ug,m_z_132.00_3_methyl_indole_ug,m_z_57+75_propanoic_acid_ug,m_z_60.00_trimethylamine_ug,m_z_69.00_isoprene_ug
18/09/2024 17.30,3786,24.86097543,3.977966572,0.45880376,16.86996878,2.942745756,1.246795756,3.264207975,7.859265366,2.736126089,0.098739993,9.748330883,0.440596019,0.214704952,0.422237931,1.055466186,0.17679182,0.498800937,0.334116928,0.215586959,0.148175296,32.56468516,5.529759119,2.027706959,41.41346199,10.71907181,5.204855224,14.22775227,5.148363115,0.193860086,23.14169633,0.544615664,3.15410185,1.75523317,1.285118519,2.027706959,1.076381247,0.794353855,9.884364883,1.06452675,1.175409206
18/09/2024 18.00,3854.5,25.41721664,4.036124713,0.457668481,15.79164672,2.788871916,1.194317541,3.012007505,7.436411246,2.586743422,0.090175555,9.89343217,0.4045669,0.199907727,0.390409153,1.007994001,0.168178064,0.454905998,0.313181714,0.204636793,0.151428128,33.29328972,5.610604572,2.022689535,38.76632908,10.15858005,4.98578044,13.46225277,4.867280961,0.17704519,23.48615427,0.507081362,3.012238372,1.600771046,1.204595119,2.022689535,1.021709326,0.811791984,9.120675348,0.977476575,1.086805518
18/09/2024 18.30,3922.5,25.7819471,4.262184798,0.429234524,14.42458202,2.620155317,1.166786111,2.841079848,7.26047325,2.349512432,0.102255939,10.13107103,0.401193125,0.199047946,0.382332985,1.039392904,0.179392497,0.439262264,0.30557978,0.203910869,0.153886488,33.77103978,5.924850003,1.897024192,35.41037255,9.544022939,4.870848136,13.14374944,4.420901212,0.20076308,24.05028841,0.504900462,3.106069267,1.545722231,1.175355698,1.897024192,1.018084938,0.824971017,8.603088433,0.969325178,1.0643234
18/09/2024 19.00,3990.5,26.51838442,4.185959587,0.372397284,10.48036135,1.934132695,0.867651068,2.12796356,7.062330273,2.177621759,0.101174653,10.37672825,0.382400974,0.19394497,0.419004931,1.086015716,0.167055338,0.444795453,0.263461245,0.174204271,0.143411934,34.73567811,5.818889571,1.64582907,25.7278512,7.04515747,3.622083384,12.78504808,4.097467434,0.198640148,24.63345745,0.491956368,3.245394525,1.565192999,1.0133546,1.64582907,0.869766019,0.768817921,6.443697352,0.923921346,1.166409309
18/09/2024 19.30,4059,25.93667708,4.602575716,0.356391325,8.198107958,1.505998347,0.702095271,1.703648521,6.596472921,2.063883389,0.089994423,10.46021657,0.377783582,0.208321649,0.350434261,1.035716743,0.182924251,0.430757736,0.258043436,0.163295796,0.141251342,33.97371619,6.398026373,1.575089905,20.12523181,5.485660593,2.930956592,11.94169915,3.883454479,0.176689566,24.83165152,0.528423926,3.095083614,1.515795603,0.992516006,1.575089905,0.815302253,0.757235188,5.15882681,0.912765237,0.975524999
18/09/2024 20.00,4127.5,25.57758384,4.315459067,0.314522359,6.319346215,1.181655609,0.577375557,1.350991453,6.479986066,1.924246864,0.120538711,9.379441718,0.340663327,0.227468698,0.333285927,0.976056135,0.181312137,0.391316882,0.228288114,0.170140626,0.141000012,33.50335015,5.998906401,1.390047843,15.51312914,4.304228899,2.410303505,11.73082116,3.620710909,0.236658359,22.26598529,0.576991891,2.916796864,1.37700698,0.878067703,1.390047843,0.849477077,0.755887833,4.090944136,0.823078758,0.927788146
18/09/2024 20.30,4195.5,25.47701883,4.42958138,0.280817774,5.011533962,0.923176722,0.470519156,1.09024973,6.426747399,1.770263331,0.102656803,9.311605782,0.322305735,0.268676728,0.339466129,0.989580457,0.193233292,0.395852406,0.225818927,0.156594695,0.168293876,33.3716229,6.157547478,1.241088685,12.30262925,3.362708981,1.964222348,11.63444236,3.330971652,0.201550111,22.10494863,0.681519237,2.957212265,1.392967059,0.868570436,1.241088685,0.781845035,0.902207673,3.301390791,0.77872487,0.944992346
18/09/2024 21.00,4263.5,25.58718593,4.921257627,0.287269063,4.335221259,0.724554463,0.410886609,0.917071545,5.944860682,1.72504541,0.106181841,8.85830793,0.328308275,0.243455135,0.301377651,0.967690949,0.196142696,0.351605942,0.22871796,0.150579958,0.175739576,33.51592767,6.841025119,1.269600489,10.64237422,2.639219275,1.715281193,10.76207522,3.245888484,0.208470956,21.02885864,0.617542721,2.891798766,1.237267948,0.879721026,1.269600489,0.751814692,0.942123372,2.776989042,0.793227642,0.838963153
18/09/2024 21.30,4332,25.0269574,4.89355404,0.268749395,3.727816379,0.594102817,0.328895175,0.747695238,5.913278194,1.7026745,0.104417207,8.346833517,0.300350781,0.259561232,0.264500023,1.092985265,0.186676102,0.313453102,0.203494291,0.150235078,0.166767749,32.78210023,6.802514447,1.18775186,9.151278463,2.164043815,1.373000961,10.70490095,3.203794821,0.205006381,19.81466252,0.658397078,3.266221972,1.103011726,0.782702882,1.18775186,0.750092776,0.894026249,2.264099779,0.725679369,0.736304673
18/09/2024 22.00,4400.5,25.02209733,5.040564778,0.180963014,3.132358741,0.465818106,0.268978033,0.654978785,5.705192833,1.659620716,0.093123157,7.875639637,0.297837114,0.251499789,0.257381589,1.039647283,0.165757514,0.305945732,0.163948985,0.131603576,0.146719461,32.77573416,7.006873623,0.799775407,7.689511546,1.69676151,1.122871738,10.32820073,3.122783747,0.182832332,18.69608891,0.637948606,3.10682944,1.076594003,0.63059923,0.799775407,0.657069529,0.786549259,1.983344612,0.719606082,0.716488658
18/09/2024 22.30,4468.5,25.57338485,4.607510741,0.195800048,3.06523151,0.488273637,0.296469256,0.678300952,6.134321718,1.721610327,0.110458121,8.142938634,0.304486614,0.257891613,0.234922521,1.217720642,0.186263566,0.327293554,0.186414158,0.137919433,0.148345334,33.49785001,6.404886536,0.865348445,7.524723391,1.778556698,1.237636194,11.10505953,3.239424946,0.216866743,19.33063366,0.654161961,3.638974874,1.151714962,0.717007333,0.865348445,0.688603303,0.795265412,2.053966587,0.73567198,0.653967996
18/09/2024 23.00,4536.5,25.29671707,4.461378471,0.186349504,2.60502664,0.459192649,0.274148665,0.628847494,5.919302716,1.480209284,0.103896591,7.623665747,0.290746331,0.23530887,0.200620128,0.966876554,0.169223154,0.319644424,0.167633454,0.136955308,0.177049601,33.13545076,6.201748516,0.823581278,6.394983487,1.672628009,1.144456986,10.71580723,2.78519872,0.203984235,18.09792464,0.596879092,2.88936507,1.124798402,0.644770852,0.823581278,0.683789621,0.949146297,1.904216317,0.702473999,0.558478357
18/09/2024 23.30,4605,25.94793592,4.736253646,0.192772531,2.829390135,0.456182185,0.273602331,0.618757106,6.228627976,1.522634486,0.10768135,6.546416049,0.267967975,0.236269192,0.211561612,0.970982172,0.188029224,0.283394399,0.177642269,0.124425879,0.166057624,33.98846382,6.583851653,0.851968178,6.945765126,1.661662273,1.142176268,11.27578364,2.865027039,0.211415,15.54062681,0.599315021,2.90163409,0.997238,0.683267895,0.851968178,0.621232769,0.890219335,1.873661561,0.647439072,0.588936825
19/09/2024 00.00,4673.5,25.55928203,4.58244612,0.16357977,2.172029542,0.378339481,0.227809497,0.53575694,6.135842056,1.346516394,0.122160837,5.691585106,0.261751024,0.244217356,0.205838955,0.79373033,0.169748104,0.261050408,0.156383514,0.124206388,0.187637588,33.47937713,6.370044284,0.722949258,5.332034937,1.378117038,0.951010175,11.10781182,2.533638843,0.239843142,13.51133191,0.619476153,2.371943638,0.918611618,0.601500052,0.722949258,0.620136896,1.0059075,1.622328332,0.632418259,0.57300632
19/09/2024 00.30,4741.5,25.84875173,4.137327462,0.22418215,2.01686522,0.366200613,0.246471204,0.489558969,6.414212888,1.299356855,0.124421776,5.523126157,0.265297412,0.228006675,0.206567996,0.916272405,0.181697595,0.302518003,0.195937633,0.134361194,0.131803989,33.85854527,5.751286204,0.990784614,4.951127785,1.333900713,1.028915061,11.61175094,2.444902277,0.244282133,13.11142491,0.578356511,2.738142184,1.06453215,0.753637605,0.990784614,0.670837749,0.706588815,1.48243602,0.640986709,0.575035795
19/09/2024 01.00,4809.5,26.86789073,4.471240634,0.31962779,2.360275036,0.471311603,0.278233501,0.609141251,6.781611652,1.238385351,0.121869785,8.674423995,0.315976949,0.250234423,0.203920261,1.426301472,0.170779042,0.377949608,0.26240078,0.167314285,0.173190308,35.19348648,6.215457878,1.412611559,5.794151831,1.716771795,1.16150948,12.27685872,2.330176774,0.239271709,20.59233405,0.634738907,4.262287293,1.329968812,1.009275719,1.412611559,0.835365739,0.928456989,1.84454374,0.763433849,0.567665134
19/09/2024 01.30,4878,25.9066413,4.667856139,0.225657254,1.931634886,0.387117059,0.253839975,0.569416075,6.126573379,1.200855353,0.120109768,5.513815198,0.242960198,0.23666243,0.205459693,0.888510572,0.187549316,0.281314123,0.201156545,0.140004207,0.183212749,33.93437317,6.488772488,0.997303913,4.741898993,1.410089724,1.059676624,11.09103259,2.259559393,0.235816198,13.08932149,0.600312499,2.655180125,0.989917709,0.773711176,0.997303913,0.699012149,0.982186351,1.724251732,0.58701763,0.571950545
19/09/2024 02.00,4946.5,26.81995088,5.063998425,0.311677954,2.028268912,0.364365867,0.224860843,0.530980605,6.288792102,1.217293854,0.125563634,7.943737535,0.295387029,0.244946344,0.195096316,1.095899135,0.195833302,0.340224956,0.255283828,0.141039934,0.17623568,35.13069144,7.039448663,1.377476847,4.979122285,1.327217577,0.938700769,11.3846997,2.290490488,0.246523987,18.85774744,0.621325288,3.274929635,1.197219339,0.981901686,1.377476847,0.704183321,0.944782941,1.607865088,0.713686418,0.543101387
19/09/2024 02.30,5014.5,27.26914472,5.264724816,0.231400309,1.8089358,0.322098085,0.231181488,0.479693427,6.195206075,1.189141841,0.126658706,6.488702538,0.271552379,0.231338894,0.202902461,0.9899125,0.200805479,0.318920203,0.190926896,0.135246338,0.159997178,35.71907768,7.318477804,1.02268564,4.440689546,1.173255453,0.965086841,11.21527944,2.237518956,0.248673985,15.40361991,0.58680894,2.958204525,1.122249937,0.734364736,1.02268564,0.675257088,0.857729857,1.452562123,0.656099372,0.564831825
19/09/2024 03.00,5082.5,27.95033582,4.695406621,0.298364483,1.760337373,0.326924164,0.23438348,0.480830032,6.750260063,1.187849073,0.145477472,7.508167301,0.297512888,0.262095677,0.225769885,1.314081782,0.19215636,0.392154135,0.251466782,0.14180129,0.178035057,36.61135055,6.527070329,1.318637275,4.321387067,1.190834642,0.978453827,12.22010245,2.235086453,0.285621603,17.82374129,0.664825893,3.92693564,1.379953193,0.967220131,1.318637275,0.707984611,0.954429231,1.456003882,0.718822718,0.628489253
19/09/2024 03.30,5151,25.24401626,5.253872482,0.221000133,1.807394299,0.342687852,0.227204209,0.507733766,5.670598935,1.192637063,0.122324656,5.139787101,0.237424941,0.208288937,0.191637748,0.731118614,0.229990062,0.266070274,0.199943757,0.143692277,0.181588239,33.06641946,7.303392008,0.976721523,4.436905372,1.24825452,0.948483348,10.26557485,2.244095654,0.240164776,12.20141107,0.528340947,2.184837945,0.936276049,0.769046415,0.976721523,0.717425921,0.973477505,1.537471218,0.573643859,0.533473563
19/09/2024 04.00,5219.5,26.4031857,4.698073831,0.186350272,1.680988302,0.322691242,0.194918737,0.488589027,5.680323728,1.161036733,0.129009491,4.717618733,0.234958953,0.213794909,0.191071051,0.696675779,0.224673143,0.254728317,0.156358241,0.123276206,0.175189846,34.58478257,6.530778009,0.823584669,4.12659597,1.17541605,0.813704892,10.28317979,2.184635685,0.253289372,11.19921979,0.542307269,2.081910717,0.896364779,0.601402845,0.823584669,0.615492688,0.93917632,1.479498935,0.567685771,0.531896013
19/09/2024 04.30,5287.5,25.76058087,4.689073924,0.143044098,1.579841202,0.314044315,0.212090261,0.43706386,5.495551978,1.117528648,0.120161057,4.022267884,0.227183438,0.220652905,0.199841867,0.613515421,0.225317322,0.250961467,0.136745223,0.114420385,0.173505396,33.74305276,6.518267267,0.632190795,3.878293696,1.143919266,0.885388885,9.948684576,2.102769787,0.235916897,9.548516874,0.559703106,1.833398504,0.883109591,0.525965026,0.632190795,0.571277399,0.930146146,1.323475313,0.548899303,0.556311865
