"rn"	"Sensor"	"Source"	"SensorHeight"	"SourceArea"	"CE"	"CE_se"	"CE_lo"	"CE_hi"	"uCE"	"uCE_se"	"uCE_lo"	"uCE_hi"	"vCE"	"vCE_se"	"vCE_lo"	"vCE_hi"	"wCE"	"wCE_se"	"wCE_lo"	"wCE_hi"	"N_TD"	"TD_Time_avg"	"TD_Time_max"	"Max_Dist"	"UCE"	"Ustar"	"L"	"Zo"	"sUu"	"sVu"	"sWu"	"z_sWu"	"WD"	"d"	"N0"	"MaxFetch"	"Time"	"SH"	"UST"	"sigW"	"sigU"	"sigV"	"WS"	"airT"	"Pair"	"z_sonic"	"z0"	"kv"	"A"	"alpha"	"bw"	"C0"
"1"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	3.10890343645214	0.0507611982823239	3.00941211178702	3.20839476111726	-1.38217972694443	0.0469831898870984	-1.47426620159506	-1.29009325229381	-0.00433924575751079	0.0391243093367916	-0.0810224111326854	0.0723439196176639	0.661041281126912	0.0205814072727772	0.620701975863623	0.701380586390202	44950	9.64870967741935	32.7	24.55	5.64077795296496	0.2991849	-30.8	0.06261	2.667	2.825	1.274	1.9	56.602	0.1	1e+05	75	"18-Sep-2024 12:00:00"	77.5972121447376	0.299184886113947	1.27449314490374	2.66741172430642	2.82467317206519	2.55254987057227	17.7571684498613	102908.28208865	2	0.0626084587854471	0.4	0.5	0.02	1.204	4.121
"2"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	2.85441773962795	0.059755270758034	2.73729814346762	2.97153733578827	-0.966319605234611	0.0363098818734391	-1.0374865273772	-0.895152683092022	0.122428102286399	0.0613472723425916	0.00218820258958738	0.24266800198321	0.547896718814561	0.0202319191657358	0.508242405945085	0.587551031684037	29151	12.304438955782	52.3	24.56	3.94330816470729	0.1950637	-8.4	0.02901	3.368	4.653	1.531	1.9	51.823	0.1	1e+05	75	"18-Sep-2024 12:30:00"	79.2958446144577	0.195063731121008	1.53071605609531	3.36828777184652	4.65279182880648	2.03934370500827	18.4545372859754	102960.067921324	2	0.0290087333845497	0.4	0.5	0.02	1.288	4.661
"3"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	3.52696629464867	0.0603149871700927	3.40874966120087	3.64518292809647	-1.19815827346338	0.0416637492452628	-1.27981870984379	-1.11649783708298	0.305297423219298	0.0393781027586691	0.22811682585693	0.382478020581666	0.587515241731143	0.0182267394400307	0.551791056475923	0.623239426986364	38598	12.8426421058086	53.4	25.31	4.57506150371888	0.2185681	-11.6	0.0543	2.946	3.376	1.428	1.9	64.651	0.1	1e+05	75	"18-Sep-2024 13:00:00"	80.4959949839659	0.218568137856047	1.42844356958775	2.94647879906942	3.37560422524805	1.94250765940851	18.7786807546617	102978.528193692	2	0.0542963148396086	0.4	0.5	0.02	1.25	4.405
"4"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	2.76436347389607	0.0494412931596145	2.66745914704688	2.86126780074526	-0.879378102079817	0.0329211522013655	-0.943903155720179	-0.814853048439454	0.769017482013474	0.0376026958929318	0.695316660284245	0.842718303742703	0.478324426448454	0.0165066401670672	0.44597161462439	0.510677238272519	32144	12.2032572175212	48	24.98	3.50181136685738	0.2159388	-11.7	0.05777	3.131	4.152	1.484	1.9	78.08	0.1	1e+05	75	"18-Sep-2024 13:30:00"	77.2618116303443	0.215938789199296	1.48394605069964	3.13106864746957	4.15217593500177	1.88558571812187	19.1709456348489	102987.834248273	2	0.0577739053870448	0.4	0.5	0.02	1.3	4.746
"5"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	3.35024867528992	0.0701281846138689	3.21279829547838	3.48769905510145	-1.5323999132479	0.0530807802372721	-1.63643759003189	-1.42836223646391	0.124751529039186	0.0477098568977617	0.0312407959800191	0.218262262098352	0.544354758836771	0.0208055115139868	0.503576212015451	0.585133305658091	35822	13.2741583384512	71.2	25.04	3.95237008635092	0.220241	-13.1	0.05702	3.771	4.075	1.368	1.899	48.938	0.101	1e+05	75	"18-Sep-2024 14:00:00"	73.5472364632264	0.220240973619231	1.3682619031012	3.77064540948716	4.074678962326	1.93032142547378	19.6116624738672	103009.290295149	2	0.0570223764235788	0.4	0.5	0.02	1.213	4.175
"6"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	3.30510169383389	0.071555647663202	3.16485350399236	3.44534988367542	-1.32349055554841	0.0553246301879005	-1.43192615065372	-1.2150549604431	0.589296709389273	0.0599099110326611	0.471874020191553	0.706719398586994	0.509416874684866	0.0199866568268726	0.470243272984741	0.54859047638499	34902	13.5378087215632	60.8	25.59	3.67261591798171	0.2306294	-17.6	0.08644	3.047	4.08	1.276	1.899	67.843	0.101	1e+05	75	"18-Sep-2024 14:30:00"	62.6787576882075	0.230629439637806	1.27594079454908	3.04743518922066	4.08013847004464	1.78148403818067	19.9354519404226	103111.076520324	2	0.0864380705549659	0.4	0.5	0.02	1.162	3.887
"7"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	3.09093037221209	0.0607174959646119	2.97192482647477	3.20993591794942	-1.41158735656527	0.0466512318874976	-1.50302319761718	-1.32015151551337	-0.0342115548090415	0.0454017045401542	-0.123198337619633	0.0547752280015498	0.549013283302039	0.0198232363875266	0.510159983654231	0.587866582949846	34768	11.8350494707777	43.1	24.26	4.22299940710648	0.2253005	-16.6	0.04583	3.188	3.811	1.342	1.899	45.738	0.101	1e+05	74	"18-Sep-2024 15:00:00"	61.8279455020864	0.22530052365121	1.34219057730234	3.18771704055906	3.81098286240408	2.09764799644318	20.0884461740752	102969.357074315	2	0.0458307117329879	0.4	0.5	0.02	1.216	4.193
"8"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	3.31659635827177	0.0626085272537708	3.19388441445268	3.43930830209086	-1.87042997317206	0.0527925570282083	-1.97390273600919	-1.76695721033493	-0.181103895185301	0.0458276814207805	-0.270925587445715	-0.0912822029248873	0.59485684920499	0.0209080934762704	0.553877242998556	0.635836455411425	35899	12.0239198863478	54	23.83	4.58498797151183	0.2535618	-26.2	0.05847	3.016	3.166	1.149	1.899	40.624	0.101	1e+05	74	"18-Sep-2024 15:30:00"	56.0185699198201	0.253561827283861	1.14939802937688	3.01598402859902	3.16582354993819	2.20636109329941	20.2518480814396	102974.802448921	2	0.0584674579608381	0.4	0.5	0.02	1.076	3.48
"9"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	1.90607178860025	0.0450701335147529	1.8177348809237	1.9944086962768	-0.977641923722975	0.0344864648032626	-1.04523497082188	-0.910048876624074	-0.156830317847545	0.0269058935989399	-0.209565538568085	-0.104095097127006	0.377435555718579	0.0132105018581578	0.351543134463092	0.403327976974065	20979	8.91303684637018	27.1	22.48	3.47497566440361	0.2153989	-26.9	0.01642	2.945	2.961	1.34	1.899	29.847	0.101	1e+05	73	"18-Sep-2024 16:00:00"	33.4400263784034	0.215398934548156	1.34021614007533	2.94461029583031	2.96125600748668	2.55796205459679	20.3885612788616	102964.085257549	2	0.0164249370190649	0.4	0.5	0.02	1.257	4.451
"10"	"PTRMS"	"Plot1"	"1.500"	731.834716796875	3.48434791208388	0.0639189555994566	3.35906754481533	3.60962827935243	-1.19554532348192	0.0427206840576309	-1.27927733910248	-1.11181330786136	0.0709986842235072	0.0373201566380595	-0.00214836403920925	0.144145732486224	0.527072236349825	0.017296727811897	0.493170862453831	0.560973610245818	33458	14.0471875186801	55.3	25.71	4.22732808614221	0.1719081	-15.5	0.03066	3.691	4.136	1.503	1.899	52.818	0.101	1e+05	75	"18-Sep-2024 16:30:00"	29.5576672745121	0.171908055516171	1.50282146252278	3.69149165264914	4.13594024930652	1.7732071799124	20.4043252570513	102999.832781869	2	0.0306603272017706	0.4	0.5	0.02	1.354	5.153
