RoundedTime,FRAC_DAYS_SINCE_JAN1,FRAC_HRS_SINCE_JAN1,JULIAN_DAYS,EPOCH_TIME,ALARM_STATUS,INST_STATUS,CavityPressure,CavityTemp,DasTemp,EtalonTemp,WarmBoxTemp,species,MPVPosition,OutletValve,solenoid_valves,N2O,N2O_30s,N2O_1min,N2O_5min,N2O_dry,N2O_dry30s,N2O_dry1min,N2O_dry5min,CO2,CO2_dry,CH4,CH4_dry,H2O,NH3,NH3_dry,ChemDetect,peak_1a,peak_41,peak_4,peak15,ch4_splinemax,nh3_conc_ave,adjusted_minutes,rounded_minutes,NH3_ug
17/09/2024 01:30,260.0021842,6240.052421,261.0021842,1726531389,0,963,139.9967525,45.00282418,38.14167459,45.10078472,45.0077328,37.33253012,0,53016.56671,0,0.330385641,0.330449313,0.330598048,0.330933336,0.336733248,0.336794142,0.336942594,0.337262284,546.2375051,556.5225136,2.153026199,2.182840669,1.074695298,2.229297575,2.253516232,0,0.668783859,74.0705747,1.233687789,64.04801748,468.1672664,2.028265117,56.86746988,60,1.569727069
17/09/2024 02:00,260.0147756,6240.354613,261.0147756,1726532477,0,963,140.0002199,45.0001777,38.48636385,45.09387334,45.00079993,37.28571429,0,53085.7405,0,0.330108704,0.330109483,0.330063922,0.330018322,0.336506865,0.33650838,0.33646238,0.336417542,522.6227522,532.5496728,2.165810299,2.196060474,1.084015612,2.227965393,2.252382579,0,0.668904358,70.85160606,1.245128745,64.55215124,470.8629217,2.027041892,14.99394245,15.00757193,1.568937403
17/09/2024 02:30,260.0356041,6240.854498,261.0356041,1726534276,0,963,140.0003265,44.99908735,38.26556508,45.09023835,44.99719757,37.28571429,0,53071.69411,0,0.330140449,0.330160388,0.330195253,0.330384197,0.336554461,0.336572299,0.336605506,0.336781314,534.4760794,544.6516113,2.190704247,2.221375487,1.086594057,2.210937883,2.235222572,0,0.668717648,72.4686747,1.246990123,64.7106789,476.4911081,2.010222249,44.98637052,44.98485613,1.556984293
17/09/2024 03:00,260.056445,6241.354681,261.056445,1726536077,0,963,139.9999271,45.00087775,38.24758871,45.09553473,45.00241269,37.28571429,0,53111.47269,0,0.330096238,0.330067928,0.330067849,0.329926762,0.336855711,0.336824967,0.336823058,0.336663919,514.4281225,524.7568135,2.270192297,2.303693342,1.144322621,2.286079344,2.312537356,0,0.670064397,69.74663645,1.316089173,67.96167395,493.6789734,2.073467977,14.99747602,15,1.61083929
17/09/2024 03:30,260.0772784,6241.854681,261.0772784,1726537877,0,963,140.0005663,45.0002568,38.59576869,45.09410312,45.00122361,37.28571429,0,53230.65674,0,0.329874717,0.329895113,0.329903419,0.329883174,0.336719213,0.336742497,0.336753478,0.33675038,534.6721507,545.5432424,2.270680815,2.304622782,1.159281127,2.385553562,2.41351975,0,0.669611988,72.48446915,1.33398896,68.84619933,493.6996932,2.168393135,44.99747602,44.98485613,1.681180384
17/09/2024 04:00,260.0981154,6242.35477,261.0981154,1726539677,0,963,139.9962979,44.99987616,38.50643703,45.09229482,44.99946775,37.28931452,0,52749.09084,0,0.331627157,0.331597693,0.331584846,0.331551331,0.338106925,0.33807665,0.338063247,0.338030292,548.7702046,559.2789923,2.447604837,2.482069206,1.092710415,2.451773496,2.47887196,0,0.671678018,74.41069881,1.254015377,65.09173815,532.2954659,2.247161052,15.00403226,15,1.726702636
17/09/2024 04:30,260.1189503,6242.854806,261.1189503,1726541477,0,963,139.9996836,45.00020663,38.45535145,45.09344961,45.00057136,37.27593152,0,52371.00447,0,0.330627091,0.330639046,0.330639957,0.330828327,0.337111113,0.337123072,0.337123879,0.337313271,520.2593274,530.2575943,2.316258397,2.348998132,1.096689743,2.492795958,2.520448063,0,0.670210428,70.55940117,1.25940525,65.27256674,503.7091493,2.286080097,45.00503525,45.01510574,1.755663214
17/09/2024 05:00,260.1397844,6243.354825,261.1397844,1726543277,0,963,140.0008543,44.99972628,38.50847199,45.0923646,44.99952252,37.28571429,0,52365.68095,0,0.329869673,0.329896072,0.329922221,0.329882,0.336223007,0.336252756,0.336281871,0.336259602,494.8949269,504.2331785,2.232081884,2.263056212,1.077306139,2.499600837,2.526825335,0,0.66866945,67.09226054,1.236882474,64.13411714,485.36525,2.29657938,15.00706714,15.00757193,1.760105417
17/09/2024 05:30,260.1606017,6243.85444,261.1606017,1726545076,0,963,139.9998038,45.00002626,38.42031624,45.09277252,44.9998497,37.28571429,0,52376.78588,0,0.330927442,0.330879362,0.330832475,0.330703831,0.337223723,0.337175001,0.337127793,0.337002976,528.242244,538.0914877,2.213164628,2.243511575,1.064393018,2.473512858,2.500118641,0,0.66997107,71.61984639,1.22139041,63.44502013,481.2146337,2.272207828,44.9834004,44.97736419,1.741502392
17/09/2024 06:00,260.1814464,6244.354714,261.1814464,1726546877,0,963,139.9998768,45.00014386,38.27772048,45.09310564,45.000116,37.29547739,0,52391.42769,0,0.331185709,0.331235684,0.331271322,0.331302342,0.337512954,0.33756146,0.337595099,0.337604295,504.6564878,514.1043726,2.328547932,2.360628798,1.068769855,2.429988311,2.456247215,0,0.670979058,68.43726162,1.226735914,63.65681994,506.3010869,2.230779933,15,15.00753769,1.710942964
