station,date,time,metp
6069,17/09/2024,0,8.7
6069,17/09/2024,1,8.9
6069,17/09/2024,2,8.7
6069,17/09/2024,3,8.2
6069,17/09/2024,4,7.7
6069,17/09/2024,5,7.7
6069,17/09/2024,6,7.9
6069,17/09/2024,7,9
6069,17/09/2024,8,10.6
6069,17/09/2024,9,12.6
6069,17/09/2024,10,14.1
6069,17/09/2024,11,15.8
6069,17/09/2024,12,17.1
6069,17/09/2024,13,17.9
6069,17/09/2024,14,18.1
6069,17/09/2024,15,17.5
6069,17/09/2024,16,17.1
6069,17/09/2024,17,16.8
6069,17/09/2024,18,15.1
6069,17/09/2024,19,13.7
6069,17/09/2024,20,13.2
6069,17/09/2024,21,12.8
6069,17/09/2024,22,12.5
6069,17/09/2024,23,12
6069,18/09/2024,0,11.6
6069,18/09/2024,1,11
6069,18/09/2024,2,10.5
6069,18/09/2024,3,9.5
6069,18/09/2024,4,9.4
6069,18/09/2024,5,8.9
6069,18/09/2024,6,8.2
6069,18/09/2024,7,9.2
6069,18/09/2024,8,10.7
6069,18/09/2024,9,12.8
6069,18/09/2024,10,15.4
6069,18/09/2024,11,17.7
6069,18/09/2024,12,18.8
6069,18/09/2024,13,19.7
6069,18/09/2024,14,20
6069,18/09/2024,15,19.9
6069,18/09/2024,16,19.6
6069,18/09/2024,17,18.6
6069,18/09/2024,18,17
6069,18/09/2024,19,15.3
6069,18/09/2024,20,14.2
6069,18/09/2024,21,13.5
6069,18/09/2024,22,12.9
6069,18/09/2024,23,11.9
6069,19/09/2024,0,12.2
6069,19/09/2024,1,10.8
6069,19/09/2024,2,10.2
6069,19/09/2024,3,9.5
6069,19/09/2024,4,9.7
6069,19/09/2024,5,10
6069,19/09/2024,6,10.2
6069,19/09/2024,7,11.1
6069,19/09/2024,8,12.9
6069,19/09/2024,9,14.6
6069,19/09/2024,10,16.7
6069,19/09/2024,11,18.7
6069,19/09/2024,12,19.8
6069,19/09/2024,13,20.5
6069,19/09/2024,14,21
6069,19/09/2024,15,21.1
6069,19/09/2024,16,20.5
6069,19/09/2024,17,18.9
6069,19/09/2024,18,16.6
6069,19/09/2024,19,14.5
6069,19/09/2024,20,13.6
6069,19/09/2024,21,12.9
6069,19/09/2024,22,12.5
6069,19/09/2024,23,12.5
6069,20/09/2024,0,12.4
6069,20/09/2024,1,12
6069,20/09/2024,2,11.3
6069,20/09/2024,3,11.3
6069,20/09/2024,4,11.7
6069,20/09/2024,5,12.2
6069,20/09/2024,6,12.4
6069,20/09/2024,7,12.6
6069,20/09/2024,8,12.9
6069,20/09/2024,9,13.2
6069,20/09/2024,10,13.7
6069,20/09/2024,11,14.1
6069,20/09/2024,12,15.3
6069,20/09/2024,13,17.1
6069,20/09/2024,14,18.8
6069,20/09/2024,15,19.5
6069,20/09/2024,16,19.5
6069,20/09/2024,17,18.8
6069,20/09/2024,18,16.8
6069,20/09/2024,19,14.7
6069,20/09/2024,20,13.8
6069,20/09/2024,21,13.5
6069,20/09/2024,22,12.9
6069,20/09/2024,23,12.4
6069,21/09/2024,0,11.7
6069,21/09/2024,1,11.5
6069,21/09/2024,2,11.4
6069,21/09/2024,3,11.3
6069,21/09/2024,4,11.4
6069,21/09/2024,5,11.1
6069,21/09/2024,6,10.9
6069,21/09/2024,7,11.1
6069,21/09/2024,8,11.8
6069,21/09/2024,9,12.6
6069,21/09/2024,10,14
6069,21/09/2024,11,16
