"treatment","group","elapsed.time","valve","Methanol","Hydrogen sulfide","4-Methylphenol","Acetic acid","Butanoic acid","Pentanoic acid","Propanoic acid","Acetaldehyde","Formic acid","Methanethiol","Acetone","Trimethylamine","Dimethyl sulfide","Isoprene","Butanone","Butanedione","Phenol","4-ethyl phenol","Methyl indole","SOAV"
"0-bp","No acid",0,2,0,55.0564720475,315.28471855,9.00307532409638,57.0876034173913,33.6881317283333,2.24763748900585,0,0.000760278713257576,10.5277274777778,0,6.561600125,0.363286417536232,0,0.0055523276719697,0,0.308819350952381,1.41068254166667,0,491.546067075645
"0-bp","No acid",0,6,0,28.26795281,288.2073014,9.57625052771084,77.7153937652174,43.0028375583333,2.73298044339181,0,0.000497406295984849,2.63905107777778,0.00000480500563492064,0,0.0294637553623188,0,0.00534321961287879,0,0.191258277857143,1.28961569916667,0,453.657950745732
"0-bp","No acid",0,14,0,0,111.45821265,10.0046869614458,61.3029518521739,35.5789443683333,2.29239633988304,0,0.000378046697121212,0,0,5.7245401,0.0326207131884057,0,0.00108477158333333,0,0.0771815994047619,1.30211416166667,0,227.775111564376
"0-bp","No acid",3,2,0.000573480344444444,0.748859215,66.6374764333333,7.15235832851406,31.891067684058,23.9251484483333,2.45319171578947,10.0405608544444,0.000438620123636364,0,0.000161056797063492,9.52954565833333,0.320308811304348,0.0122082399583333,0.00190224725075758,8.6754548,0.0701035700793651,1.07735981833333,3.58287658333333,166.119595565331
"0-bp","No acid",3,6,0.000477990398686869,4.21482149625,74.3165870333333,6.83253481767068,33.8832075971014,25.2342866383333,2.36791862105263,5.86194029444445,0.000353837876590909,0.617144555555556,0.000112650011349206,7.04918949583334,0.113599608695652,0.0074654380625,0.00109372561666667,12.7100540333333,0.0865196022222222,0.943980285833333,3.52298783333333,177.764275554958
"0-bp","No acid",3,14,0,0,69.1373374333333,5.83754381164659,34.0584705536232,21.4790155683333,1.51897715789474,0,0.000037637065,0,0,10.5904684708333,0.113011792608696,0,0,0,0.0207201561507936,0.898449273333333,0,143.654031854822
"0-bp","No acid",5,2,0.000343511989626263,0,43.3602386166667,5.34480799923695,33.0628892434783,20.3699368416667,1.78923898701754,2.98772607622222,0.000163950643560606,0,0.000112551016357143,8.28408627916667,0.0274514530434783,0.0115577032222222,0.00196209125530303,0,0.0518212746428571,0,5.5892192,120.881555779268
"0-bp","No acid",5,6,0.000183166687808081,0,43.4945006666667,4.52457410526104,19.9945103565217,17.3645347366667,1.31398914140351,1.53068269622222,0.000173318581515151,0,0.0000683678496904762,2.77046477916666,0.182481930434783,0.00534656770138889,0.000378848093939393,0,0.0656620039285714,0.389390945833333,5.5086062,97.1455478310195
"0-bp","No acid",5,14,0,0,49.0750269166667,3.64413956068273,25.6978909826087,14.8901734666667,0.913870738596491,0,0,0,0,0,0.101869306956522,0,0,0,0.0303409029761905,0.282457590833333,5.5998254,100.235594865987
"0-bp","No acid",8,2,0.000165488004464646,0,14.7259051833333,2.75009424325301,11.7190511869565,9.05042924833333,0.987402586374269,0,0.0000471358143939395,0,0.00014184878134127,2.46692054166667,0.0468863084057971,0.00678115429166667,0,0,0.0492877259126984,0.69704487,0,42.5001575211275
"0-bp","No acid",8,6,0.0000742487687070707,0,27.7949912333333,2.44940698060241,11.4114115130435,8.08998021333333,0.744398800584795,0.0251091566666665,0,0,0.0000855312172936508,8.10017741666667,0.126143482318841,0.00769167314583333,0.000820564763636364,0,0.00674691650793651,0.424776685,0,59.1818144159529
"0-bp","No acid",8,14,0,2.2799632325,31.5868927333333,1.92211190590361,11.2515272,8.25234685833333,0.529250437251462,0,0,0,0.0000450083972936508,3.52187609166667,0.0566727966666667,0.00238634245833333,0.001281631925,0,0.039521006031746,0,0,59.4438752444675
"0-bp","No acid",10,2,0.000127505877989899,0.20734833375,26.3115289833333,1.6046856697992,8.38948877101449,9.05454505333333,0.56400258631579,0,0.000349230377045455,1.01241482222222,0.000124938467801587,4.6515008625,0.09237362,0,0.00090214228030303,0,0.062401699047619,0.217033825833333,0,52.1688280441525
"0-bp","No acid",10,6,0.0000970334495050505,4.16425928125,34.8656824833333,1.59262407582329,6.16704536231884,9.12133991833333,0.509887092631579,0.377887584888889,0.0000966147875000001,0,0.000142481029230159,0,0.0324772839130435,0.00100310804861111,0.00201288529166667,0,0.0454297701190476,0.185262178333333,5.7735324,62.8387795535512
"0-bp","No acid",10,14,0,1.3223394725,33.6375886333333,1.31948410594378,7.7080240057971,5.89818035833333,0.28287535877193,0,0,1.10483672222222,0.00000505491151587302,0,0.0689551004347826,0,0.0000202252507575758,0,0.0275516316666667,0.104280523333333,0,51.4741411924988
"0-bp","No acid",13,2,0.0000658514983535354,2.02005195375,7.66651838333333,1.02882660449799,5.06354644637681,5.42426433666667,0.395337505906433,0,0.0000847317618181817,0,0.000154347296619048,0,0.0501684607246377,0.00115870961111111,0.00114900310909091,0,0.0464300091666667,0.223130835,0,21.9208871786995
"0-bp","No acid",13,6,0.000147795851383839,2.17683902375,26.2262896333333,1.61846250208835,9.56813265072464,7.11160865666667,0.399466756783626,0.18168195,0.000192432287727273,0,0.000140705435428571,1.9608461125,0.109747798115942,0.00158601086111111,0.00248453820681818,0,0.036171245952381,0.3768252425,0,49.7706230550574
"0-bp","No acid",13,14,0,1.1127853875,18.2722145833333,1.09051328281125,6.29926775942029,5.37944178666667,0.291626132397661,0,0,0,0.000065017506,3.0466885625,0.0652056450724638,0,0.00145459238636364,0,0.0199730372619048,0.6563188875,0,36.2355546743559
"0-bp","No acid",15,2,0.000184325304868687,2.54035043958333,23.4456113833333,1.06075445879518,5.88887150724638,2.70975621833333,0.392388108011696,0.627109878888889,0.000147616394318182,1.02090794444444,0.000117173385,0,0.0363152672463768,0.00577644299305555,0.00118591258030303,2.14835568888889,0.00241599027777778,0.07323171,0,39.9534800657072
"0-bp","No acid",15,6,0.0000947271354747475,1.25993929958333,22.1062928333333,1.44330887566265,5.86668978985507,3.45592107833333,0.386887755730994,0.330593216222222,0.000288269629772727,2.08651317777778,0.000131688560928571,0,0,0.000396632576388888,0.00214826273712121,4.58725788888889,0.0143621733730159,0.325349855,0,41.8661755244003
"0-bp","No acid",15,14,0,1.41207880833333,19.1349552333333,0.89425129253012,8.7648218942029,4.40770590833333,0.335520439239766,0,0,0,0.0000460036755476191,5.40786674583333,0,0,0.000177887778030303,0.523134055555556,0.0289417321825397,0.3343716925,0,41.2438716934978
"0-bp","No acid",18,2,0.000139158827474747,0,9.99958908333333,0.981409160923695,2.9056571884058,6.423787295,0.414858719415205,0,0.000149886474621212,0,0,0,0.0628565844927536,0.00107039204166667,0.00128193682272727,0,0.0196998198412698,0.300302314166667,0,21.1108015397452
"0-bp","No acid",18,6,0.0000972067877777778,0,16.7941241333333,1.15750393923695,5.96493514927536,1.664853405,0.37602724502924,0.0385177960000001,0.000114717473257576,0,0,1.0725958375,0.0678735092753623,0.002085163875,0.00138256958181818,3.56211227222222,0.0171701640079365,0.0209273916666667,9.75061155,40.4909320502649
"0-bp","No acid",18,14,0,0,20.1986601833333,0.93591508502008,8.07804967101449,7.441389535,0.323524464502924,0,0.0000461774787121211,0,0,6.2657129125,0.250104328405797,0,0.00121884129772727,0,0.0184855498412698,0.551349661666667,0,44.064456410061
"0-bp","No acid",20,2,0.000195204996848485,0,23.0427772,2.09076863240964,11.2247931710145,6.45428465,0.611674220760234,0.0486569379999994,0.000267529273939394,0,0,5.3982068625,0.0769703797101449,0.00256771359722222,0.000337668575757576,0,0.0415743498412698,0.07255007,0,49.0656245906796
"0-bp","No acid",20,6,0.000221140572606061,0.27746535375,24.00937245,3.0585830613253,19.8247631231884,8.63360293,1.10258021023392,2.330330212,0.000190396613257576,0,0.0000598551521190476,10.971401875,0.122744879710145,0.00407717953472222,0.00131822814848485,8.43761898333333,0.0151370259126984,0,0,78.789466904475
"0-bp","No acid",20,14,0,0,10.58604985,4.52049025650602,32.8477292623188,15.836324035,1.15759122725146,0.686129167333333,0.000414757691666667,3.28926595555556,0.0000404844852142857,9.3163128375,0.247400811884058,0.00214002747222222,0.00202651763939394,0,0.0347812907936508,0.3048549325,0,78.8315514139314
"0-bp","No acid",23,2,0.0000635291041414141,0,27.5345499166667,3.30691224297189,31.7177289478261,18.0134293483333,1.28338152994152,3.14493202044444,0.000368044777272727,0,0.0000561821581746031,20.9010680208333,0.194364467826087,0.0110925994722222,0.002091087575,3.12921894444445,0.0323546280952381,0.249305434166667,0,109.520916944637
"0-bp","No acid",23,6,0.000144036992323232,0,20.8105249166667,3.70188238634538,32.9746821217391,16.2071208833333,1.62245270187134,4.53460190044444,0.000392868160909091,0,0.000114193196269841,18.7661263333333,0.113131503478261,0,0.00288667514090909,12.6333421944444,0.0398986254761905,0.115975109166667,0,111.52327644979
"0-bp","No acid",23,14,0,0,14.2963637666667,5.79879083574297,53.4421214695652,27.1177575133333,1.76981003695906,0,0.000241690683863636,0,0.00000563850412698409,21.6583547083333,0.415036012173913,0.000542894701388889,0.00223038935681818,0,0.0264317876190476,0,16.23925485,140.76694159364
"0-bp","No acid",25,2,0.000303293929090909,5.4359594575,21.8119653,5.05121006385542,35.3142419826087,21.4468405283333,1.96837522409357,2.86498802755556,0.000354000593712121,2.41422347777778,0.0000831632156349206,5.9554100625,0.18309918057971,0.00239947185416667,0.00167913739015152,4.03410614444445,0.0338633529761905,0,0,106.519101869207
"0-bp","No acid",25,6,0.000305628541212121,0.9770785825,21.8098028,4.68102306024096,27.4411116782609,18.8631808983333,1.75050021005848,4.67824598088889,0.000251568897575758,0,0.000087884623968254,4.250779625,0.0520413297101449,0.000337167583333332,0.00223788264469697,0,0.0484290238095238,0.729864034166667,3.6076876,88.8929649552597
"0-bp","No acid",25,14,0,1.73507329875,5.5332343,4.58906478915663,41.1257022869565,18.6305505883333,1.56237869426901,0,0.000187882117575758,2.29677107777778,0,2.8983105375,0,0,0.000155961465151515,0,0,0,0,78.371429416326
"0-bp","No acid",28,2,0.000247363527474748,0,20.5674187333333,4.52146486827309,39.2851944666667,19.1787160533333,1.75286067894737,2.43736713444444,0.000250391084090909,0,0.0000276670996825397,12.3901299708333,0.13247956,0.00699771270833334,0,5.05419871666667,0.0423376237698413,0.00158466083333329,0,105.371275601521
"0-bp","No acid",28,6,0.000216762496565657,0,24.5323930333333,3.83483026465863,24.6110766405797,13.4220591483333,1.22547940526316,1.43058252111111,0.000262062027954545,0,0.000028733528015873,11.2251942333333,0.0980686943478261,0.0105599858541667,0.000234719018939394,8.79980371666667,0.011537146984127,0.358522793333333,0,89.5608498608702
"0-bp","No acid",28,14,0,0,20.2552824833333,3.00677865863454,27.2558732492754,14.4817056033333,0.884722115789474,0,0,0.729453322222222,0,7.45639805833334,0.167105805652174,0,0,0,0,0,0,74.2373192965738
"0-bp","No acid",30,2,0.0000941180220505051,1.6032449075,10.3038080666667,2.10515512815261,14.9515936304348,8.27661424666667,0.893492633157895,0.086215164222222,0.000031015511969697,0,0.0000270276063571428,0.0777329916666653,0.120752606956522,0,0.000258538343939394,0,0,0,0,38.4190200749084
"0-bp","No acid",30,6,0.0000425383753838384,0.5556264275,6.64543986666667,2.36739216309237,15.2693173521739,11.4613229316667,0.635691319473684,0.149565012222222,0,0,0.00000481016278571429,6.46761887916667,0.0562147973913043,0,0.000478495568939394,0,0.0107510286904762,0.561943405833333,0,44.1814090279844
"0-bp","No acid",30,14,0,0,5.70889431666667,1.68560625586345,15.3687723869565,6.91863096666667,0.570441242807018,0,0,0,0,6.68719414166667,0,0,0.000164756012121212,0,0.0111742964285714,0.569719973333333,0,37.520598336401
"0-bp","No acid",33,2,0.0000958703344646465,5.302813335,1.10304253333334,1.49438961554217,13.1626656173913,7.58152239333333,0.567037653040936,0.605489502666667,0.000201559870984849,0,0.000151070235865079,0.517801979166668,0.105652725362319,0.0010464424375,0.00200514527272727,17.0027110444444,0.020334194484127,0.2315325775,0,47.6984932594168
"0-bp","No acid",33,6,0.00011545802749495,3.58991162125,3.36530748333334,2.03732996012048,13.6490775521739,5.89297193833333,0.632488744444444,0.365633368,0.000066761746439394,0,0.000124772748960317,5.17574371666667,0.0525371992753623,0.0020225458125,0.00216920947045455,7.40204804444444,0.00895823996031746,0,4.03163046666667,46.2081370824748
