"elapsed.time","valve","treatment","group","date.time.ori","NH3.flux","cum.treat","end.time","time.diff"
0,3,"1.5","Low acid","18-09-24 11:24:36",0.491181607462252,0,"18-09-24 13:56:32",2.53210888889101
3,3,"1.5","Low acid","18-09-24 13:56:32",0.117520422708463,54.7831827153643,"18-09-24 16:28:26",2.53179916666614
5,3,"1.5","Low acid","18-09-24 16:28:26",0.096017512938328,67.5954588541718,"18-09-24 19:00:22",2.53209972222646
8,3,"1.5","Low acid","18-09-24 19:00:22",0.0154835068934589,77.6305506390326,"18-09-24 21:32:17",2.53200833333863
10,3,"1.5","Low acid","18-09-24 21:32:17",-0.0589614383768736,75.0218747500277,"19-09-24 00:04:12",2.53200749993324
13,3,"1.5","Low acid","19-09-24 00:04:12",-0.0154256468619677,68.327037078532,"19-09-24 02:36:08",2.5321244445112
15,3,"1.5","Low acid","19-09-24 02:36:08",-0.000160310151764483,67.3918796577081,"19-09-24 05:08:03",2.53195749998093
18,3,"1.5","Low acid","19-09-24 05:08:03",-0.00557938263579369,66.8753073068278,"19-09-24 07:39:58",2.53203944444656
20,3,"1.5","Low acid","19-09-24 07:39:58",-0.0758485807294958,61.9896295049105,"19-09-24 10:11:54",2.53215111109946
23,3,"1.5","Low acid","19-09-24 10:11:54",0.00333986378107111,55.4638449795522,"19-09-24 12:43:50",2.53233083334234
25,3,"1.5","Low acid","19-09-24 12:43:50",-0.0112132499821421,54.991441807488,"19-09-24 15:15:49",2.53287805557251
28,3,"1.5","Low acid","19-09-24 15:15:49",0.0521931456092713,58.6796324139296,"19-09-24 17:47:45",2.53216555549039
30,3,"1.5","Low acid","19-09-24 17:47:45",0.0181859593704728,62.9023787127143,"19-09-24 20:19:40",2.53194833338261
33,3,"1.5","Low acid","19-09-24 20:19:40",-0.00658439878959749,63.946519164993,"19-09-24 22:51:35",2.53200166669157
35,3,"1.5","Low acid","19-09-24 22:51:35",-0.016646767634349,62.5526491795562,"20-09-24 01:23:30",2.53197388887405
38,3,"1.5","Low acid","20-09-24 01:23:30",-0.0162273594472434,59.5939777422129,"20-09-24 03:55:25",2.53184305555291
41,3,"1.5","Low acid","20-09-24 03:55:25",-0.0146624115044503,56.8138983565605,"20-09-24 06:27:21",2.53223611109787
43,3,"1.5","Low acid","20-09-24 06:27:21",-0.0161341259943331,54.9661061066335,"20-09-24 08:59:15",2.53173305551211
46,3,"1.5","Low acid","20-09-24 08:59:15",-0.0319904039625938,50.6348984105101,"20-09-24 11:31:11",2.53238416671753
48,3,"1.5","Low acid","20-09-24 11:31:11",-0.0291796251691056,46.9646966626081,"20-09-24 14:03:08",2.53224388890796
51,3,"1.5","Low acid","20-09-24 14:03:08",-0.0268224314161657,41.9245115699337,"20-09-24 16:35:05",2.53257222215335
53,3,"1.5","Low acid","20-09-24 16:35:05",0.0498010911254823,43.3032311524927,"20-09-24 19:06:59",2.53168333338367
