"elapsed.time","valve","treatment","group","date.time.ori","NH3.flux","cum.treat","end.time","time.diff"
0,2,"0-bp","No acid","18-09-24 11:16:37",2.35487243256574,0,"18-09-24 13:48:32",2.5320180555847
3,2,"0-bp","No acid","18-09-24 13:48:32",0.26858858476952,236.111491560173,"18-09-24 16:20:27",2.53184694442484
5,2,"0-bp","No acid","18-09-24 16:20:27",0.152157396421411,261.356250431629,"18-09-24 18:52:23",2.53231444444921
8,2,"0-bp","No acid","18-09-24 18:52:23",0.0187130087291709,276.734586895182,"18-09-24 21:24:17",2.53160638888677
10,2,"0-bp","No acid","18-09-24 21:24:17",-0.0618855904776738,274.144231990272,"18-09-24 23:56:14",2.5324397222201
13,2,"0-bp","No acid","18-09-24 23:56:14",-0.0244507081223147,266.373965116273,"19-09-24 02:28:08",2.53168777777089
15,2,"0-bp","No acid","19-09-24 02:28:08",-0.0106010130237551,264.270861847508,"19-09-24 05:00:03",2.53200722224183
18,2,"0-bp","No acid","19-09-24 05:00:03",-0.0165403187257303,261.828141990055,"19-09-24 07:31:59",2.53203972220421
20,2,"0-bp","No acid","19-09-24 07:31:59",-0.0927993278038017,255.267763198283,"19-09-24 10:03:54",2.53211166666614
23,2,"0-bp","No acid","19-09-24 10:03:54",0.0230223066072612,248.987831290594,"19-09-24 12:35:52",2.5326169444455
25,2,"0-bp","No acid","19-09-24 12:35:52",-0.0216531482755347,249.069980790498,"19-09-24 15:07:48",2.53242666661739
28,2,"0-bp","No acid","19-09-24 15:07:48",0.0335582161550207,250.141436899651,"19-09-24 17:39:45",2.53240138894982
30,2,"0-bp","No acid","19-09-24 17:39:45",0.00988200006165244,252.747849872652,"19-09-24 20:11:40",2.53193083332645
33,2,"0-bp","No acid","19-09-24 20:11:40",-0.0206646407508609,251.777412210623,"19-09-24 22:43:36",2.53217111110687
35,2,"0-bp","No acid","19-09-24 22:43:36",-0.0310083440917992,248.677033120063,"20-09-24 01:15:31",2.53202750000689
38,2,"0-bp","No acid","20-09-24 01:15:31",-0.0304432972314158,243.146385400974,"20-09-24 03:47:25",2.53156805555026
41,2,"0-bp","No acid","20-09-24 03:47:25",-0.0297103234544646,237.732559539245,"20-09-24 06:19:21",2.53240305556191
43,2,"0-bp","No acid","20-09-24 06:19:21",-0.0294613982723159,234.182256235638,"20-09-24 08:51:17",2.53200722224183
46,2,"0-bp","No acid","20-09-24 08:51:17",-0.0510376944868483,226.937337887313,"20-09-24 11:23:12",2.53193583329519
48,2,"0-bp","No acid","20-09-24 11:23:12",-0.0733651017831352,219.473170111114,"20-09-24 13:55:07",2.53198777781592
51,2,"0-bp","No acid","20-09-24 13:55:07",-0.0367222838223308,209.565305406622,"20-09-24 16:27:05",2.53285194436709
53,2,"0-bp","No acid","20-09-24 16:27:05",0.0718903949993118,211.675392077241,"20-09-24 18:59:00",2.53195472227203
56,2,"0-bp","No acid","20-09-24 18:59:00",-0.0213134159547929,216.227320191248,"20-09-24 21:30:55",2.53200277778837
58,2,"0-bp","No acid","20-09-24 21:30:55",-0.0181056385608735,213.862176920308,"21-09-24 00:02:51",2.53220944444338
61,2,"0-bp","No acid","21-09-24 00:02:51",-0.0176642402201517,210.642887830016,"21-09-24 02:34:46",2.53183027777407
63,2,"0-bp","No acid","21-09-24 02:34:46",-0.0158334485986579,208.633026500887,"21-09-24 05:06:41",2.53207305557198
66,2,"0-bp","No acid","21-09-24 05:06:41",-0.0148006629113204,205.875956464989,"21-09-24 07:38:37",2.53210611104965
68,2,"0-bp","No acid","21-09-24 07:38:37",-0.0430507422543143,202.404872155051,"21-09-24 10:10:32",2.53194194449319
71,2,"0-bp","No acid","21-09-24 10:10:32",0.0117835206272919,199.590822208619,"21-09-24 12:42:27",2.53205611109734
73,2,"0-bp","No acid","21-09-24 12:42:27",0.0165887234579907,201.293156853736,"21-09-24 15:14:23",2.5321408333381
76,2,"0-bp","No acid","21-09-24 15:14:23",0.0334685342847141,205.798310050579,"21-09-24 17:46:19",2.53223138888677
78,2,"0-bp","No acid","21-09-24 17:46:19",-0.0128914672796413,207.032934070884,"21-09-24 20:18:14",2.53195611112648
81,2,"0-bp","No acid","21-09-24 20:18:14",-0.017914914365345,204.260359722835,"21-09-24 22:50:09",2.53202583332856
84,2,"0-bp","No acid","21-09-24 22:50:09",-0.0353160632502604,199.46957173743,"22-09-24 01:22:03",2.53170777777831
86,2,"0-bp","No acid","22-09-24 01:22:03",-0.030561757594226,195.516902486761,"22-09-24 03:53:59",2.53222583333651
89,2,"0-bp","No acid","22-09-24 03:53:59",-0.0285225965424991,190.199310614456,"22-09-24 06:25:54",2.53188444442219
91,2,"0-bp","No acid","22-09-24 06:25:54",-0.0599132001197553,184.893162814721,"22-09-24 08:57:50",2.53207416666879
94,2,"0-bp","No acid","22-09-24 08:57:50",0.0567671306879184,184.610016565855,"22-09-24 11:29:45",2.53201527780957
96,2,"0-bp","No acid","22-09-24 11:29:45",0.000486941635527321,188.045260905262,"22-09-24 14:01:40",2.53204999996556
99,2,"0-bp","No acid","22-09-24 14:01:40",0.00859247721867045,188.86240860214,"22-09-24 16:33:35",2.53191972222593
101,2,"0-bp","No acid","22-09-24 16:33:35",0.0404247711558368,191.80344350461,"22-09-24 19:05:29",2.53174305558205
104,2,"0-bp","No acid","22-09-24 19:05:29",-0.0201508228828568,193.628098849179,"22-09-24 21:37:25",2.53210694445504
106,2,"0-bp","No acid","22-09-24 21:37:25",-0.0489950363878907,189.479347292934,"23-09-24 00:09:20",2.53202805552218
