"elapsed.time","valve","treatment","group","date.time.ori","NH3.flux","cum.treat","end.time","time.diff"
0,4,"2.9","Medium acid","18-09-24 11:32:36",-0.230388043330354,0,"18-09-24 14:04:31",2.53196694446935
3,4,"2.9","Medium acid","18-09-24 14:04:31",0.0580492892948224,-15.5104878631978,"18-09-24 16:36:27",2.53216722223494
5,4,"2.9","Medium acid","18-09-24 16:36:27",0.0329297011966702,-10.0517484337083,"18-09-24 19:08:23",2.53214638882213
8,4,"2.9","Medium acid","18-09-24 19:08:23",-0.0251629342934484,-9.35273941241829,"18-09-24 21:40:18",2.53193388892545
10,4,"2.9","Medium acid","18-09-24 21:40:18",-0.0896455226509095,-16.2412468290798,"19-09-24 00:12:13",2.53205388890372
13,4,"2.9","Medium acid","19-09-24 00:12:13",-0.0437731790669051,-28.2489299836831,"19-09-24 02:44:08",2.53186972220739
15,4,"2.9","Medium acid","19-09-24 02:44:08",-0.0266635768312052,-32.4751353375697,"19-09-24 05:16:03",2.53193305552006
18,4,"2.9","Medium acid","19-09-24 05:16:03",-0.0340457396367463,-37.9389738196853,"19-09-24 07:47:58",2.53201055559847
20,4,"2.9","Medium acid","19-09-24 07:47:58",-0.0999158234802345,-45.9766676067042,"19-09-24 10:19:54",2.53235194444656
23,4,"2.9","Medium acid","19-09-24 10:19:54",-0.0204434626063822,-56.8090033544997,"19-09-24 12:51:51",2.53237555550204
25,4,"2.9","Medium acid","19-09-24 12:51:51",-0.0441890101798455,-60.6869517216733,"19-09-24 15:23:48",2.53255888892545
28,4,"2.9","Medium acid","19-09-24 15:23:48",0.00571599638697348,-64.1495229630318,"19-09-24 17:55:45",2.53245944440365
30,4,"2.9","Medium acid","19-09-24 17:55:45",-0.0143447213651834,-64.6672464617244,"19-09-24 20:27:39",2.53174083338843
33,4,"2.9","Medium acid","19-09-24 20:27:39",-0.0351189686675594,-69.1189785646713,"19-09-24 22:59:35",2.53223944438828
35,4,"2.9","Medium acid","19-09-24 22:59:35",-0.0447608462728215,-73.9117674610941,"20-09-24 01:31:30",2.53174916671382
38,4,"2.9","Medium acid","20-09-24 01:31:30",-0.0434052746844472,-81.8467183472483,"20-09-24 04:03:25",2.53211166666614
41,4,"2.9","Medium acid","20-09-24 04:03:25",-0.0427798653788334,-89.6033809529435,"20-09-24 06:35:20",2.53194361110528
43,4,"2.9","Medium acid","20-09-24 06:35:20",-0.0447554698893715,-94.8555010690358,"20-09-24 09:07:15",2.53179000000159
