"elapsed.time","NH3.bg","valve","NH3.DFC","date.time","days","treatment","group","NH3_corr","date.time.weather","date","time","temp","air.temp.K","air.flow","dfc.area","n","NH3.flux","cum.treat"
0,151.518024471333,7,106.17574274,2024-09-18 07:00:00,0,"5.7","High acid",-45.3422817313333,2024-09-18 12:00:00,2024-09-18,7,9.2,282.35,2280,0.38465,-1.95703302731717e-09,-0.162481190350941,0
0,151.518024471333,13,128.5029879,2024-09-18 08:00:00,0,"5.7","High acid",-23.0150365713333,2024-09-18 13:00:00,2024-09-18,8,10.7,283.85,2280,0.38465,-9.88110118814993e-10,-0.0820370970044185,0
0,151.518024471333,19,105.14596199,2024-09-18 09:00:00,0,"5.7","High acid",-46.3720624813333,2024-09-18 14:00:00,2024-09-18,9,12.8,285.95,2280,0.38465,-1.97628187414682e-09,-0.164079311334138,0
3,115.906389603333,7,118.23347612,2024-09-18 09:00:00,0.125,"5.7","High acid",2.32708651666667,2024-09-18 14:00:00,2024-09-18,9,12.8,285.95,2280,0.38465,9.91756384420271e-11,0.00823398254548901,-13.8822487024907
3,115.906389603333,13,142.1292318,2024-09-18 10:00:00,0.125,"5.7","High acid",26.2228421966667,2024-09-18 15:00:00,2024-09-18,10,15.4,288.55,2280,0.38465,1.10749368569706e-09,0.0919488275601014,0.892055750011461
3,115.906389603333,19,117.07327758,2024-09-18 11:00:00,0.125,"5.7","High acid",1.16688797666666,2024-09-18 16:00:00,2024-09-18,11,17.7,290.85,2280,0.38465,4.88925482293722e-11,0.00405926692330252,-14.4018039969752
5,67.7758860843333,7,68.406434137,2024-09-18 12:00:00,0.208333333333333,"5.7","High acid",0.630548052666668,2024-09-18 17:00:00,2024-09-18,12,18.8,291.95,2280,0.38465,2.63203878826423e-11,0.00218523034306314,-13.2570959291775
5,67.7758860843333,13,87.58757451,2024-09-18 13:00:00,0.208333333333333,"5.7","High acid",19.8116884256667,2024-09-18 18:00:00,2024-09-18,13,19.7,292.85,2280,0.38465,8.24439586708278e-10,0.0684484745791103,10.5158938783642
5,67.7758860843333,19,70.7129284,2024-09-18 14:00:00,0.208333333333333,"5.7","High acid",2.93704231566666,2024-09-18 19:00:00,2024-09-18,14,20,293.15,2280,0.38465,1.22096406225741e-10,0.010136961995131,-13.5500302618691
8,46.730156557,7,35.602964041,2024-09-18 15:00:00,0.333333333333333,"5.7","High acid",-11.127192516,2024-09-18 20:00:00,2024-09-18,15,19.9,293.05,2280,0.38465,-4.6272871653603e-10,-0.038417702523603,-16.5180184254261
