"valve","treatment","cum.emis"
"14","0-bp",777891.112602097
"2","0-bp",206715.217198541
"6","0-bp",351799.780372103
"10","1.5",839740.653057439
"15","1.5",759183.006732159
"3","1.5",126858.078888278
"11","2.9",511054.028962609
"17","2.9",843140.747766811
"4","2.9",-207689.428887276
"13","5.7",730198.702527637
"19","5.7",641306.303589228
"7","5.7",-197355.044370774
"1","Mp",1699876.06168946
"12","Mp",1227273.15678215
"18","Mp",1400826.79718688
"8","Mp",1221084.19968353
