"valve","treatment","cum.emis"
2,"0-bp",206.715217198541
6,"0-bp",351.799780372103
14,"0-bp",777.891112602097
3,"1.5",126.858078888278
10,"1.5",839.740653057439
15,"1.5",759.183006732159
4,"2.9",-207.689428887276
11,"2.9",511.054028962609
17,"2.9",843.140747766811
7,"5.7",-197.355044370774
13,"5.7",730.198702527637
19,"5.7",641.306303589228
1,"Mp",1699.87606168946
8,"Mp",1221.08419968353
12,"Mp",1227.27315678215
18,"Mp",1400.82679718688
