"elapsed.time","NH3.bg","valve","NH3.DFC","date.time","days","treatment","group","NH3_corr","date.time.weather","date","time","temp","air.temp.K","air.flow","dfc.area","n","NH3.flux","cum.treat","cum.emis"
0,151.518024471333,"14",346.92445046,2024-09-18 08:00:00,0,"0-bp","No acid",195.406425988667,2024-09-18 13:00:00,2024-09-18,8,10.7,283.85,2280,0.38465,8.38943123998211e-09,0.696526198184976,0,0
0,151.518024471333,"2",806.34534711,2024-09-18 06:00:00,0,"0-bp","No acid",654.827322638667,2024-09-18 11:00:00,2024-09-18,6,8.2,281.35,2280,0.38465,2.83636716083622e-08,2.35487243256574,0,0
0,151.518024471333,"6",993.72420602,2024-09-18 07:00:00,0,"0-bp","No acid",842.206181548667,2024-09-18 12:00:00,2024-09-18,7,9.2,282.35,2280,0.38465,3.63507360054718e-08,3.01799242724003,0,0
3,115.906389603333,"14",156.96900117,2024-09-18 10:00:00,0.125,"0-bp","No acid",41.0626115666667,2024-09-18 15:00:00,2024-09-18,10,15.4,288.55,2280,0.38465,1.73423546872792e-09,0.143983591168115,1.26076468402964,1.26076468402964
3,115.906389603333,"2",191.81484225,2024-09-18 09:00:00,0.125,"0-bp","No acid",75.9084526466667,2024-09-18 14:00:00,2024-09-18,9,12.8,285.95,2280,0.38465,3.23506204022147e-09,0.26858858476952,3.93519152600289,3.93519152600289
3,115.906389603333,"6",163.37456695,2024-09-18 09:00:00,0.125,"0-bp","No acid",47.4681773466667,2024-09-18 14:00:00,2024-09-18,9,12.8,285.95,2280,0.38465,2.02299603401869e-09,0.167957719207831,4.7789252196718,4.7789252196718
5,67.7758860843333,"14",90.342663263,2024-09-18 13:00:00,0.208333333333333,"0-bp","No acid",22.5667771786667,2024-09-18 18:00:00,2024-09-18,13,19.7,292.85,2280,0.38465,9.39089291673619e-10,0.0779671798212441,1.482715455019,1.482715455019
5,67.7758860843333,"2",111.51546759,2024-09-18 11:00:00,0.208333333333333,"0-bp","No acid",43.7395815056667,2024-09-18 16:00:00,2024-09-18,11,17.7,290.85,2280,0.38465,1.83268629128165e-09,0.152157396421411,4.35593750719382,4.35593750719382
5,67.7758860843333,"6",89.606622118,2024-09-18 12:00:00,0.208333333333333,"0-bp","No acid",21.8307360336667,2024-09-18 17:00:00,2024-09-18,12,18.8,291.95,2280,0.38465,9.1126035159359e-10,0.0756567030703194,5.02253964194995,5.02253964194995
8,46.730156557,"14",60.68020535,2024-09-18 15:00:00,0.333333333333333,"0-bp","No acid",13.950048793,2024-09-18 20:00:00,2024-09-18,15,19.9,293.05,2280,0.38465,5.80118315048293e-10,0.0481638853599953,1.67191205279086,1.67191205279086
8,46.730156557,"2",52.151987922,2024-09-18 14:00:00,0.333333333333333,"0-bp","No acid",5.421831365,2024-09-18 19:00:00,2024-09-18,14,20,293.15,2280,0.38465,2.25392096428902e-10,0.0187130087291709,4.6122431149197,4.6122431149197
8,46.730156557,"6",50.157860385,2024-09-18 14:00:00,0.333333333333333,"0-bp","No acid",3.427703828,2024-09-18 19:00:00,2024-09-18,14,20,293.15,2280,0.38465,1.42493799552228e-10,0.011830440184555,5.15377035683226,5.15377035683226
10,56.1161316126667,"14",50.212406656,2024-09-18 18:00:00,0.416666666666667,"0-bp","No acid",-5.90372495666666,2024-09-18 23:00:00,2024-09-18,18,17,290.15,2280,0.38465,-2.4796256341553e-10,-0.0205869047194657,1.69948903343139,1.69948903343139
10,56.1161316126667,"2",38.210117199,2024-09-18 16:00:00,0.416666666666667,"0-bp","No acid",-17.9060144136667,2024-09-18 21:00:00,2024-09-18,16,19.6,292.75,2280,0.38465,-7.45391784847491e-10,-0.0618855904776738,4.56907053317119,4.56907053317119
10,56.1161316126667,"6",43.665442202,2024-09-18 17:00:00,0.416666666666667,"0-bp","No acid",-12.4506894106667,2024-09-18 22:00:00,2024-09-18,17,18.6,291.75,2280,0.38465,-5.20073961812725e-10,-0.0431787482410057,5.12242204877581,5.12242204877581
13,37.742122736,"14",48.753707981,2024-09-18 21:00:00,0.541666666666667,"0-bp","No acid",11.011585245,2024-09-19 02:00:00,2024-09-18,21,13.5,286.65,2280,0.38465,4.68145092444088e-10,0.0388673930462693,1.72690976592159,1.72690976592159
13,37.742122736,"2",30.771453565,2024-09-18 19:00:00,0.541666666666667,"0-bp","No acid",-6.970669171,2024-09-19,2024-09-18,19,15.3,288.45,2280,0.38465,-2.94500817191883e-10,-0.0244507081223147,4.43956608527121,4.43956608527121
13,37.742122736,"6",35.380563345,2024-09-18 19:00:00,0.541666666666667,"0-bp","No acid",-2.361559391,2024-09-19,2024-09-18,19,15.3,288.45,2280,0.38465,-9.97725115674789e-11,-0.00828353748633987,5.04522862018479,5.04522862018479
15,34.7120482876667,"14",47.561921841,2024-09-18 23:00:00,0.625,"0-bp","No acid",12.8498735533333,2024-09-19 04:00:00,2024-09-18,23,11.9,285.05,2280,0.38465,5.49364238026585e-10,0.0456105513217437,1.8113877102896,1.8113877102896
15,34.7120482876667,"2",31.708657799,2024-09-18 21:00:00,0.625,"0-bp","No acid",-3.00339048866667,2024-09-19 02:00:00,2024-09-18,21,13.5,286.65,2280,0.38465,-1.27685749751697e-10,-0.0106010130237551,4.40451436412514,4.40451436412514
15,34.7120482876667,"6",40.278857339,2024-09-18 22:00:00,0.625,"0-bp","No acid",5.56680905133333,2024-09-19 03:00:00,2024-09-18,22,12.9,286.05,2280,0.38465,2.37163007234501e-10,0.0196902797166874,5.05663536241514,5.05663536241514
18,35.077111938,"14",50.842640285,2024-09-19 02:00:00,0.75,"0-bp","No acid",15.765528347,2024-09-19 07:00:00,2024-09-19,2,10.2,283.35,2280,0.38465,6.78059630659223e-10,0.0562953891838303,1.96424662104796,1.96424662104796
18,35.077111938,"2",30.412298948,2024-09-19,0.75,"0-bp","No acid",-4.66481299,2024-09-19 05:00:00,2024-09-19,0,12.2,285.35,2280,0.38465,-1.9922275285337e-10,-0.0165403187257303,4.36380236650091,4.36380236650091
18,35.077111938,"6",38.180637871,2024-09-19 01:00:00,0.75,"0-bp","No acid",3.103525933,2024-09-19 06:00:00,2024-09-19,1,10.8,283.95,2280,0.38465,1.33197502471633e-10,0.0110586221342578,5.10275871519155,5.10275871519155
20,63.673471939,"14",126.69738651,2024-09-19 04:00:00,0.833333333333333,"0-bp","No acid",63.023914571,2024-09-19 09:00:00,2024-09-19,4,9.7,282.85,2280,0.38465,2.71538720758384e-09,0.2254429739271,2.2459849841589,2.2459849841589
20,63.673471939,"2",37.7492156,2024-09-19 03:00:00,0.833333333333333,"0-bp","No acid",-25.924256339,2024-09-19 08:00:00,2024-09-19,3,9.5,282.65,2280,0.38465,-1.11773768417509e-09,-0.0927993278038017,4.25446271997138,4.25446271997138
20,63.673471939,"6",60.252446317,2024-09-19 03:00:00,0.833333333333333,"0-bp","No acid",-3.421025622,2024-09-19 08:00:00,2024-09-19,3,9.5,282.65,2280,0.38465,-1.47499284308706e-10,-0.0122460167794124,5.1015713205464,5.1015713205464
23,100.360761508333,"14",155.47942757,2024-09-19 07:00:00,0.958333333333333,"0-bp","No acid",55.1186660616667,2024-09-19 12:00:00,2024-09-19,7,11.1,284.25,2280,0.38465,2.36309293182804e-09,0.196194007517425,2.87844045632568,2.87844045632568
23,100.360761508333,"2",106.80360952,2024-09-19 05:00:00,0.958333333333333,"0-bp","No acid",6.44284801166667,2024-09-19 10:00:00,2024-09-19,5,10,283.15,2280,0.38465,2.77296186088481e-10,0.0230223066072612,4.14979718817657,4.14979718817657
23,100.360761508333,"6",98.456289778,2024-09-19 06:00:00,0.958333333333333,"0-bp","No acid",-1.90447173033333,2024-09-19 11:00:00,2024-09-19,6,10.2,283.35,2280,0.38465,-8.19094273054588e-11,-0.00680046839464907,5.07300159278531,5.07300159278531
