hours,Flux_mg_min
0,0.656271509
0.5,0.671572161
1,1.132971298
1.5,1.025283028
2,0.895131358
2.5,1.024450741
3,0.704164794
3.5,1.523525386
4,0.454188639
4.5,0.388257488
5,0.21203426
5.5,0.274791467
6,0.20072741
6.5,0.183768756
7,0.106979274
7.5,0.116499194
8,0.03849875
8.5,0.042876226
9,0.047253701
9.5,0.051631176
10,0.056008651
10.5,0.060386126
11,0.064763601
11.5,0.069141076
12,0.073518552
12.5,0.077896027
13,0.082273502
13.5,0.086650977
14,0.091028452
14.5,0.095405927
15,0.099783402
15.5,0.084683639
16,0.069583875
16.5,0.054484111
17,0.039384347
17.5,0.024284584
18,0.02584086
18.5,0.027397136
19,0.056980417
19.5,0.048808219
20,0.028035626
20.5,0.05444119
21,0.080846753
21.5,0.107252316
22,0.322685972
22.5,0.401502229
23,0.361687908
23.5,0.363712369
24,0.505818249
24.5,0.426653721
25,0.382117625
25.5,0.41956363
26,0.39952768
26.5,0.37949173
27,0.486101444
27.5,0.423503516
28,0.355213171
28.5,0.286922826
29,0.225824711
29.5,0.152109759
30,0.121682294
30.5,0.077675203
31,0.058541077
31.5,0.035766388
32,0.050497368
32.5,0.065228347
33,0.050209802
33.5,0.035191257
34,0.020172712
34.5,0.005154166
35,0.008360491
35.5,0.011451011
36,0.014541531
36.5,0.017632051
37,0.020722571
37.5,0.023813091
38,0.026903611
38.5,0.029994131
39,0.033084651
39.5,0.036175172
40,0.039265692
40.5,0.042356212
41,0.063035474
41.5,0.105115862
42,0.0710233
42.5,0.074124718
43,0.070930494
43.5,0.069168306
44,0.061775571
44.5,0.063399379
45,0.086316013
45.5,0.096257276
46,0.099489955
46.5,0.110367974
47,0.150871602
47.5,0.18787501
48,0.164397664
48.5,0.243331722
49,0.32226578
49.5,0.384838848
50,0.595464515
50.5,0.605025817
51,0.554141809
51.5,0.503257802
52,0.400654856
52.5,0.298051909
53,0.195448963
53.5,0.092846016
54,0.05834071
54.5,0.073925789
55,0.061395325
55.5,0.048864861
56,0.036334397
56.5,0.023803934
57,0.032720383
57.5,-0.025627355
58,-0.020196812
58.5,0.05170556
59,0.045942844
59.5,0.040236414
60,0.048551029
60.5,0.056865645
61,0.069123756
61.5,0.089934234
62,0.110744712
62.5,0.061955395
63,0.081431672
63.5,0.077832517
64,0.075074057
64.5,0.085477283
65,0.095880509
65.5,0.078267481
66,0.072983885
66.5,0.070567631
67,0.053472589
67.5,0.058347424
68,0.063222259
68.5,0.076156088
69,0.086548495
69.5,0.088741953
70,0.118873585
70.5,0.149005218
71,0.218467378
71.5,0.298178376
72,0.377889373
72.5,0.457600371
73,0.400590041
73.5,0.445760202
74,0.490930363
74.5,0.440091397
75,0.389252431
75.5,0.338413465
76,0.307196483
76.5,0.275979501
77,0.106702159
77.5,0.093763274
78,0.06147771
78.5,0.049989479
79,0.018992345
79.5,-0.012004788
80,0.000678259
80.5,0.004771952
81,0.008865644
81.5,0.012959337
82,0.01705303
82.5,0.021146722
83,0.025240415
83.5,0.029334108
84,0.033427801
84.5,0.037521493
85,0.041615186
85.5,0.045708879
86,0.049802571
86.5,0.053896264
87,0.057989957
87.5,0.017191365
88,0.01953874
88.5,0.021886115
89,0.02423349
89.5,0.026580865
90,0.02892824
90.5,0.031275615
91,0.033622989
91.5,0.035970364
92,0.038317739
92.5,0.038317739
93,0.077311732
93.5,0.116305725
94,0.215198799
94.5,0.458712325
95,0.390649007
95.5,0.322585688
96,0.25452237
96.5,0.305700408
97,0.255783041
97.5,0.284357407
98,0.284907407
98.5,0.27856215
99,0.278317992
99.5,0.309060583
100,0.265390271
100.5,0.214286532
101,0.150398027
101.5,0.105199109
102,0.073946223
102.5,0.066836607
103,0.063486466
103.5,0.060136326
104,0.056786185
104.5,0.053436045
105,0.050085904
105.5,0.046735764
106,0.043385623
106.5,0.040035483
107,0.036685342
107.5,0.033335202
108,0.029985061
108.5,0.02663492
109,0.02328478
109.5,0.019934639
110,0.016584499
110.5,0.013234358
111,0.009884218
111.5,0.02000208
112,0.030119941
112.5,0.040237803
113,0.050355664
113.5,0.060473526
114,0.070591388
114.5,0.080709249
115,0.09218685
115.5,0.103664452
116,0.119128494
116.5,0.145593568
117,0.138130925
117.5,0.058190165
118,0.076601175
118.5,0.061436407
119,0.046271638
119.5,0.068174895
