"valve","treatment","cum.emis"
"14","0-bp",12.9648518767016
"2","0-bp",3.44525361997569
"6","0-bp",5.86332967286839
"10","1.5",13.9956775509573
"15","1.5",12.6530501122026
"3","1.5",2.11430131480464
"11","2.9",8.51756714937682
"17","2.9",14.0523457961135
"4","2.9",-3.46149048145461
"13","5.7",12.1699783754606
"19","5.7",10.6884383931538
"7","5.7",-3.28925073951289
"1","Mp",28.3312676948243
"12","Mp",20.4545526130358
"18","Mp",23.3471132864479
"8","Mp",20.3514033280588
