"treatment","tanloss"
"0-bp",158.575309818496
"0-bp",42.1394833806563
"0-bp",71.7153831208775
"1.5",174.234198327305
"1.5",157.51963666411
"1.5",26.3212404877215
"2.9",97.9406883504937
"2.9",161.583277956455
"2.9",-39.8025345179874
"5.7",142.792734447763
"5.7",125.409536323611
"5.7",-38.5934216881135
"Mp",327.900246057628
"Mp",236.736771084847
"Mp",270.214671430326
"Mp",235.542942545687
