elapsed.time,treatment,group,NH3.flux
0,0-bp,No acid,0.696526198
0,0-bp,No acid,2.354872433
0,0-bp,No acid,3.017992427
3,0-bp,No acid,0.143983591
3,0-bp,No acid,0.268588585
3,0-bp,No acid,0.167957719
5,0-bp,No acid,0.07796718
5,0-bp,No acid,0.152157396
5,0-bp,No acid,0.075656703
8,0-bp,No acid,0.048163885
8,0-bp,No acid,0.018713009
8,0-bp,No acid,0.01183044
10,0-bp,No acid,-0.020586905
10,0-bp,No acid,-0.06188559
10,0-bp,No acid,-0.043178748
13,0-bp,No acid,0.038867393
13,0-bp,No acid,-0.024450708
13,0-bp,No acid,-0.008283537
15,0-bp,No acid,0.045610551
15,0-bp,No acid,-0.010601013
15,0-bp,No acid,0.01969028
18,0-bp,No acid,0.056295389
18,0-bp,No acid,-0.016540319
18,0-bp,No acid,0.011058622
20,0-bp,No acid,0.225442974
20,0-bp,No acid,-0.092799328
20,0-bp,No acid,-0.012246017
23,0-bp,No acid,0.196194008
23,0-bp,No acid,0.023022307
23,0-bp,No acid,-0.006800468
25,0-bp,No acid,0.203405196
25,0-bp,No acid,-0.021653148
25,0-bp,No acid,-0.064929335
28,0-bp,No acid,0.139695094
28,0-bp,No acid,0.033558216
28,0-bp,No acid,-0.00696587
30,0-bp,No acid,0.062623434
30,0-bp,No acid,0.009882
30,0-bp,No acid,-0.005906389
33,0-bp,No acid,0.048465192
33,0-bp,No acid,-0.020664641
33,0-bp,No acid,-0.020133266
35,0-bp,No acid,0.045836687
35,0-bp,No acid,-0.031008344
35,0-bp,No acid,-0.017314992
38,0-bp,No acid,0.04262034
38,0-bp,No acid,-0.030443297
38,0-bp,No acid,-0.013393627
41,0-bp,No acid,0.061998347
41,0-bp,No acid,-0.029710323
41,0-bp,No acid,-0.003610283
43,0-bp,No acid,0.082395599
43,0-bp,No acid,-0.029461398
43,0-bp,No acid,0.005533161
46,0-bp,No acid,0.12689644
46,0-bp,No acid,-0.051037694
46,0-bp,No acid,0.020816934
48,0-bp,No acid,0.196216135
48,0-bp,No acid,-0.073365102
