elapsed.time,treatment,group,NH3.flux
48,0-bp,No acid,0.013832858
51,0-bp,No acid,0.158252936
51,0-bp,No acid,-0.036722284
51,0-bp,No acid,0.014220483
53,0-bp,No acid,0.090450736
53,0-bp,No acid,0.071890395
53,0-bp,No acid,0.029208181
56,0-bp,No acid,0.06268281
56,0-bp,No acid,-0.021313416
56,0-bp,No acid,-0.014881865
58,0-bp,No acid,0.06981464
58,0-bp,No acid,-0.018105639
58,0-bp,No acid,0.006011893
61,0-bp,No acid,0.073018512
61,0-bp,No acid,-0.01766424
61,0-bp,No acid,0.013881988
63,0-bp,No acid,0.071196432
63,0-bp,No acid,-0.015833449
63,0-bp,No acid,0.014843473
66,0-bp,No acid,0.073729704
66,0-bp,No acid,-0.014800663
66,0-bp,No acid,0.016974661
68,0-bp,No acid,0.19585828
68,0-bp,No acid,-0.043050742
68,0-bp,No acid,0.026665765
71,0-bp,No acid,0.201030268
71,0-bp,No acid,0.011783521
71,0-bp,No acid,0.013921816
73,0-bp,No acid,0.232680111
73,0-bp,No acid,0.016588723
73,0-bp,No acid,-0.015429419
76,0-bp,No acid,0.134432695
76,0-bp,No acid,0.033468534
76,0-bp,No acid,0.011188578
78,0-bp,No acid,0.052687564
78,0-bp,No acid,-0.012891467
78,0-bp,No acid,-0.024955564
81,0-bp,No acid,0.053628619
81,0-bp,No acid,-0.017914914
81,0-bp,No acid,-0.015896435
84,0-bp,No acid,0.037574071
84,0-bp,No acid,-0.035316063
84,0-bp,No acid,-0.016965257
86,0-bp,No acid,0.054369448
86,0-bp,No acid,-0.030561758
86,0-bp,No acid,-0.007762906
89,0-bp,No acid,0.042951207
89,0-bp,No acid,-0.028522597
89,0-bp,No acid,-0.006857549
91,0-bp,No acid,0.070573161
91,0-bp,No acid,-0.0599132
91,0-bp,No acid,-0.032780174
94,0-bp,No acid,0.143019527
94,0-bp,No acid,0.056767131
94,0-bp,No acid,0.069576667
96,0-bp,No acid,0.17573955
96,0-bp,No acid,0.000486942
96,0-bp,No acid,0.002702403
99,0-bp,No acid,0.137858787
99,0-bp,No acid,0.008592477
99,0-bp,No acid,-0.005480131
101,0-bp,No acid,0.071230067
101,0-bp,No acid,0.040424771
101,0-bp,No acid,-0.004856234
104,0-bp,No acid,0.049658984
104,0-bp,No acid,-0.020150823
104,0-bp,No acid,-0.021808102
106,0-bp,No acid,0.030350954
106,0-bp,No acid,-0.048995036
106,0-bp,No acid,-0.04157984
109,0-bp,No acid,0.038524753
109,0-bp,No acid,-0.032500088
109,0-bp,No acid,-0.013236184
111,0-bp,No acid,0.035554127
111,0-bp,No acid,-0.029355988
111,0-bp,No acid,-0.011052639
114,0-bp,No acid,0.062453048
114,0-bp,No acid,-0.034542159
114,0-bp,No acid,-0.012023647
116,0-bp,No acid,0.097620511
116,0-bp,No acid,-0.034453216
116,0-bp,No acid,0.004084146
119,0-bp,No acid,0.07952228
119,0-bp,No acid,-0.053498512
119,0-bp,No acid,0.002421136
122,0-bp,No acid,0.069287389
122,0-bp,No acid,0.274255124
122,0-bp,No acid,0.451753421
124,0-bp,No acid,0.066193286
124,0-bp,No acid,0.068758023
124,0-bp,No acid,0.016403566
127,0-bp,No acid,0.051708505
127,0-bp,No acid,0.008952913
127,0-bp,No acid,-0.004788214
129,0-bp,No acid,0.051633138
129,0-bp,No acid,-0.003581102
129,0-bp,No acid,-0.009810765
132,0-bp,No acid,0.053510104
132,0-bp,No acid,-0.006017512
132,0-bp,No acid,-0.011605246
134,0-bp,No acid,0.054960127
134,0-bp,No acid,-0.007537396
134,0-bp,No acid,-0.01447998
0,1.5,Low acid,0.637163869
0,1.5,Low acid,0.115541849
0,1.5,Low acid,0.491181607
3,1.5,Low acid,0.129903961
3,1.5,Low acid,0.165973869
3,1.5,Low acid,0.117520423
5,1.5,Low acid,0.118716988
5,1.5,Low acid,0.06759322
5,1.5,Low acid,0.096017513
8,1.5,Low acid,0.051343316
8,1.5,Low acid,0.046241518
8,1.5,Low acid,0.015483507
10,1.5,Low acid,-0.015691068
10,1.5,Low acid,-0.023703255
10,1.5,Low acid,-0.058961438
13,1.5,Low acid,0.037473244
13,1.5,Low acid,0.031627152
13,1.5,Low acid,-0.015425647
15,1.5,Low acid,0.048778295
15,1.5,Low acid,0.035447133
15,1.5,Low acid,-0.00016031
18,1.5,Low acid,0.050253758
18,1.5,Low acid,0.051907863
18,1.5,Low acid,-0.005579383
20,1.5,Low acid,0.125368289
20,1.5,Low acid,0.193208746
20,1.5,Low acid,-0.075848581
23,1.5,Low acid,0.163150628
23,1.5,Low acid,0.263453407
23,1.5,Low acid,0.003339864
25,1.5,Low acid,0.228423054
25,1.5,Low acid,0.239933552
25,1.5,Low acid,-0.01121325
28,1.5,Low acid,0.250306593
28,1.5,Low acid,0.149311912
28,1.5,Low acid,0.052193146
30,1.5,Low acid,0.090894404
30,1.5,Low acid,0.067262617
30,1.5,Low acid,0.018185959
33,1.5,Low acid,0.055469808
33,1.5,Low acid,0.056081561
33,1.5,Low acid,-0.006584399
35,1.5,Low acid,0.047827839
35,1.5,Low acid,0.050756666
35,1.5,Low acid,-0.016646768
38,1.5,Low acid,0.044561298
38,1.5,Low acid,0.043875844
38,1.5,Low acid,-0.016227359
41,1.5,Low acid,0.061233501
41,1.5,Low acid,0.060492837
41,1.5,Low acid,-0.014662412
43,1.5,Low acid,0.063388223
43,1.5,Low acid,0.081160425
43,1.5,Low acid,-0.016134126
46,1.5,Low acid,0.107642864
46,1.5,Low acid,0.096211585
46,1.5,Low acid,-0.031990404
48,1.5,Low acid,0.138996242
48,1.5,Low acid,0.229596113
48,1.5,Low acid,-0.029179625
51,1.5,Low acid,0.238433544
51,1.5,Low acid,0.172025169
51,1.5,Low acid,-0.026822431
53,1.5,Low acid,0.146515119
53,1.5,Low acid,0.083873258
53,1.5,Low acid,0.049801091
56,1.5,Low acid,0.065726546
56,1.5,Low acid,0.067264232
56,1.5,Low acid,-0.014803613
58,1.5,Low acid,0.070404613
58,1.5,Low acid,0.060794655
58,1.5,Low acid,-0.012145336
61,1.5,Low acid,0.061540278
61,1.5,Low acid,0.061150432
61,1.5,Low acid,-0.012331823
63,1.5,Low acid,0.062237824
63,1.5,Low acid,0.054847826
63,1.5,Low acid,-0.011556852
66,1.5,Low acid,0.060994666
66,1.5,Low acid,0.058520292
66,1.5,Low acid,-0.009693737
68,1.5,Low acid,0.094494585
68,1.5,Low acid,0.103770275
68,1.5,Low acid,-0.026258239
71,1.5,Low acid,0.21079456
71,1.5,Low acid,0.233281032
71,1.5,Low acid,0.013023906
73,1.5,Low acid,0.233183785
73,1.5,Low acid,0.253006445
73,1.5,Low acid,0.024347964
76,1.5,Low acid,0.223748522
76,1.5,Low acid,0.132674207
76,1.5,Low acid,0.069476194
78,1.5,Low acid,0.080120565
78,1.5,Low acid,0.054010819
78,1.5,Low acid,0.001152381
81,1.5,Low acid,0.06107622
81,1.5,Low acid,0.054434091
81,1.5,Low acid,-0.002102977
84,1.5,Low acid,0.046058271
84,1.5,Low acid,0.038121001
84,1.5,Low acid,-0.020882698
86,1.5,Low acid,0.061925589
86,1.5,Low acid,0.053832118
86,1.5,Low acid,-0.012763551
89,1.5,Low acid,0.056015253
89,1.5,Low acid,0.036650443
89,1.5,Low acid,-0.009939333
91,1.5,Low acid,0.053080049
91,1.5,Low acid,0.072838566
91,1.5,Low acid,-0.038442175
94,1.5,Low acid,0.189784657
94,1.5,Low acid,0.186309597
94,1.5,Low acid,0.140542158
96,1.5,Low acid,0.237980206
96,1.5,Low acid,0.250388432
96,1.5,Low acid,0.049643307
99,1.5,Low acid,0.19629557
99,1.5,Low acid,0.170603466
99,1.5,Low acid,0.027017033
101,1.5,Low acid,0.109804317
101,1.5,Low acid,0.080758918
101,1.5,Low acid,0.041472574
104,1.5,Low acid,0.059557554
104,1.5,Low acid,0.056459537
104,1.5,Low acid,-0.004796006
106,1.5,Low acid,0.031828078
106,1.5,Low acid,0.034350326
106,1.5,Low acid,-0.033379084
109,1.5,Low acid,0.045954399
109,1.5,Low acid,0.040295699
109,1.5,Low acid,-0.014415891
111,1.5,Low acid,0.039927767
111,1.5,Low acid,0.034844881
111,1.5,Low acid,-0.012325748
114,1.5,Low acid,0.058428738
114,1.5,Low acid,0.06065576
114,1.5,Low acid,-0.014107749
116,1.5,Low acid,0.078769683
116,1.5,Low acid,0.084466917
116,1.5,Low acid,-0.009536463
119,1.5,Low acid,0.099349474
119,1.5,Low acid,0.111698133
119,1.5,Low acid,-0.009843108
122,1.5,Low acid,0.124423325
122,1.5,Low acid,0.063769734
122,1.5,Low acid,0.320891039
124,1.5,Low acid,0.090901167
124,1.5,Low acid,0.073492771
124,1.5,Low acid,0.075751347
127,1.5,Low acid,0.058198207
127,1.5,Low acid,0.058394991
127,1.5,Low acid,0.019707313
129,1.5,Low acid,0.05333793
129,1.5,Low acid,0.059657992
129,1.5,Low acid,0.007679564
132,1.5,Low acid,0.053459105
132,1.5,Low acid,0.061130373
132,1.5,Low acid,0.006671623
134,1.5,Low acid,0.056459738
134,1.5,Low acid,0.062720415
134,1.5,Low acid,0.003722157
0,2.9,Medium acid,-0.180344929
0,2.9,Medium acid,-0.137286662
0,2.9,Medium acid,-0.230388043
3,2.9,Medium acid,0.04584134
3,2.9,Medium acid,0.100231011
3,2.9,Medium acid,0.058049289
5,2.9,Medium acid,0.056589567
5,2.9,Medium acid,0.05071954
5,2.9,Medium acid,0.032929701
8,2.9,Medium acid,0.024745635
8,2.9,Medium acid,0.050949521
8,2.9,Medium acid,-0.025162934
10,2.9,Medium acid,-0.0394925
10,2.9,Medium acid,-0.01603826
10,2.9,Medium acid,-0.089645523
13,2.9,Medium acid,0.015167931
13,2.9,Medium acid,0.041338769
13,2.9,Medium acid,-0.043773179
15,2.9,Medium acid,0.022884168
15,2.9,Medium acid,0.047400979
15,2.9,Medium acid,-0.026663577
18,2.9,Medium acid,0.028620873
18,2.9,Medium acid,0.068248806
18,2.9,Medium acid,-0.03404574
20,2.9,Medium acid,0.070370922
20,2.9,Medium acid,0.214369773
20,2.9,Medium acid,-0.099915823
23,2.9,Medium acid,0.124259765
23,2.9,Medium acid,0.26052147
23,2.9,Medium acid,-0.020443463
25,2.9,Medium acid,0.195732207
25,2.9,Medium acid,0.233184667
25,2.9,Medium acid,-0.04418901
28,2.9,Medium acid,0.162723739
28,2.9,Medium acid,0.144540632
28,2.9,Medium acid,0.005715996
30,2.9,Medium acid,0.057149328
30,2.9,Medium acid,0.073721206
30,2.9,Medium acid,-0.014344721
33,2.9,Medium acid,0.037780671
33,2.9,Medium acid,0.068328171
33,2.9,Medium acid,-0.035118969
35,2.9,Medium acid,0.031347604
35,2.9,Medium acid,0.065300929
35,2.9,Medium acid,-0.044760846
38,2.9,Medium acid,0.028837704
38,2.9,Medium acid,0.063809431
38,2.9,Medium acid,-0.043405275
41,2.9,Medium acid,0.043991004
41,2.9,Medium acid,0.07928345
41,2.9,Medium acid,-0.042779865
43,2.9,Medium acid,0.048287748
43,2.9,Medium acid,0.095173164
43,2.9,Medium acid,-0.04475547
46,2.9,Medium acid,0.068154779
46,2.9,Medium acid,0.121431006
46,2.9,Medium acid,-0.056184743
48,2.9,Medium acid,0.093065552
48,2.9,Medium acid,0.251295569
48,2.9,Medium acid,-0.050194711
51,2.9,Medium acid,0.145649143
51,2.9,Medium acid,0.184282474
51,2.9,Medium acid,-0.050341628
53,2.9,Medium acid,0.093897968
53,2.9,Medium acid,0.082980071
53,2.9,Medium acid,0.005749854
56,2.9,Medium acid,0.050112591
56,2.9,Medium acid,0.079834144
56,2.9,Medium acid,-0.04401235
58,2.9,Medium acid,0.04993097
58,2.9,Medium acid,0.071680465
58,2.9,Medium acid,-0.040902635
61,2.9,Medium acid,0.042608529
61,2.9,Medium acid,0.071223219
61,2.9,Medium acid,-0.042365696
63,2.9,Medium acid,0.039544003
63,2.9,Medium acid,0.066929025
63,2.9,Medium acid,-0.043059268
66,2.9,Medium acid,0.036777035
66,2.9,Medium acid,0.077791268
66,2.9,Medium acid,-0.043085007
68,2.9,Medium acid,0.044751803
68,2.9,Medium acid,0.172783525
68,2.9,Medium acid,-0.067822313
71,2.9,Medium acid,0.142314445
71,2.9,Medium acid,0.243023201
71,2.9,Medium acid,-0.026702422
73,2.9,Medium acid,0.174830457
73,2.9,Medium acid,0.249009393
73,2.9,Medium acid,-0.01461095
76,2.9,Medium acid,0.132079793
76,2.9,Medium acid,0.12175628
76,2.9,Medium acid,0.016771582
78,2.9,Medium acid,0.045146757
78,2.9,Medium acid,0.057968585
78,2.9,Medium acid,-0.031588376
81,2.9,Medium acid,0.042118066
81,2.9,Medium acid,0.063050778
81,2.9,Medium acid,-0.028328831
84,2.9,Medium acid,0.024655988
84,2.9,Medium acid,0.049927638
84,2.9,Medium acid,-0.04500978
86,2.9,Medium acid,0.038374564
86,2.9,Medium acid,0.066671061
86,2.9,Medium acid,-0.038413146
89,2.9,Medium acid,0.028924798
89,2.9,Medium acid,0.047339586
89,2.9,Medium acid,-0.037250794
91,2.9,Medium acid,0.032072315
91,2.9,Medium acid,0.124971431
91,2.9,Medium acid,-0.066270682
94,2.9,Medium acid,0.135093857
94,2.9,Medium acid,0.188469118
94,2.9,Medium acid,0.092756241
96,2.9,Medium acid,0.194159615
96,2.9,Medium acid,0.249700798
96,2.9,Medium acid,0.006734077
99,2.9,Medium acid,0.142911245
99,2.9,Medium acid,0.17042049
99,2.9,Medium acid,0.011797856
101,2.9,Medium acid,0.076280553
101,2.9,Medium acid,0.080907334
101,2.9,Medium acid,0.015789006
104,2.9,Medium acid,0.044945236
104,2.9,Medium acid,0.063735062
104,2.9,Medium acid,-0.02821407
106,2.9,Medium acid,0.020495633
106,2.9,Medium acid,0.04608072
106,2.9,Medium acid,-0.05368879
109,2.9,Medium acid,0.029718249
109,2.9,Medium acid,0.049887555
109,2.9,Medium acid,-0.031653633
111,2.9,Medium acid,0.023133381
111,2.9,Medium acid,0.046296961
111,2.9,Medium acid,-0.026415069
114,2.9,Medium acid,0.04160847
114,2.9,Medium acid,0.080557058
114,2.9,Medium acid,-0.030036477
116,2.9,Medium acid,0.059125753
116,2.9,Medium acid,0.117662618
116,2.9,Medium acid,-0.017917911
119,2.9,Medium acid,0.149121646
119,2.9,Medium acid,0.219212888
119,2.9,Medium acid,-0.006469256
122,2.9,Medium acid,0.059481223
122,2.9,Medium acid,0.104375391
122,2.9,Medium acid,0.046355299
124,2.9,Medium acid,0.064888033
124,2.9,Medium acid,0.095841458
124,2.9,Medium acid,0.047075221
127,2.9,Medium acid,0.04580975
127,2.9,Medium acid,0.078283693
127,2.9,Medium acid,-0.003279374
129,2.9,Medium acid,0.04209739
129,2.9,Medium acid,0.080352139
129,2.9,Medium acid,-0.013801393
132,2.9,Medium acid,0.043789434
132,2.9,Medium acid,0.084534903
132,2.9,Medium acid,-0.015674638
134,2.9,Medium acid,0.046779011
134,2.9,Medium acid,0.081863822
134,2.9,Medium acid,-0.020371197
0,5.7,High acid,-0.082037097
0,5.7,High acid,-0.164079311
0,5.7,High acid,-0.16248119
3,5.7,High acid,0.091948828
3,5.7,High acid,0.004059267
3,5.7,High acid,0.008233983
5,5.7,High acid,0.068448475
5,5.7,High acid,0.010136962
5,5.7,High acid,0.00218523
8,5.7,High acid,0.04492397
8,5.7,High acid,0.023429991
8,5.7,High acid,-0.038417703
10,5.7,High acid,-0.020600674
10,5.7,High acid,-0.037314226
10,5.7,High acid,-0.095127118
13,5.7,High acid,0.032494974
13,5.7,High acid,0.026158397
13,5.7,High acid,-0.043928903
15,5.7,High acid,0.038159569
15,5.7,High acid,0.030910094
15,5.7,High acid,-0.033818335
18,5.7,High acid,0.049712805
18,5.7,High acid,0.056260779
18,5.7,High acid,-0.03439454
20,5.7,High acid,0.163929752
20,5.7,High acid,0.197694422
20,5.7,High acid,-0.056995628
23,5.7,High acid,0.227713587
23,5.7,High acid,0.223316623
23,5.7,High acid,0.007047465
25,5.7,High acid,0.264547048
25,5.7,High acid,0.166198701
25,5.7,High acid,-0.056167477
28,5.7,High acid,0.181108801
28,5.7,High acid,0.076354397
28,5.7,High acid,0.023733303
30,5.7,High acid,0.072541239
30,5.7,High acid,0.048713031
30,5.7,High acid,-0.0295404
33,5.7,High acid,0.059312335
33,5.7,High acid,0.04864488
33,5.7,High acid,-0.040735736
35,5.7,High acid,0.051667269
35,5.7,High acid,0.049748194
35,5.7,High acid,-0.039096271
38,5.7,High acid,0.047011929
38,5.7,High acid,0.051230831
38,5.7,High acid,-0.044875543
41,5.7,High acid,0.062307175
41,5.7,High acid,0.064276976
41,5.7,High acid,-0.040073092
43,5.7,High acid,0.078897985
43,5.7,High acid,0.085231985
43,5.7,High acid,-0.046716103
46,5.7,High acid,0.09974904
46,5.7,High acid,0.11064866
46,5.7,High acid,-0.054004652
48,5.7,High acid,0.196723641
48,5.7,High acid,0.239647814
48,5.7,High acid,0.018068131
51,5.7,High acid,0.189567973
51,5.7,High acid,0.130607128
51,5.7,High acid,0.002220885
53,5.7,High acid,0.108040701
53,5.7,High acid,0.048009194
53,5.7,High acid,-0.008867556
56,5.7,High acid,0.06792828
56,5.7,High acid,0.065299124
56,5.7,High acid,-0.045883703
58,5.7,High acid,0.067091598
58,5.7,High acid,0.057472542
58,5.7,High acid,-0.041151868
61,5.7,High acid,0.064848359
61,5.7,High acid,0.058342377
61,5.7,High acid,-0.042620071
63,5.7,High acid,0.060394106
63,5.7,High acid,0.052267302
63,5.7,High acid,-0.043209232
66,5.7,High acid,0.057089948
66,5.7,High acid,0.069050694
66,5.7,High acid,-0.045629666
68,5.7,High acid,0.094825201
68,5.7,High acid,0.173087641
68,5.7,High acid,-0.064379757
71,5.7,High acid,0.211074685
71,5.7,High acid,0.226882891
71,5.7,High acid,-0.00327706
73,5.7,High acid,0.24503913
73,5.7,High acid,0.164612334
73,5.7,High acid,-0.017654641
76,5.7,High acid,0.153750727
76,5.7,High acid,0.073959123
76,5.7,High acid,0.025616896
78,5.7,High acid,0.05851135
78,5.7,High acid,0.037799683
78,5.7,High acid,-0.048481965
81,5.7,High acid,0.058621578
81,5.7,High acid,0.047078272
81,5.7,High acid,-0.038725501
84,5.7,High acid,0.042318336
84,5.7,High acid,0.036794899
84,5.7,High acid,-0.048579969
86,5.7,High acid,0.054738063
86,5.7,High acid,0.052128514
86,5.7,High acid,-0.038024891
89,5.7,High acid,0.041250167
89,5.7,High acid,0.03635753
89,5.7,High acid,-0.04190227
91,5.7,High acid,0.064652689
91,5.7,High acid,0.151391166
91,5.7,High acid,-0.063856305
94,5.7,High acid,0.16762383
94,5.7,High acid,0.150346293
94,5.7,High acid,0.068601717
96,5.7,High acid,0.208880585
96,5.7,High acid,0.205815339
96,5.7,High acid,0.027863561
99,5.7,High acid,0.170595204
99,5.7,High acid,0.119356343
99,5.7,High acid,0.015107816
101,5.7,High acid,0.08540928
101,5.7,High acid,0.054358859
101,5.7,High acid,-0.016827231
104,5.7,High acid,0.058913536
104,5.7,High acid,0.048937927
104,5.7,High acid,-0.035510197
106,5.7,High acid,0.034602213
106,5.7,High acid,0.03180183
106,5.7,High acid,-0.057151141
109,5.7,High acid,0.042416411
109,5.7,High acid,0.037219237
109,5.7,High acid,-0.042043262
111,5.7,High acid,0.03675069
111,5.7,High acid,0.038088724
111,5.7,High acid,-0.040686742
114,5.7,High acid,0.059561408
114,5.7,High acid,0.071023336
114,5.7,High acid,-0.039677667
116,5.7,High acid,0.079669309
116,5.7,High acid,0.095328706
116,5.7,High acid,-0.040161832
119,5.7,High acid,0.124641695
119,5.7,High acid,0.130872125
119,5.7,High acid,-0.005004032
122,5.7,High acid,0.069614097
122,5.7,High acid,0.092003511
122,5.7,High acid,0.173560166
124,5.7,High acid,0.077606538
124,5.7,High acid,0.070173795
124,5.7,High acid,0.013356322
127,5.7,High acid,0.059341452
127,5.7,High acid,0.063064106
127,5.7,High acid,-0.01661123
129,5.7,High acid,0.058653
129,5.7,High acid,0.064794083
129,5.7,High acid,-0.018602749
132,5.7,High acid,0.060919847
132,5.7,High acid,0.071361043
132,5.7,High acid,-0.019080431
134,5.7,High acid,0.064047091
134,5.7,High acid,0.067383134
134,5.7,High acid,-0.021483929
0,Mp,Machine plot,6.820768935
0,Mp,Machine plot,0.321652334
0,Mp,Machine plot,0.364153118
0,Mp,Machine plot,1.749483991
3,Mp,Machine plot,1.087649413
3,Mp,Machine plot,0.267078259
3,Mp,Machine plot,0.32412942
3,Mp,Machine plot,0.777905639
5,Mp,Machine plot,0.598220027
5,Mp,Machine plot,0.143155039
5,Mp,Machine plot,0.118249787
5,Mp,Machine plot,0.35366678
8,Mp,Machine plot,0.225980166
8,Mp,Machine plot,0.071950502
8,Mp,Machine plot,0.096603544
8,Mp,Machine plot,0.086719954
10,Mp,Machine plot,0.06530539
10,Mp,Machine plot,-0.000943432
10,Mp,Machine plot,0.027375004
10,Mp,Machine plot,0.009049356
13,Mp,Machine plot,0.083626393
13,Mp,Machine plot,0.0689521
13,Mp,Machine plot,0.09322304
13,Mp,Machine plot,0.062187568
15,Mp,Machine plot,0.088147907
15,Mp,Machine plot,0.073139325
15,Mp,Machine plot,0.088645243
15,Mp,Machine plot,0.068050168
18,Mp,Machine plot,0.06426083
18,Mp,Machine plot,0.073775342
18,Mp,Machine plot,0.10568937
18,Mp,Machine plot,0.043005009
20,Mp,Machine plot,-0.014704464
20,Mp,Machine plot,0.296809424
20,Mp,Machine plot,0.330570106
20,Mp,Machine plot,0.148277949
23,Mp,Machine plot,0.180568221
23,Mp,Machine plot,0.311486037
23,Mp,Machine plot,0.441547655
23,Mp,Machine plot,0.290210357
25,Mp,Machine plot,0.242956541
25,Mp,Machine plot,0.412035365
25,Mp,Machine plot,0.4046572
25,Mp,Machine plot,0.353263498
28,Mp,Machine plot,0.368816398
28,Mp,Machine plot,0.338536222
28,Mp,Machine plot,0.211170163
28,Mp,Machine plot,0.398046262
30,Mp,Machine plot,0.185820767
30,Mp,Machine plot,0.114016174
30,Mp,Machine plot,0.10983339
30,Mp,Machine plot,0.104477874
33,Mp,Machine plot,0.068240467
33,Mp,Machine plot,0.069629322
33,Mp,Machine plot,0.103856028
33,Mp,Machine plot,0.010024359
35,Mp,Machine plot,0.046706214
35,Mp,Machine plot,0.07329831
35,Mp,Machine plot,0.095584225
35,Mp,Machine plot,0.042476769
38,Mp,Machine plot,0.048407156
38,Mp,Machine plot,0.069391324
38,Mp,Machine plot,0.079348792
38,Mp,Machine plot,0.033809645
41,Mp,Machine plot,0.036349459
41,Mp,Machine plot,0.093631945
41,Mp,Machine plot,0.123658582
41,Mp,Machine plot,0.05611119
43,Mp,Machine plot,0.050295579
43,Mp,Machine plot,0.10642069
43,Mp,Machine plot,0.152287347
43,Mp,Machine plot,0.061855644
46,Mp,Machine plot,0.045949878
46,Mp,Machine plot,0.185792694
46,Mp,Machine plot,0.240295404
46,Mp,Machine plot,0.151874826
48,Mp,Machine plot,0.054890558
48,Mp,Machine plot,0.302345667
48,Mp,Machine plot,0.406625624
48,Mp,Machine plot,0.309789058
51,Mp,Machine plot,0.217732099
51,Mp,Machine plot,0.318744647
51,Mp,Machine plot,0.313951444
51,Mp,Machine plot,0.262295121
53,Mp,Machine plot,0.329490255
53,Mp,Machine plot,0.157117532
53,Mp,Machine plot,0.110419107
53,Mp,Machine plot,0.167898267
56,Mp,Machine plot,0.084056943
56,Mp,Machine plot,0.090115961
56,Mp,Machine plot,0.145317092
56,Mp,Machine plot,0.066446028
58,Mp,Machine plot,0.129183308
58,Mp,Machine plot,0.112202718
58,Mp,Machine plot,0.155358847
58,Mp,Machine plot,0.126863581
61,Mp,Machine plot,0.132930938
61,Mp,Machine plot,0.120247021
61,Mp,Machine plot,0.159250774
61,Mp,Machine plot,0.146785655
63,Mp,Machine plot,0.136742293
63,Mp,Machine plot,0.126077607
63,Mp,Machine plot,0.161775574
63,Mp,Machine plot,0.158990385
66,Mp,Machine plot,0.139292952
66,Mp,Machine plot,0.128451626
66,Mp,Machine plot,0.191300732
66,Mp,Machine plot,0.1536639
68,Mp,Machine plot,0.132078249
68,Mp,Machine plot,0.218068075
68,Mp,Machine plot,0.396486459
68,Mp,Machine plot,0.238571003
71,Mp,Machine plot,0.307323127
71,Mp,Machine plot,0.354585071
71,Mp,Machine plot,0.433460533
71,Mp,Machine plot,0.378296099
73,Mp,Machine plot,0.270282961
73,Mp,Machine plot,0.383844029
73,Mp,Machine plot,0.374911016
73,Mp,Machine plot,0.2995253
76,Mp,Machine plot,0.278046041
76,Mp,Machine plot,0.276623613
76,Mp,Machine plot,0.162301358
76,Mp,Machine plot,0.224860758
78,Mp,Machine plot,0.11197301
78,Mp,Machine plot,0.106139349
78,Mp,Machine plot,0.1050477
78,Mp,Machine plot,0.067784688
81,Mp,Machine plot,0.074479012
81,Mp,Machine plot,0.10294402
81,Mp,Machine plot,0.117708621
81,Mp,Machine plot,0.05111403
84,Mp,Machine plot,0.075286524
84,Mp,Machine plot,0.086195673
84,Mp,Machine plot,0.106561813
84,Mp,Machine plot,0.095578642
86,Mp,Machine plot,0.05856216
86,Mp,Machine plot,0.09776087
86,Mp,Machine plot,0.115560563
86,Mp,Machine plot,0.082232196
89,Mp,Machine plot,0.072010551
89,Mp,Machine plot,0.088442171
89,Mp,Machine plot,0.096405058
89,Mp,Machine plot,0.067702898
91,Mp,Machine plot,0.033060434
91,Mp,Machine plot,0.098432132
91,Mp,Machine plot,0.403609903
91,Mp,Machine plot,0.064549934
94,Mp,Machine plot,0.283087207
94,Mp,Machine plot,0.296387457
94,Mp,Machine plot,0.253323039
94,Mp,Machine plot,0.230647524
